region,RRm_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
06531_Gießen,0.594874382019043,RRm,year,precipitation,mm day-1,7
06532_Lahn-Dill-Kreis,0.47371792793273926,RRm,year,precipitation,mm day-1,7
06533_Limburg-Weilburg,0.4695725440979004,RRm,year,precipitation,mm day-1,7
06534_Marburg-Biedenkopf,0.4693450927734375,RRm,year,precipitation,mm day-1,7
06535_Vogelsbergkreis,0.6377060413360596,RRm,year,precipitation,mm day-1,7
06611_06633_03159_Region_um_Kassel,0.47831010818481445,RRm,year,precipitation,mm day-1,7
06611_Kassel,0.4719705581665039,RRm,year,precipitation,mm day-1,7
06631_Fulda,0.648482084274292,RRm,year,precipitation,mm day-1,7
06632_Hersfeld-Rotenburg,0.43772268295288086,RRm,year,precipitation,mm day-1,7
06633_Kassel,0.44931483268737793,RRm,year,precipitation,mm day-1,7
06634_Schwalm-Eder-Kreis,0.4661550521850586,RRm,year,precipitation,mm day-1,7
06635_Waldeck-Frankenberg,0.3437507152557373,RRm,year,precipitation,mm day-1,7
06636_Werra-Meißner-Kreis,0.40317773818969727,RRm,year,precipitation,mm day-1,7
07111_07137_07141_07143_Region_um_Koblenz,0.4836556911468506,RRm,year,precipitation,mm day-1,7
07111_Koblenz,0.6710193157196045,RRm,year,precipitation,mm day-1,7
07131_Ahrweiler,0.3847534656524658,RRm,year,precipitation,mm day-1,7
07132_Altenkirchen (Westerwald),0.6421606540679932,RRm,year,precipitation,mm day-1,7
07133_Bad Kreuznach,0.3296232223510742,RRm,year,precipitation,mm day-1,7
07134_Birkenfeld,0.42848801612854004,RRm,year,precipitation,mm day-1,7
07135_Cochem-Zell,0.38649892807006836,RRm,year,precipitation,mm day-1,7
07137_Mayen-Koblenz,0.4580864906311035,RRm,year,precipitation,mm day-1,7
07138_Neuwied,0.7103612422943115,RRm,year,precipitation,mm day-1,7
07140_Rhein-Hunsrück-Kreis,0.3673882484436035,RRm,year,precipitation,mm day-1,7
07141_Rhein-Lahn-Kreis,0.45192813873291016,RRm,year,precipitation,mm day-1,7
07143_Westerwaldkreis,0.5361282825469971,RRm,year,precipitation,mm day-1,7
07211_07235_Region_um_Trier,0.5222868919372559,RRm,year,precipitation,mm day-1,7
07211_Trier,0.4840989112854004,RRm,year,precipitation,mm day-1,7
07231_Bernkastel-Wittlich,0.4663572311401367,RRm,year,precipitation,mm day-1,7
07232_Eifelkreis Bitburg-Prüm,0.3960154056549072,RRm,year,precipitation,mm day-1,7
07233_Vulkaneifel,0.37932562828063965,RRm,year,precipitation,mm day-1,7
07235_Trier-Saarburg,0.526602029800415,RRm,year,precipitation,mm day-1,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),0.7596602439880371,RRm,year,precipitation,mm day-1,7
07311_Frankenthal (Pfalz),0.7030353546142578,RRm,year,precipitation,mm day-1,7
07312_07335_07332_Region_um_Kaiserslautern,0.4122486114501953,RRm,year,precipitation,mm day-1,7
07312_Kaiserslautern,0.4642908573150635,RRm,year,precipitation,mm day-1,7
07313_07337_Region_um_Landau_in_der_Pfalz,0.43236327171325684,RRm,year,precipitation,mm day-1,7
