region,RRm_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,-0.11057519912719727,RRm,year,precipitation,mm day-1,7
05512_Bottrop,-0.10692071914672852,RRm,year,precipitation,mm day-1,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,-0.11825299263000488,RRm,year,precipitation,mm day-1,7
05513_Gelsenkirchen,-0.1231229305267334,RRm,year,precipitation,mm day-1,7
05515_05566_05558_05570_Region_um_Münster,-0.12924838066101074,RRm,year,precipitation,mm day-1,7
05515_Münster,-0.13233566284179688,RRm,year,precipitation,mm day-1,7
05554_Borken,-0.11233830451965332,RRm,year,precipitation,mm day-1,7
05558_Coesfeld,-0.13017642498016357,RRm,year,precipitation,mm day-1,7
05562_Recklinghausen,-0.11549592018127441,RRm,year,precipitation,mm day-1,7
05566_Steinfurt,-0.12756717205047607,RRm,year,precipitation,mm day-1,7
05570_Warendorf,-0.13003170490264893,RRm,year,precipitation,mm day-1,7
05711_05754_05758_05766_Region_um_Bielefeld,-0.19485974311828613,RRm,year,precipitation,mm day-1,7
05711_Bielefeld,-0.20405077934265137,RRm,year,precipitation,mm day-1,7
05754_Gütersloh,-0.16831839084625244,RRm,year,precipitation,mm day-1,7
05758_Herford,-0.21400833129882812,RRm,year,precipitation,mm day-1,7
05762_Höxter,-0.18371963500976562,RRm,year,precipitation,mm day-1,7
05766_Lippe,-0.20647668838500977,RRm,year,precipitation,mm day-1,7
05770_Minden-Lübbecke,-0.1753559112548828,RRm,year,precipitation,mm day-1,7
05774_Paderborn,-0.184190034866333,RRm,year,precipitation,mm day-1,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,-0.1376960277557373,RRm,year,precipitation,mm day-1,7
05911_Bochum,-0.1489250659942627,RRm,year,precipitation,mm day-1,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,-0.14793848991394043,RRm,year,precipitation,mm day-1,7
05913_Dortmund,-0.16308069229125977,RRm,year,precipitation,mm day-1,7
05914_05954_05913_05978_05962_Region_um_Hagen,-0.18249082565307617,RRm,year,precipitation,mm day-1,7
05914_Hagen,-0.20955109596252441,RRm,year,precipitation,mm day-1,7
05915_05978_05974_05570_05558_Region_um_Hamm,-0.15505433082580566,RRm,year,precipitation,mm day-1,7
05915_Hamm,-0.12725400924682617,RRm,year,precipitation,mm day-1,7
05916_05513_05562_05911_Region_um_Herne,-0.11742353439331055,RRm,year,precipitation,mm day-1,7
05916_Herne,-0.14017868041992188,RRm,year,precipitation,mm day-1,7
05954_Ennepe-Ruhr-Kreis,-0.18255376815795898,RRm,year,precipitation,mm day-1,7
05958_Hochsauerlandkreis,-0.19951844215393066,RRm,year,precipitation,mm day-1,7
05962_Märkischer Kreis,-0.20073270797729492,RRm,year,precipitation,mm day-1,7
05966_Olpe,-0.20977497100830078,RRm,year,precipitation,mm day-1,7
05970_Siegen-Wittgenstein,-0.22098040580749512,RRm,year,precipitation,mm day-1,7
05974_Soest,-0.2071378231048584,RRm,year,precipitation,mm day-1,7
05978_Unna,-0.1507585048675537,RRm,year,precipitation,mm day-1,7
06411_06432_06438_Region_um_Darmstadt,-0.18659090995788574,RRm,year,precipitation,mm day-1,7
06411_Darmstadt,-0.1783754825592041,RRm,year,precipitation,mm day-1,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,-0.195725679397583,RRm,year,precipitation,mm day-1,7
06412_Frankfurt am Main,-0.1489102840423584,RRm,year,precipitation,mm day-1,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,-0.22981929779052734,RRm,year,precipitation,mm day-1,7
06413_Offenbach am Main,-0.14927911758422852,RRm,year,precipitation,mm day-1,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,-0.1293959617614746,RRm,year,precipitation,mm day-1,7
06414_Wiesbaden,-0.13372087478637695,RRm,year,precipitation,mm day-1,7
06431_Bergstraße,-0.26880335807800293,RRm,year,precipitation,mm day-1,7
06432_Darmstadt-Dieburg,-0.19541215896606445,RRm,year,precipitation,mm day-1,7
06433_Groß-Gerau,-0.14232754707336426,RRm,year,precipitation,mm day-1,7
06434_Hochtaunuskreis,-0.19068551063537598,RRm,year,precipitation,mm day-1,7
06435_Main-Kinzig-Kreis,-0.2610204219818115,RRm,year,precipitation,mm day-1,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,-0.15793466567993164,RRm,year,precipitation,mm day-1,7
06436_Main-Taunus-Kreis,-0.16234588623046875,RRm,year,precipitation,mm day-1,7
06437_Odenwaldkreis,-0.26689577102661133,RRm,year,precipitation,mm day-1,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,-0.21657228469848633,RRm,year,precipitation,mm day-1,7
06438_Offenbach,-0.17250323295593262,RRm,year,precipitation,mm day-1,7
06439_Rheingau-Taunus-Kreis,-0.1671888828277588,RRm,year,precipitation,mm day-1,7
06440_Wetteraukreis,-0.1718752384185791,RRm,year,precipitation,mm day-1,7
06531_Gießen,-0.17799901962280273,RRm,year,precipitation,mm day-1,7
06532_Lahn-Dill-Kreis,-0.18030214309692383,RRm,year,precipitation,mm day-1,7
06533_Limburg-Weilburg,-0.1509075164794922,RRm,year,precipitation,mm day-1,7
