region,RRm_year_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
05515_Münster,-0.20527899265289307,RRm,year,precipitation,mm day-1,7
05554_Borken,-0.2417607307434082,RRm,year,precipitation,mm day-1,7
05558_Coesfeld,-0.23382747173309326,RRm,year,precipitation,mm day-1,7
05562_Recklinghausen,-0.24068903923034668,RRm,year,precipitation,mm day-1,7
05566_Steinfurt,-0.19475436210632324,RRm,year,precipitation,mm day-1,7
05570_Warendorf,-0.20621824264526367,RRm,year,precipitation,mm day-1,7
05711_05754_05758_05766_Region_um_Bielefeld,-0.20470333099365234,RRm,year,precipitation,mm day-1,7
05711_Bielefeld,-0.2145376205444336,RRm,year,precipitation,mm day-1,7
05754_Gütersloh,-0.21593642234802246,RRm,year,precipitation,mm day-1,7
05758_Herford,-0.18904948234558105,RRm,year,precipitation,mm day-1,7
05762_Höxter,-0.20075523853302002,RRm,year,precipitation,mm day-1,7
05766_Lippe,-0.19971561431884766,RRm,year,precipitation,mm day-1,7
05770_Minden-Lübbecke,-0.15660417079925537,RRm,year,precipitation,mm day-1,7
05774_Paderborn,-0.2533407211303711,RRm,year,precipitation,mm day-1,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,-0.25904011726379395,RRm,year,precipitation,mm day-1,7
05911_Bochum,-0.27327871322631836,RRm,year,precipitation,mm day-1,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,-0.25696516036987305,RRm,year,precipitation,mm day-1,7
05913_Dortmund,-0.23207736015319824,RRm,year,precipitation,mm day-1,7
05914_05954_05913_05978_05962_Region_um_Hagen,-0.30614495277404785,RRm,year,precipitation,mm day-1,7
05914_Hagen,-0.31569671630859375,RRm,year,precipitation,mm day-1,7
05915_05978_05974_05570_05558_Region_um_Hamm,-0.234635591506958,RRm,year,precipitation,mm day-1,7
05915_Hamm,-0.22554004192352295,RRm,year,precipitation,mm day-1,7
05916_05513_05562_05911_Region_um_Herne,-0.24961280822753906,RRm,year,precipitation,mm day-1,7
05916_Herne,-0.28472304344177246,RRm,year,precipitation,mm day-1,7
05954_Ennepe-Ruhr-Kreis,-0.29447007179260254,RRm,year,precipitation,mm day-1,7
05958_Hochsauerlandkreis,-0.364591121673584,RRm,year,precipitation,mm day-1,7
05962_Märkischer Kreis,-0.3727705478668213,RRm,year,precipitation,mm day-1,7
05966_Olpe,-0.4016294479370117,RRm,year,precipitation,mm day-1,7
