region,ci_name,ci_frequency,standard_name,units,mid_month,RRm_year_1.5C_rcp85_ensemble-robustness
06432_Darmstadt-Dieburg,RRm,year,precipitation,mm day-1,7,1.0
06433_Groß-Gerau,RRm,year,precipitation,mm day-1,7,1.0
06434_Hochtaunuskreis,RRm,year,precipitation,mm day-1,7,1.0
06435_Main-Kinzig-Kreis,RRm,year,precipitation,mm day-1,7,
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,RRm,year,precipitation,mm day-1,7,1.0
06436_Main-Taunus-Kreis,RRm,year,precipitation,mm day-1,7,1.0
06437_Odenwaldkreis,RRm,year,precipitation,mm day-1,7,1.0
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,RRm,year,precipitation,mm day-1,7,1.0
06438_Offenbach,RRm,year,precipitation,mm day-1,7,1.0
06439_Rheingau-Taunus-Kreis,RRm,year,precipitation,mm day-1,7,1.0
06440_Wetteraukreis,RRm,year,precipitation,mm day-1,7,1.0
06531_Gießen,RRm,year,precipitation,mm day-1,7,1.0
06532_Lahn-Dill-Kreis,RRm,year,precipitation,mm day-1,7,
06533_Limburg-Weilburg,RRm,year,precipitation,mm day-1,7,1.0
06534_Marburg-Biedenkopf,RRm,year,precipitation,mm day-1,7,
06535_Vogelsbergkreis,RRm,year,precipitation,mm day-1,7,
06611_06633_03159_Region_um_Kassel,RRm,year,precipitation,mm day-1,7,1.0
06611_Kassel,RRm,year,precipitation,mm day-1,7,1.0
06631_Fulda,RRm,year,precipitation,mm day-1,7,
06632_Hersfeld-Rotenburg,RRm,year,precipitation,mm day-1,7,1.0
06633_Kassel,RRm,year,precipitation,mm day-1,7,1.0
06634_Schwalm-Eder-Kreis,RRm,year,precipitation,mm day-1,7,1.0
06635_Waldeck-Frankenberg,RRm,year,precipitation,mm day-1,7,
06636_Werra-Meißner-Kreis,RRm,year,precipitation,mm day-1,7,1.0
07111_07137_07141_07143_Region_um_Koblenz,RRm,year,precipitation,mm day-1,7,1.0
07111_Koblenz,RRm,year,precipitation,mm day-1,7,1.0
07131_Ahrweiler,RRm,year,precipitation,mm day-1,7,1.0
07132_Altenkirchen (Westerwald),RRm,year,precipitation,mm day-1,7,
07133_Bad Kreuznach,RRm,year,precipitation,mm day-1,7,1.0
07134_Birkenfeld,RRm,year,precipitation,mm day-1,7,
07135_Cochem-Zell,RRm,year,precipitation,mm day-1,7,
07137_Mayen-Koblenz,RRm,year,precipitation,mm day-1,7,1.0
07138_Neuwied,RRm,year,precipitation,mm day-1,7,1.0
07140_Rhein-Hunsrück-Kreis,RRm,year,precipitation,mm day-1,7,
07141_Rhein-Lahn-Kreis,RRm,year,precipitation,mm day-1,7,1.0
07143_Westerwaldkreis,RRm,year,precipitation,mm day-1,7,
07211_07235_Region_um_Trier,RRm,year,precipitation,mm day-1,7,
07211_Trier,RRm,year,precipitation,mm day-1,7,
07231_Bernkastel-Wittlich,RRm,year,precipitation,mm day-1,7,
07232_Eifelkreis Bitburg-Prüm,RRm,year,precipitation,mm day-1,7,
07233_Vulkaneifel,RRm,year,precipitation,mm day-1,7,
07235_Trier-Saarburg,RRm,year,precipitation,mm day-1,7,
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),RRm,year,precipitation,mm day-1,7,1.0
07311_Frankenthal (Pfalz),RRm,year,precipitation,mm day-1,7,1.0
07312_07335_07332_Region_um_Kaiserslautern,RRm,year,precipitation,mm day-1,7,1.0
07312_Kaiserslautern,RRm,year,precipitation,mm day-1,7,
07313_07337_Region_um_Landau_in_der_Pfalz,RRm,year,precipitation,mm day-1,7,1.0
