region,RRm_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,0.116749965,RRm,year,precipitation,mm day-1,7
05913_Dortmund,0.12006856,RRm,year,precipitation,mm day-1,7
05914_05954_05913_05978_05962_Region_um_Hagen,0.11799687,RRm,year,precipitation,mm day-1,7
05914_Hagen,0.11491177,RRm,year,precipitation,mm day-1,7
05915_05978_05974_05570_05558_Region_um_Hamm,0.11727424,RRm,year,precipitation,mm day-1,7
05915_Hamm,0.118087836,RRm,year,precipitation,mm day-1,7
05916_05513_05562_05911_Region_um_Herne,0.11594602,RRm,year,precipitation,mm day-1,7
05916_Herne,0.12142391,RRm,year,precipitation,mm day-1,7
05954_Ennepe-Ruhr-Kreis,0.11875029,RRm,year,precipitation,mm day-1,7
05958_Hochsauerlandkreis,0.1118609,RRm,year,precipitation,mm day-1,7
05962_Märkischer Kreis,0.118038766,RRm,year,precipitation,mm day-1,7
05966_Olpe,0.12590124,RRm,year,precipitation,mm day-1,7
05970_Siegen-Wittgenstein,0.12074642,RRm,year,precipitation,mm day-1,7
05974_Soest,0.12760971,RRm,year,precipitation,mm day-1,7
05978_Unna,0.11724453,RRm,year,precipitation,mm day-1,7
06411_06432_06438_Region_um_Darmstadt,0.13900903,RRm,year,precipitation,mm day-1,7
06411_Darmstadt,0.1390186,RRm,year,precipitation,mm day-1,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,0.14101042,RRm,year,precipitation,mm day-1,7
06412_Frankfurt am Main,0.13385697,RRm,year,precipitation,mm day-1,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,0.14182739,RRm,year,precipitation,mm day-1,7
06413_Offenbach am Main,0.13250715,RRm,year,precipitation,mm day-1,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,0.13047197,RRm,year,precipitation,mm day-1,7
06414_Wiesbaden,0.14242813,RRm,year,precipitation,mm day-1,7
06431_Bergstraße,0.16310136,RRm,year,precipitation,mm day-1,7
06432_Darmstadt-Dieburg,0.1397326,RRm,year,precipitation,mm day-1,7
06433_Groß-Gerau,0.14063005,RRm,year,precipitation,mm day-1,7
06434_Hochtaunuskreis,0.12554085,RRm,year,precipitation,mm day-1,7
06435_Main-Kinzig-Kreis,0.14459729,RRm,year,precipitation,mm day-1,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,0.13202,RRm,year,precipitation,mm day-1,7
06436_Main-Taunus-Kreis,0.13840173,RRm,year,precipitation,mm day-1,7
06437_Odenwaldkreis,0.14263321,RRm,year,precipitation,mm day-1,7
