realization,region,SU35_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_SU35,03403_Oldenburg (Oldb),0.16585591,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,03404_03459_05566_Region_um_Osnabrück,0.020337997,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,03404_Osnabrück,0.026892938,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,03405_03455_Region_um_Wilhelmshaven,0.033333335,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,03405_Wilhelmshaven,0.033333335,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,03451_Ammerland,0.06747518,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,03452_Aurich,0.011658555,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,03453_Cloppenburg,0.03447486,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,03454_Emsland,0.0025672507,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,03455_Friesland,0.033333335,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,03456_Grafschaft Bentheim,0.0032067846,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,03457_Leer,0.01403075,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,03458_Oldenburg,0.079815656,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,03459_Osnabrück,0.030652387,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,03460_Vechta,0.040881556,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,03461_Wesermarsch,0.038394824,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,03462_Wittmund,0.02428198,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.0449026,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,04011_Bremen,0.045110743,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,04012_03352_03461_Region_um_Bremerhaven,0.037742328,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,04012_Bremerhaven,0.033333335,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,05111_05162_05158_05112_Region_um_Düsseldorf,0.22174196,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,05111_Düsseldorf,0.2478611,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,0.21822451,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,05112_Duisburg,0.37062842,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,0.07642933,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,05113_Essen,0.04511195,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU35,05114_05112_05162_05166_05170_Region_um_Krefeld,0.23527303,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
