region,HSf3_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,-0.001787036657333374,HSf3,year,hot_spell_frequency,,7
05124_Wuppertal,-0.007717259228229523,HSf3,year,hot_spell_frequency,,7
05154_Kleve,-0.08518427610397339,HSf3,year,hot_spell_frequency,,7
05158_Mettmann,-0.05163063853979111,HSf3,year,hot_spell_frequency,,7
05162_Rhein-Kreis Neuss,-0.05237647891044617,HSf3,year,hot_spell_frequency,,7
05166_Viersen,-0.018905267119407654,HSf3,year,hot_spell_frequency,,7
05170_Wesel,-0.0388769656419754,HSf3,year,hot_spell_frequency,,7
05314_05382_Region_um_Bonn,-0.015704333782196045,HSf3,year,hot_spell_frequency,,7
05314_Bonn,-0.029799818992614746,HSf3,year,hot_spell_frequency,,7
05315_Köln,-0.08310158550739288,HSf3,year,hot_spell_frequency,,7
05316_05315_05378_05158_Region_um_Leverkusen,-0.05364222824573517,HSf3,year,hot_spell_frequency,,7
05316_Leverkusen,-0.060356736183166504,HSf3,year,hot_spell_frequency,,7
05334_Städteregion Aachen,-0.002075567841529846,HSf3,year,hot_spell_frequency,,7
05358_Düren,-0.03406326472759247,HSf3,year,hot_spell_frequency,,7
05362_Rhein-Erft-Kreis,-0.056223511695861816,HSf3,year,hot_spell_frequency,,7
05366_Euskirchen,-0.014026211574673653,HSf3,year,hot_spell_frequency,,7
05370_Heinsberg,-0.09579356014728546,HSf3,year,hot_spell_frequency,,7
05374_Oberbergischer Kreis,-0.015356019139289856,HSf3,year,hot_spell_frequency,,7
05378_Rheinisch-Bergischer Kreis,-0.03156045079231262,HSf3,year,hot_spell_frequency,,7
05382_Rhein-Sieg-Kreis,-0.013938412070274353,HSf3,year,hot_spell_frequency,,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,-0.022383950650691986,HSf3,year,hot_spell_frequency,,7
05512_Bottrop,-0.055362433195114136,HSf3,year,hot_spell_frequency,,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,-0.035127222537994385,HSf3,year,hot_spell_frequency,,7
05513_Gelsenkirchen,-0.1103513240814209,HSf3,year,hot_spell_frequency,,7
05515_05566_05558_05570_Region_um_Münster,-0.04588623344898224,HSf3,year,hot_spell_frequency,,7
05515_Münster,-0.08192485570907593,HSf3,year,hot_spell_frequency,,7
05554_Borken,-0.05738835036754608,HSf3,year,hot_spell_frequency,,7
05558_Coesfeld,-0.048532284796237946,HSf3,year,hot_spell_frequency,,7
05562_Recklinghausen,-0.016187667846679688,HSf3,year,hot_spell_frequency,,7
05566_Steinfurt,-0.05574008822441101,HSf3,year,hot_spell_frequency,,7
05570_Warendorf,-0.06566125899553299,HSf3,year,hot_spell_frequency,,7
05711_05754_05758_05766_Region_um_Bielefeld,-0.07850024104118347,HSf3,year,hot_spell_frequency,,7
05711_Bielefeld,-0.16739755868911743,HSf3,year,hot_spell_frequency,,7
05754_Gütersloh,-0.03535539284348488,HSf3,year,hot_spell_frequency,,7
05758_Herford,-0.1853402853012085,HSf3,year,hot_spell_frequency,,7
05762_Höxter,-0.029674340039491653,HSf3,year,hot_spell_frequency,,7
05766_Lippe,-0.07669699192047119,HSf3,year,hot_spell_frequency,,7
05770_Minden-Lübbecke,-0.12377303838729858,HSf3,year,hot_spell_frequency,,7
05774_Paderborn,-0.030410505831241608,HSf3,year,hot_spell_frequency,,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,-0.017563268542289734,HSf3,year,hot_spell_frequency,,7
05911_Bochum,-0.030792921781539917,HSf3,year,hot_spell_frequency,,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,-0.028531193733215332,HSf3,year,hot_spell_frequency,,7
05913_Dortmund,-0.05397728830575943,HSf3,year,hot_spell_frequency,,7
05914_05954_05913_05978_05962_Region_um_Hagen,-0.011877603828907013,HSf3,year,hot_spell_frequency,,7
05914_Hagen,-0.015459977090358734,HSf3,year,hot_spell_frequency,,7
05915_05978_05974_05570_05558_Region_um_Hamm,-0.057511791586875916,HSf3,year,hot_spell_frequency,,7
05915_Hamm,-0.10542751103639603,HSf3,year,hot_spell_frequency,,7
05916_05513_05562_05911_Region_um_Herne,-0.029286444187164307,HSf3,year,hot_spell_frequency,,7
05916_Herne,-0.15784499049186707,HSf3,year,hot_spell_frequency,,7
05954_Ennepe-Ruhr-Kreis,-0.0182097926735878,HSf3,year,hot_spell_frequency,,7
05958_Hochsauerlandkreis,-0.0321502648293972,HSf3,year,hot_spell_frequency,,7
05962_Märkischer Kreis,-0.0350160226225853,HSf3,year,hot_spell_frequency,,7
05966_Olpe,-0.044443707913160324,HSf3,year,hot_spell_frequency,,7
05970_Siegen-Wittgenstein,-0.04439488425850868,HSf3,year,hot_spell_frequency,,7
05974_Soest,-0.04649028927087784,HSf3,year,hot_spell_frequency,,7
05978_Unna,-0.06234091520309448,HSf3,year,hot_spell_frequency,,7
06411_06432_06438_Region_um_Darmstadt,-0.057250142097473145,HSf3,year,hot_spell_frequency,,7
06411_Darmstadt,-0.07690978050231934,HSf3,year,hot_spell_frequency,,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,-0.004429936408996582,HSf3,year,hot_spell_frequency,,7
06412_Frankfurt am Main,-0.07932507991790771,HSf3,year,hot_spell_frequency,,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,-0.012500658631324768,HSf3,year,hot_spell_frequency,,7
06413_Offenbach am Main,-0.12006807327270508,HSf3,year,hot_spell_frequency,,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,-0.03224685788154602,HSf3,year,hot_spell_frequency,,7
06414_Wiesbaden,-0.050630122423172,HSf3,year,hot_spell_frequency,,7
06431_Bergstraße,-0.010240256786346436,HSf3,year,hot_spell_frequency,,7
06432_Darmstadt-Dieburg,-0.04278159141540527,HSf3,year,hot_spell_frequency,,7
06433_Groß-Gerau,-0.040107905864715576,HSf3,year,hot_spell_frequency,,7
06434_Hochtaunuskreis,-0.006547689437866211,HSf3,year,hot_spell_frequency,,7
06435_Main-Kinzig-Kreis,0.008212678134441376,HSf3,year,hot_spell_frequency,,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,-0.036531299352645874,HSf3,year,hot_spell_frequency,,7
06436_Main-Taunus-Kreis,-0.04776224493980408,HSf3,year,hot_spell_frequency,,7
06437_Odenwaldkreis,0.01476512011140585,HSf3,year,hot_spell_frequency,,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,-0.01782222092151642,HSf3,year,hot_spell_frequency,,7
06438_Offenbach,-0.07827278971672058,HSf3,year,hot_spell_frequency,,7
06439_Rheingau-Taunus-Kreis,-0.032811909914016724,HSf3,year,hot_spell_frequency,,7
06440_Wetteraukreis,-0.018230080604553223,HSf3,year,hot_spell_frequency,,7
06531_Gießen,-0.04053229093551636,HSf3,year,hot_spell_frequency,,7
06532_Lahn-Dill-Kreis,-0.008830459788441658,HSf3,year,hot_spell_frequency,,7
06533_Limburg-Weilburg,-0.027088388800621033,HSf3,year,hot_spell_frequency,,7
06534_Marburg-Biedenkopf,-0.03301304578781128,HSf3,year,hot_spell_frequency,,7
06535_Vogelsbergkreis,0.0,HSf3,year,hot_spell_frequency,,7
06611_06633_03159_Region_um_Kassel,-0.018938302993774414,HSf3,year,hot_spell_frequency,,7
06611_Kassel,-0.04939299821853638,HSf3,year,hot_spell_frequency,,7
06631_Fulda,-0.0009620338678359985,HSf3,year,hot_spell_frequency,,7
06632_Hersfeld-Rotenburg,-0.06986194849014282,HSf3,year,hot_spell_frequency,,7
06633_Kassel,-0.022285640239715576,HSf3,year,hot_spell_frequency,,7
06634_Schwalm-Eder-Kreis,-0.017256125807762146,HSf3,year,hot_spell_frequency,,7
06635_Waldeck-Frankenberg,-0.014163583517074585,HSf3,year,hot_spell_frequency,,7
06636_Werra-Meißner-Kreis,-0.0663718581199646,HSf3,year,hot_spell_frequency,,7
07111_07137_07141_07143_Region_um_Koblenz,-0.006358146667480469,HSf3,year,hot_spell_frequency,,7
07111_Koblenz,-0.024591565132141113,HSf3,year,hot_spell_frequency,,7
07131_Ahrweiler,-0.013877492398023605,HSf3,year,hot_spell_frequency,,7
07132_Altenkirchen (Westerwald),-0.027702391147613525,HSf3,year,hot_spell_frequency,,7
07133_Bad Kreuznach,-0.01994726061820984,HSf3,year,hot_spell_frequency,,7
07134_Birkenfeld,-0.01808496005833149,HSf3,year,hot_spell_frequency,,7
07135_Cochem-Zell,-0.021602243185043335,HSf3,year,hot_spell_frequency,,7
07137_Mayen-Koblenz,-0.03199385106563568,HSf3,year,hot_spell_frequency,,7
07138_Neuwied,0.0,HSf3,year,hot_spell_frequency,,7
07140_Rhein-Hunsrück-Kreis,-0.02510453760623932,HSf3,year,hot_spell_frequency,,7
07141_Rhein-Lahn-Kreis,-0.025088340044021606,HSf3,year,hot_spell_frequency,,7
07143_Westerwaldkreis,-0.009816618636250496,HSf3,year,hot_spell_frequency,,7
07211_07235_Region_um_Trier,-0.0027407314628362656,HSf3,year,hot_spell_frequency,,7
07211_Trier,0.0,HSf3,year,hot_spell_frequency,,7
07231_Bernkastel-Wittlich,-0.0198634285479784,HSf3,year,hot_spell_frequency,,7
07232_Eifelkreis Bitburg-Prüm,-0.018359988927841187,HSf3,year,hot_spell_frequency,,7
07233_Vulkaneifel,-0.03220783546566963,HSf3,year,hot_spell_frequency,,7
07235_Trier-Saarburg,-0.0030504371970891953,HSf3,year,hot_spell_frequency,,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),-0.1221446692943573,HSf3,year,hot_spell_frequency,,7
07311_Frankenthal (Pfalz),-0.12812939286231995,HSf3,year,hot_spell_frequency,,7
07312_07335_07332_Region_um_Kaiserslautern,-0.009556099772453308,HSf3,year,hot_spell_frequency,,7
07312_Kaiserslautern,-0.005843997001647949,HSf3,year,hot_spell_frequency,,7
07313_07337_Region_um_Landau_in_der_Pfalz,-0.052915528416633606,HSf3,year,hot_spell_frequency,,7
07313_Landau in der Pfalz,-0.03611673414707184,HSf3,year,hot_spell_frequency,,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,-0.11985132098197937,HSf3,year,hot_spell_frequency,,7
07314_Ludwigshafen am Rhein,-0.1222585141658783,HSf3,year,hot_spell_frequency,,7
07315_07339_06414_06433_Region_um_Mainz,-0.02948242425918579,HSf3,year,hot_spell_frequency,,7
07315_Mainz,-0.0320286750793457,HSf3,year,hot_spell_frequency,,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,-0.04464234411716461,HSf3,year,hot_spell_frequency,,7
07316_Neustadt an der Weinstraße,-0.05237533152103424,HSf3,year,hot_spell_frequency,,7
07317_07340_Region_um_Pirmasens,-0.010531499981880188,HSf3,year,hot_spell_frequency,,7
07317_Pirmasens,-0.052192747592926025,HSf3,year,hot_spell_frequency,,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,-0.05753406882286072,HSf3,year,hot_spell_frequency,,7
07318_Speyer,-0.15551158785820007,HSf3,year,hot_spell_frequency,,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,-0.04099853336811066,HSf3,year,hot_spell_frequency,,7
07319_Worms,-0.06967329978942871,HSf3,year,hot_spell_frequency,,7
07320_07340_10045_07317_Region_um_Zweibrücken,-0.028805285692214966,HSf3,year,hot_spell_frequency,,7
07320_Zweibrücken,-0.14229458570480347,HSf3,year,hot_spell_frequency,,7
07331_Alzey-Worms,-0.03678646683692932,HSf3,year,hot_spell_frequency,,7
07332_Bad Dürkheim,-0.03340587019920349,HSf3,year,hot_spell_frequency,,7
07333_Donnersbergkreis,-0.010400071740150452,HSf3,year,hot_spell_frequency,,7
07334_Germersheim,-0.12156933546066284,HSf3,year,hot_spell_frequency,,7
07335_Kaiserslautern,-0.02824944257736206,HSf3,year,hot_spell_frequency,,7
07336_Kusel,-0.02683323621749878,HSf3,year,hot_spell_frequency,,7
07337_Südliche Weinstraße,-0.05532069504261017,HSf3,year,hot_spell_frequency,,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,-0.05909410119056702,HSf3,year,hot_spell_frequency,,7
07338_Rhein-Pfalz-Kreis,-0.1286809742450714,HSf3,year,hot_spell_frequency,,7
07339_Mainz-Bingen,-0.03071671724319458,HSf3,year,hot_spell_frequency,,7
07340_Südwestpfalz,-0.008653566241264343,HSf3,year,hot_spell_frequency,,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,0.018397808074951172,HSf3,year,hot_spell_frequency,,7
08111_Stuttgart,-0.021558821201324463,HSf3,year,hot_spell_frequency,,7
08115_Böblingen,-0.025213271379470825,HSf3,year,hot_spell_frequency,,7
08116_Esslingen,0.008128046989440918,HSf3,year,hot_spell_frequency,,7
08117_Göppingen,0.011330097913742065,HSf3,year,hot_spell_frequency,,7
08118_Ludwigsburg,-0.004113703966140747,HSf3,year,hot_spell_frequency,,7
08119_Rems-Murr-Kreis,0.017342090606689453,HSf3,year,hot_spell_frequency,,7
08121_08125_Region_um_Heilbronn,-0.042155951261520386,HSf3,year,hot_spell_frequency,,7
08121_Heilbronn,-0.08485125005245209,HSf3,year,hot_spell_frequency,,7
08125_Heilbronn,-0.03798690438270569,HSf3,year,hot_spell_frequency,,7
08126_Hohenlohekreis,0.02448609471321106,HSf3,year,hot_spell_frequency,,7
08127_Schwäbisch Hall,0.014040648937225342,HSf3,year,hot_spell_frequency,,7
08128_Main-Tauber-Kreis,0.03193506598472595,HSf3,year,hot_spell_frequency,,7
08135_Heidenheim,0.008360380306839943,HSf3,year,hot_spell_frequency,,7
08136_Ostalbkreis,0.02376103214919567,HSf3,year,hot_spell_frequency,,7
08211_08216_Region_um_Baden-Baden,-0.012434527277946472,HSf3,year,hot_spell_frequency,,7
08211_Baden-Baden,0.014931842684745789,HSf3,year,hot_spell_frequency,,7
08212_08215_07334_Region_um_Karlsruhe,-0.06849828362464905,HSf3,year,hot_spell_frequency,,7
08212_Karlsruhe,-0.042998820543289185,HSf3,year,hot_spell_frequency,,7
08215_Karlsruhe,-0.05022042989730835,HSf3,year,hot_spell_frequency,,7
08216_Rastatt,-0.017550185322761536,HSf3,year,hot_spell_frequency,,7
08221_08226_08222_Region_um_Heidelberg,-0.04152299463748932,HSf3,year,hot_spell_frequency,,7
08221_Heidelberg,-0.06125903129577637,HSf3,year,hot_spell_frequency,,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,-0.049145519733428955,HSf3,year,hot_spell_frequency,,7
08222_Mannheim,-0.09762513637542725,HSf3,year,hot_spell_frequency,,7
08225_Neckar-Odenwald-Kreis,0.02211182564496994,HSf3,year,hot_spell_frequency,,7
08226_Rhein-Neckar-Kreis,-0.035086601972579956,HSf3,year,hot_spell_frequency,,7
08231_08236_08235_Region_um_Pforzheim,0.025744175538420677,HSf3,year,hot_spell_frequency,,7
08231_Pforzheim,-0.0038304924964904785,HSf3,year,hot_spell_frequency,,7
08235_Calw,0.004274772945791483,HSf3,year,hot_spell_frequency,,7
08236_Enzkreis,0.012651056051254272,HSf3,year,hot_spell_frequency,,7
08237_Freudenstadt,0.005531879607588053,HSf3,year,hot_spell_frequency,,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,0.024057000875473022,HSf3,year,hot_spell_frequency,,7
08311_Freiburg im Breisgau,0.018016565591096878,HSf3,year,hot_spell_frequency,,7
08315_Breisgau-Hochschwarzwald,0.009905382990837097,HSf3,year,hot_spell_frequency,,7
08316_Emmendingen,0.03700348734855652,HSf3,year,hot_spell_frequency,,7
08317_Ortenaukreis,0.01475118100643158,HSf3,year,hot_spell_frequency,,7
08325_Rottweil,0.00043546801316551864,HSf3,year,hot_spell_frequency,,7
08326_Schwarzwald-Baar-Kreis,-0.04451090842485428,HSf3,year,hot_spell_frequency,,7
08327_Tuttlingen,-0.02803090214729309,HSf3,year,hot_spell_frequency,,7
08335_Konstanz,0.00940026342868805,HSf3,year,hot_spell_frequency,,7
08336_Lörrach,0.030071869492530823,HSf3,year,hot_spell_frequency,,7
08337_Waldshut,0.014964926987886429,HSf3,year,hot_spell_frequency,,7
08415_Reutlingen,-0.04640603065490723,HSf3,year,hot_spell_frequency,,7
08416_Tübingen,0.020860180258750916,HSf3,year,hot_spell_frequency,,7
08417_Zollernalbkreis,0.0063875587657094,HSf3,year,hot_spell_frequency,,7
08421_08425_09775_Region_um_Ulm,0.008835140615701675,HSf3,year,hot_spell_frequency,,7
08421_Ulm,-0.001253664493560791,HSf3,year,hot_spell_frequency,,7
08425_Alb-Donau-Kreis,-0.006284087896347046,HSf3,year,hot_spell_frequency,,7
08426_Biberach,0.0005500689148902893,HSf3,year,hot_spell_frequency,,7
08435_Bodenseekreis,0.00439497409388423,HSf3,year,hot_spell_frequency,,7
08436_Ravensburg,-0.009880468249320984,HSf3,year,hot_spell_frequency,,7
08437_Sigmaringen,-0.03023788332939148,HSf3,year,hot_spell_frequency,,7
09161_09176_09185_09186_Region_um_Ingolstadt,0.031986579298973083,HSf3,year,hot_spell_frequency,,7
09161_Ingolstadt,-0.0075421929359436035,HSf3,year,hot_spell_frequency,,7
09162_09184_09179_09174_Region_um_München,0.017501255497336388,HSf3,year,hot_spell_frequency,,7
09162_München,0.013682868331670761,HSf3,year,hot_spell_frequency,,7
09163_09187_Region_um_Rosenheim,-0.01949993148446083,HSf3,year,hot_spell_frequency,,7
09163_Rosenheim,-0.01711970567703247,HSf3,year,hot_spell_frequency,,7
09171_Altötting,0.002526387572288513,HSf3,year,hot_spell_frequency,,7
09172_Berchtesgadener Land,-0.008135577663779259,HSf3,year,hot_spell_frequency,,7
09173_Bad Tölz-Wolfratshausen,-0.011335373856127262,HSf3,year,hot_spell_frequency,,7
