region,HSf3_year_2C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
05374_Oberbergischer Kreis,1.3710346221923828,HSf3,year,hot_spell_frequency,,7
05378_Rheinisch-Bergischer Kreis,1.857614517211914,HSf3,year,hot_spell_frequency,,7
05382_Rhein-Sieg-Kreis,1.8481643199920654,HSf3,year,hot_spell_frequency,,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,1.8972840309143066,HSf3,year,hot_spell_frequency,,7
05512_Bottrop,1.9301036596298218,HSf3,year,hot_spell_frequency,,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,1.802053451538086,HSf3,year,hot_spell_frequency,,7
05513_Gelsenkirchen,1.8563477993011475,HSf3,year,hot_spell_frequency,,7
05515_05566_05558_05570_Region_um_Münster,1.6561965942382812,HSf3,year,hot_spell_frequency,,7
05515_Münster,1.740885615348816,HSf3,year,hot_spell_frequency,,7
05554_Borken,1.586683750152588,HSf3,year,hot_spell_frequency,,7
05558_Coesfeld,1.6744989156723022,HSf3,year,hot_spell_frequency,,7
05562_Recklinghausen,1.876037836074829,HSf3,year,hot_spell_frequency,,7
05566_Steinfurt,1.5850409269332886,HSf3,year,hot_spell_frequency,,7
05570_Warendorf,1.7271103858947754,HSf3,year,hot_spell_frequency,,7
05711_05754_05758_05766_Region_um_Bielefeld,1.4536491632461548,HSf3,year,hot_spell_frequency,,7
05711_Bielefeld,1.467147946357727,HSf3,year,hot_spell_frequency,,7
05754_Gütersloh,1.5775365829467773,HSf3,year,hot_spell_frequency,,7
05758_Herford,1.4900660514831543,HSf3,year,hot_spell_frequency,,7
05762_Höxter,1.530831217765808,HSf3,year,hot_spell_frequency,,7
05766_Lippe,1.341212272644043,HSf3,year,hot_spell_frequency,,7
05770_Minden-Lübbecke,1.5799646377563477,HSf3,year,hot_spell_frequency,,7
05774_Paderborn,1.4149301052093506,HSf3,year,hot_spell_frequency,,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,1.6391808986663818,HSf3,year,hot_spell_frequency,,7
05911_Bochum,1.7533373832702637,HSf3,year,hot_spell_frequency,,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,1.582667589187622,HSf3,year,hot_spell_frequency,,7
05913_Dortmund,1.6614799499511719,HSf3,year,hot_spell_frequency,,7
05914_05954_05913_05978_05962_Region_um_Hagen,1.2518761157989502,HSf3,year,hot_spell_frequency,,7
05914_Hagen,1.2509961128234863,HSf3,year,hot_spell_frequency,,7
05915_05978_05974_05570_05558_Region_um_Hamm,1.633694052696228,HSf3,year,hot_spell_frequency,,7
05915_Hamm,1.7835941314697266,HSf3,year,hot_spell_frequency,,7
05916_05513_05562_05911_Region_um_Herne,1.8144623041152954,HSf3,year,hot_spell_frequency,,7
05916_Herne,1.8440991640090942,HSf3,year,hot_spell_frequency,,7
05954_Ennepe-Ruhr-Kreis,1.3041751384735107,HSf3,year,hot_spell_frequency,,7
05958_Hochsauerlandkreis,0.9604973793029785,HSf3,year,hot_spell_frequency,,7
05962_Märkischer Kreis,1.1009224653244019,HSf3,year,hot_spell_frequency,,7
05966_Olpe,1.076599359512329,HSf3,year,hot_spell_frequency,,7
05970_Siegen-Wittgenstein,1.0875799655914307,HSf3,year,hot_spell_frequency,,7
05974_Soest,1.4770346879959106,HSf3,year,hot_spell_frequency,,7
05978_Unna,1.6662570238113403,HSf3,year,hot_spell_frequency,,7
06411_06432_06438_Region_um_Darmstadt,2.7437307834625244,HSf3,year,hot_spell_frequency,,7
06411_Darmstadt,2.838101863861084,HSf3,year,hot_spell_frequency,,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,2.2470946311950684,HSf3,year,hot_spell_frequency,,7
06412_Frankfurt am Main,2.8306427001953125,HSf3,year,hot_spell_frequency,,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,2.172004461288452,HSf3,year,hot_spell_frequency,,7
06413_Offenbach am Main,2.872361660003662,HSf3,year,hot_spell_frequency,,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,2.2996227741241455,HSf3,year,hot_spell_frequency,,7
06414_Wiesbaden,2.369654893875122,HSf3,year,hot_spell_frequency,,7
06431_Bergstraße,2.6142494678497314,HSf3,year,hot_spell_frequency,,7
06432_Darmstadt-Dieburg,2.702648639678955,HSf3,year,hot_spell_frequency,,7
06433_Groß-Gerau,3.0619659423828125,HSf3,year,hot_spell_frequency,,7
06434_Hochtaunuskreis,2.0875914096832275,HSf3,year,hot_spell_frequency,,7
06435_Main-Kinzig-Kreis,2.046239137649536,HSf3,year,hot_spell_frequency,,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,2.1703884601593018,HSf3,year,hot_spell_frequency,,7
06436_Main-Taunus-Kreis,2.508937120437622,HSf3,year,hot_spell_frequency,,7
06437_Odenwaldkreis,2.1010725498199463,HSf3,year,hot_spell_frequency,,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,2.346747398376465,HSf3,year,hot_spell_frequency,,7
06438_Offenbach,2.7905125617980957,HSf3,year,hot_spell_frequency,,7
