region,HSf3_year_4C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,1.6368765830993652,HSf3,year,hot_spell_frequency,,7
05513_Gelsenkirchen,1.7264660596847534,HSf3,year,hot_spell_frequency,,7
05515_05566_05558_05570_Region_um_Münster,1.276165246963501,HSf3,year,hot_spell_frequency,,7
05515_Münster,1.382077693939209,HSf3,year,hot_spell_frequency,,7
05554_Borken,1.258829116821289,HSf3,year,hot_spell_frequency,,7
05558_Coesfeld,1.3550801277160645,HSf3,year,hot_spell_frequency,,7
05562_Recklinghausen,1.6361438035964966,HSf3,year,hot_spell_frequency,,7
05566_Steinfurt,1.1428810358047485,HSf3,year,hot_spell_frequency,,7
05570_Warendorf,1.3315973281860352,HSf3,year,hot_spell_frequency,,7
05711_05754_05758_05766_Region_um_Bielefeld,1.2599605321884155,HSf3,year,hot_spell_frequency,,7
05711_Bielefeld,1.353774070739746,HSf3,year,hot_spell_frequency,,7
05754_Gütersloh,1.3503776788711548,HSf3,year,hot_spell_frequency,,7
05758_Herford,1.231947422027588,HSf3,year,hot_spell_frequency,,7
05762_Höxter,1.1829335689544678,HSf3,year,hot_spell_frequency,,7
05766_Lippe,1.1705697774887085,HSf3,year,hot_spell_frequency,,7
05770_Minden-Lübbecke,1.1709436178207397,HSf3,year,hot_spell_frequency,,7
05774_Paderborn,1.1677956581115723,HSf3,year,hot_spell_frequency,,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,1.5495641231536865,HSf3,year,hot_spell_frequency,,7
05911_Bochum,1.6410247087478638,HSf3,year,hot_spell_frequency,,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,1.5073294639587402,HSf3,year,hot_spell_frequency,,7
05913_Dortmund,1.632548213005066,HSf3,year,hot_spell_frequency,,7
05914_05954_05913_05978_05962_Region_um_Hagen,1.2506080865859985,HSf3,year,hot_spell_frequency,,7
05914_Hagen,1.1638312339782715,HSf3,year,hot_spell_frequency,,7
05915_05978_05974_05570_05558_Region_um_Hamm,1.3267884254455566,HSf3,year,hot_spell_frequency,,7
05915_Hamm,1.4847617149353027,HSf3,year,hot_spell_frequency,,7
05916_05513_05562_05911_Region_um_Herne,1.6406161785125732,HSf3,year,hot_spell_frequency,,7
05916_Herne,1.7107856273651123,HSf3,year,hot_spell_frequency,,7
05954_Ennepe-Ruhr-Kreis,1.2605979442596436,HSf3,year,hot_spell_frequency,,7
05958_Hochsauerlandkreis,0.8510944247245789,HSf3,year,hot_spell_frequency,,7
05962_Märkischer Kreis,0.9767440557479858,HSf3,year,hot_spell_frequency,,7
05966_Olpe,1.0064125061035156,HSf3,year,hot_spell_frequency,,7
05970_Siegen-Wittgenstein,0.9347918033599854,HSf3,year,hot_spell_frequency,,7
05974_Soest,1.2011560201644897,HSf3,year,hot_spell_frequency,,7
05978_Unna,1.5364747047424316,HSf3,year,hot_spell_frequency,,7
06411_06432_06438_Region_um_Darmstadt,2.3378446102142334,HSf3,year,hot_spell_frequency,,7
06411_Darmstadt,2.2764406204223633,HSf3,year,hot_spell_frequency,,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,2.076944351196289,HSf3,year,hot_spell_frequency,,7
06412_Frankfurt am Main,2.4643688201904297,HSf3,year,hot_spell_frequency,,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,2.102254867553711,HSf3,year,hot_spell_frequency,,7
06413_Offenbach am Main,2.4665794372558594,HSf3,year,hot_spell_frequency,,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,2.132510185241699,HSf3,year,hot_spell_frequency,,7
06414_Wiesbaden,2.1674740314483643,HSf3,year,hot_spell_frequency,,7
06431_Bergstraße,2.3251497745513916,HSf3,year,hot_spell_frequency,,7
06432_Darmstadt-Dieburg,2.3203907012939453,HSf3,year,hot_spell_frequency,,7
06433_Groß-Gerau,2.5037424564361572,HSf3,year,hot_spell_frequency,,7
06434_Hochtaunuskreis,1.7676970958709717,HSf3,year,hot_spell_frequency,,7
06435_Main-Kinzig-Kreis,1.8259305953979492,HSf3,year,hot_spell_frequency,,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,2.0401313304901123,HSf3,year,hot_spell_frequency,,7
06436_Main-Taunus-Kreis,2.2301743030548096,HSf3,year,hot_spell_frequency,,7
06437_Odenwaldkreis,2.022783041000366,HSf3,year,hot_spell_frequency,,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,2.192436456680298,HSf3,year,hot_spell_frequency,,7
06438_Offenbach,2.3455095291137695,HSf3,year,hot_spell_frequency,,7
06439_Rheingau-Taunus-Kreis,1.732890009880066,HSf3,year,hot_spell_frequency,,7
06440_Wetteraukreis,1.9668140411376953,HSf3,year,hot_spell_frequency,,7
06531_Gießen,1.8451271057128906,HSf3,year,hot_spell_frequency,,7
06532_Lahn-Dill-Kreis,1.4834516048431396,HSf3,year,hot_spell_frequency,,7
06533_Limburg-Weilburg,1.7187256813049316,HSf3,year,hot_spell_frequency,,7
06534_Marburg-Biedenkopf,1.4982284307479858,HSf3,year,hot_spell_frequency,,7
06535_Vogelsbergkreis,1.376543641090393,HSf3,year,hot_spell_frequency,,7
06611_06633_03159_Region_um_Kassel,1.176720142364502,HSf3,year,hot_spell_frequency,,7
06611_Kassel,1.2902593612670898,HSf3,year,hot_spell_frequency,,7
06631_Fulda,1.2430641651153564,HSf3,year,hot_spell_frequency,,7
06632_Hersfeld-Rotenburg,1.406519889831543,HSf3,year,hot_spell_frequency,,7
06633_Kassel,1.21281099319458,HSf3,year,hot_spell_frequency,,7
