region,HSf3_year_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
07316_Neustadt an der Weinstraße,-0.07587355375289917,HSf3,year,hot_spell_frequency,,7
07317_07340_Region_um_Pirmasens,-0.008146286010742188,HSf3,year,hot_spell_frequency,,7
07317_Pirmasens,-0.012105792760848999,HSf3,year,hot_spell_frequency,,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,-0.024685263633728027,HSf3,year,hot_spell_frequency,,7
07318_Speyer,-0.06126737594604492,HSf3,year,hot_spell_frequency,,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,-0.09155309200286865,HSf3,year,hot_spell_frequency,,7
07319_Worms,-0.1441829800605774,HSf3,year,hot_spell_frequency,,7
07320_07340_10045_07317_Region_um_Zweibrücken,-0.029553234577178955,HSf3,year,hot_spell_frequency,,7
07320_Zweibrücken,-0.06666666269302368,HSf3,year,hot_spell_frequency,,7
07331_Alzey-Worms,-0.134784996509552,HSf3,year,hot_spell_frequency,,7
07332_Bad Dürkheim,-0.06005126237869263,HSf3,year,hot_spell_frequency,,7
07333_Donnersbergkreis,0.004851058125495911,HSf3,year,hot_spell_frequency,,7
07334_Germersheim,-0.01844644546508789,HSf3,year,hot_spell_frequency,,7
07335_Kaiserslautern,0.010388296097517014,HSf3,year,hot_spell_frequency,,7
07336_Kusel,0.00029634684324264526,HSf3,year,hot_spell_frequency,,7
07337_Südliche Weinstraße,-0.04446136951446533,HSf3,year,hot_spell_frequency,,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,-0.03884607553482056,HSf3,year,hot_spell_frequency,,7
07338_Rhein-Pfalz-Kreis,-0.07880979776382446,HSf3,year,hot_spell_frequency,,7
07339_Mainz-Bingen,-0.10390695929527283,HSf3,year,hot_spell_frequency,,7
07340_Südwestpfalz,-0.008888699114322662,HSf3,year,hot_spell_frequency,,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,-0.07060140371322632,HSf3,year,hot_spell_frequency,,7
08111_Stuttgart,-0.12900659441947937,HSf3,year,hot_spell_frequency,,7
08115_Böblingen,-0.06953322887420654,HSf3,year,hot_spell_frequency,,7
08116_Esslingen,-0.08473822474479675,HSf3,year,hot_spell_frequency,,7
08117_Göppingen,-0.03424885869026184,HSf3,year,hot_spell_frequency,,7
08118_Ludwigsburg,-0.04486489295959473,HSf3,year,hot_spell_frequency,,7
08119_Rems-Murr-Kreis,-0.06716251373291016,HSf3,year,hot_spell_frequency,,7
08121_08125_Region_um_Heilbronn,-0.048021554946899414,HSf3,year,hot_spell_frequency,,7
08121_Heilbronn,-0.015073299407958984,HSf3,year,hot_spell_frequency,,7
08125_Heilbronn,-0.05274605751037598,HSf3,year,hot_spell_frequency,,7
08126_Hohenlohekreis,-0.05842888355255127,HSf3,year,hot_spell_frequency,,7
08127_Schwäbisch Hall,-0.03521806001663208,HSf3,year,hot_spell_frequency,,7
