region,HSf3_year_3C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
09190_Weilheim-Schongau,0.8883935,HSf3,year,hot_spell_frequency,,7
09261_09274_Region_um_Landshut,1.510724,HSf3,year,hot_spell_frequency,,7
09261_Landshut,1.5129267,HSf3,year,hot_spell_frequency,,7
09262_09275_Region_um_Passau,1.586551,HSf3,year,hot_spell_frequency,,7
09262_Passau,1.6877081,HSf3,year,hot_spell_frequency,,7
09263_09278_Region_um_Straubing,1.5704935,HSf3,year,hot_spell_frequency,,7
09263_Straubing,1.7053276,HSf3,year,hot_spell_frequency,,7
09271_Deggendorf,1.6166135,HSf3,year,hot_spell_frequency,,7
09272_Freyung-Grafenau,0.9686491,HSf3,year,hot_spell_frequency,,7
09273_Kelheim,1.5167927,HSf3,year,hot_spell_frequency,,7
09274_Landshut,1.510606,HSf3,year,hot_spell_frequency,,7
09275_Passau,1.5818616,HSf3,year,hot_spell_frequency,,7
09276_Regen,0.94637716,HSf3,year,hot_spell_frequency,,7
09277_Rottal-Inn,1.5780513,HSf3,year,hot_spell_frequency,,7
09278_Straubing-Bogen,1.5625247,HSf3,year,hot_spell_frequency,,7
09279_Dingolfing-Landau,1.5951917,HSf3,year,hot_spell_frequency,,7
09361_09371_Region_um_Amberg,1.2960963,HSf3,year,hot_spell_frequency,,7
09361_Amberg,1.3581685,HSf3,year,hot_spell_frequency,,7
09362_09375_Region_um_Regensburg,1.5509607,HSf3,year,hot_spell_frequency,,7
09362_Regensburg,1.6401466,HSf3,year,hot_spell_frequency,,7
09363_09374_Region_um_Weiden_in_der_Oberpfalz,1.160875,HSf3,year,hot_spell_frequency,,7
09363_Weiden i.d. OPf.,1.2262481,HSf3,year,hot_spell_frequency,,7
09371_Amberg-Sulzbach,1.293506,HSf3,year,hot_spell_frequency,,7
09372_Cham,1.2351803,HSf3,year,hot_spell_frequency,,7
09373_Neumarkt i.d. OPf.,1.2804761,HSf3,year,hot_spell_frequency,,7
09374_Neustadt a.d. Waldnaab,1.157548,HSf3,year,hot_spell_frequency,,7
09375_Regensburg,1.5453528,HSf3,year,hot_spell_frequency,,7
09376_Schwandorf,1.3695565,HSf3,year,hot_spell_frequency,,7
09377_Tirschenreuth,0.9744886,HSf3,year,hot_spell_frequency,,7
09461_09471_Region_um_Bamberg,1.3773899,HSf3,year,hot_spell_frequency,,7
09461_Bamberg,1.450916,HSf3,year,hot_spell_frequency,,7
