region,ci_name,ci_frequency,standard_name,units,mid_month,HSf3_year_2C_rcp85_ensemble-robustness
05711_Bielefeld,HSf3,year,hot_spell_frequency,,7,1
05754_Gütersloh,HSf3,year,hot_spell_frequency,,7,1
05758_Herford,HSf3,year,hot_spell_frequency,,7,1
05762_Höxter,HSf3,year,hot_spell_frequency,,7,1
05766_Lippe,HSf3,year,hot_spell_frequency,,7,1
05770_Minden-Lübbecke,HSf3,year,hot_spell_frequency,,7,1
05774_Paderborn,HSf3,year,hot_spell_frequency,,7,1
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,HSf3,year,hot_spell_frequency,,7,2
05911_Bochum,HSf3,year,hot_spell_frequency,,7,2
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,HSf3,year,hot_spell_frequency,,7,2
05913_Dortmund,HSf3,year,hot_spell_frequency,,7,2
05914_05954_05913_05978_05962_Region_um_Hagen,HSf3,year,hot_spell_frequency,,7,2
05914_Hagen,HSf3,year,hot_spell_frequency,,7,1
05915_05978_05974_05570_05558_Region_um_Hamm,HSf3,year,hot_spell_frequency,,7,1
05915_Hamm,HSf3,year,hot_spell_frequency,,7,1
05916_05513_05562_05911_Region_um_Herne,HSf3,year,hot_spell_frequency,,7,2
05916_Herne,HSf3,year,hot_spell_frequency,,7,2
05954_Ennepe-Ruhr-Kreis,HSf3,year,hot_spell_frequency,,7,2
05958_Hochsauerlandkreis,HSf3,year,hot_spell_frequency,,7,1
05962_Märkischer Kreis,HSf3,year,hot_spell_frequency,,7,1
05966_Olpe,HSf3,year,hot_spell_frequency,,7,1
05970_Siegen-Wittgenstein,HSf3,year,hot_spell_frequency,,7,2
05974_Soest,HSf3,year,hot_spell_frequency,,7,1
05978_Unna,HSf3,year,hot_spell_frequency,,7,2
06411_06432_06438_Region_um_Darmstadt,HSf3,year,hot_spell_frequency,,7,2
06411_Darmstadt,HSf3,year,hot_spell_frequency,,7,2
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,HSf3,year,hot_spell_frequency,,7,2
06412_Frankfurt am Main,HSf3,year,hot_spell_frequency,,7,2
06413_06438_06435_06412_Region_um_Offenbach_am_Main,HSf3,year,hot_spell_frequency,,7,2
06413_Offenbach am Main,HSf3,year,hot_spell_frequency,,7,2
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,HSf3,year,hot_spell_frequency,,7,2
06414_Wiesbaden,HSf3,year,hot_spell_frequency,,7,2
06431_Bergstraße,HSf3,year,hot_spell_frequency,,7,2
06432_Darmstadt-Dieburg,HSf3,year,hot_spell_frequency,,7,2
06433_Groß-Gerau,HSf3,year,hot_spell_frequency,,7,2
06434_Hochtaunuskreis,HSf3,year,hot_spell_frequency,,7,2
06435_Main-Kinzig-Kreis,HSf3,year,hot_spell_frequency,,7,2
