region,HSf3_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
05570_Warendorf,0.4064249,HSf3,year,hot_spell_frequency,,7
05711_05754_05758_05766_Region_um_Bielefeld,0.34634748,HSf3,year,hot_spell_frequency,,7
05711_Bielefeld,0.37166983,HSf3,year,hot_spell_frequency,,7
05754_Gütersloh,0.38808358,HSf3,year,hot_spell_frequency,,7
05758_Herford,0.34764203,HSf3,year,hot_spell_frequency,,7
05762_Höxter,0.31297326,HSf3,year,hot_spell_frequency,,7
05766_Lippe,0.30819267,HSf3,year,hot_spell_frequency,,7
05770_Minden-Lübbecke,0.3625778,HSf3,year,hot_spell_frequency,,7
05774_Paderborn,0.30387443,HSf3,year,hot_spell_frequency,,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,0.43480003,HSf3,year,hot_spell_frequency,,7
05911_Bochum,0.43387273,HSf3,year,hot_spell_frequency,,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,0.41761354,HSf3,year,hot_spell_frequency,,7
05913_Dortmund,0.43393788,HSf3,year,hot_spell_frequency,,7
05914_05954_05913_05978_05962_Region_um_Hagen,0.32773438,HSf3,year,hot_spell_frequency,,7
05914_Hagen,0.30159786,HSf3,year,hot_spell_frequency,,7
05915_05978_05974_05570_05558_Region_um_Hamm,0.385041,HSf3,year,hot_spell_frequency,,7
05915_Hamm,0.4175111,HSf3,year,hot_spell_frequency,,7
05916_05513_05562_05911_Region_um_Herne,0.4698153,HSf3,year,hot_spell_frequency,,7
05916_Herne,0.4829012,HSf3,year,hot_spell_frequency,,7
05954_Ennepe-Ruhr-Kreis,0.33370015,HSf3,year,hot_spell_frequency,,7
05958_Hochsauerlandkreis,0.19230583,HSf3,year,hot_spell_frequency,,7
05962_Märkischer Kreis,0.25555372,HSf3,year,hot_spell_frequency,,7
05966_Olpe,0.23664483,HSf3,year,hot_spell_frequency,,7
05970_Siegen-Wittgenstein,0.23047043,HSf3,year,hot_spell_frequency,,7
05974_Soest,0.32428077,HSf3,year,hot_spell_frequency,,7
05978_Unna,0.42025855,HSf3,year,hot_spell_frequency,,7
06411_06432_06438_Region_um_Darmstadt,0.69820774,HSf3,year,hot_spell_frequency,,7
06411_Darmstadt,0.7246851,HSf3,year,hot_spell_frequency,,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,0.5976453,HSf3,year,hot_spell_frequency,,7
06412_Frankfurt am Main,0.74512804,HSf3,year,hot_spell_frequency,,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,0.5854428,HSf3,year,hot_spell_frequency,,7
06413_Offenbach am Main,0.7545633,HSf3,year,hot_spell_frequency,,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,0.62047553,HSf3,year,hot_spell_frequency,,7
06414_Wiesbaden,0.62479776,HSf3,year,hot_spell_frequency,,7
06431_Bergstraße,0.6723048,HSf3,year,hot_spell_frequency,,7
06432_Darmstadt-Dieburg,0.66982657,HSf3,year,hot_spell_frequency,,7
06433_Groß-Gerau,0.7763158,HSf3,year,hot_spell_frequency,,7
06434_Hochtaunuskreis,0.5088923,HSf3,year,hot_spell_frequency,,7
06435_Main-Kinzig-Kreis,0.5124229,HSf3,year,hot_spell_frequency,,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,0.59663266,HSf3,year,hot_spell_frequency,,7
06436_Main-Taunus-Kreis,0.64831674,HSf3,year,hot_spell_frequency,,7
06437_Odenwaldkreis,0.5187823,HSf3,year,hot_spell_frequency,,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,0.61921096,HSf3,year,hot_spell_frequency,,7
06438_Offenbach,0.7435205,HSf3,year,hot_spell_frequency,,7
06439_Rheingau-Taunus-Kreis,0.48378333,HSf3,year,hot_spell_frequency,,7
06440_Wetteraukreis,0.57602274,HSf3,year,hot_spell_frequency,,7
06531_Gießen,0.5028699,HSf3,year,hot_spell_frequency,,7
06532_Lahn-Dill-Kreis,0.39719865,HSf3,year,hot_spell_frequency,,7
06533_Limburg-Weilburg,0.4645509,HSf3,year,hot_spell_frequency,,7
06534_Marburg-Biedenkopf,0.4120053,HSf3,year,hot_spell_frequency,,7
06535_Vogelsbergkreis,0.35714447,HSf3,year,hot_spell_frequency,,7
06611_06633_03159_Region_um_Kassel,0.3341672,HSf3,year,hot_spell_frequency,,7
06611_Kassel,0.35939342,HSf3,year,hot_spell_frequency,,7
06631_Fulda,0.31493047,HSf3,year,hot_spell_frequency,,7
06632_Hersfeld-Rotenburg,0.37577364,HSf3,year,hot_spell_frequency,,7
06633_Kassel,0.34636614,HSf3,year,hot_spell_frequency,,7
06634_Schwalm-Eder-Kreis,0.37771,HSf3,year,hot_spell_frequency,,7
