region,HSf3_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
05314_Bonn,0.33428406715393066,HSf3,year,hot_spell_frequency,,7
05315_Köln,0.4689503312110901,HSf3,year,hot_spell_frequency,,7
05316_05315_05378_05158_Region_um_Leverkusen,0.36859583854675293,HSf3,year,hot_spell_frequency,,7
05316_Leverkusen,0.43531012535095215,HSf3,year,hot_spell_frequency,,7
05334_Städteregion Aachen,0.1896945983171463,HSf3,year,hot_spell_frequency,,7
05358_Düren,0.29175668954849243,HSf3,year,hot_spell_frequency,,7
05362_Rhein-Erft-Kreis,0.3467993140220642,HSf3,year,hot_spell_frequency,,7
05366_Euskirchen,0.1688966453075409,HSf3,year,hot_spell_frequency,,7
05370_Heinsberg,0.35731881856918335,HSf3,year,hot_spell_frequency,,7
05374_Oberbergischer Kreis,0.1940297931432724,HSf3,year,hot_spell_frequency,,7
05378_Rheinisch-Bergischer Kreis,0.3020586669445038,HSf3,year,hot_spell_frequency,,7
05382_Rhein-Sieg-Kreis,0.33135247230529785,HSf3,year,hot_spell_frequency,,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,0.350500226020813,HSf3,year,hot_spell_frequency,,7
05512_Bottrop,0.35404160618782043,HSf3,year,hot_spell_frequency,,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,0.33388370275497437,HSf3,year,hot_spell_frequency,,7
05513_Gelsenkirchen,0.35501953959465027,HSf3,year,hot_spell_frequency,,7
05515_05566_05558_05570_Region_um_Münster,0.25241705775260925,HSf3,year,hot_spell_frequency,,7
05515_Münster,0.26139262318611145,HSf3,year,hot_spell_frequency,,7
05554_Borken,0.2985195219516754,HSf3,year,hot_spell_frequency,,7
05558_Coesfeld,0.29764524102211,HSf3,year,hot_spell_frequency,,7
05562_Recklinghausen,0.3188982605934143,HSf3,year,hot_spell_frequency,,7
05566_Steinfurt,0.23391462862491608,HSf3,year,hot_spell_frequency,,7
05570_Warendorf,0.2629391849040985,HSf3,year,hot_spell_frequency,,7
05711_05754_05758_05766_Region_um_Bielefeld,0.22478926181793213,HSf3,year,hot_spell_frequency,,7
05711_Bielefeld,0.22173382341861725,HSf3,year,hot_spell_frequency,,7
05754_Gütersloh,0.2512649595737457,HSf3,year,hot_spell_frequency,,7
05758_Herford,0.20930851995944977,HSf3,year,hot_spell_frequency,,7
05762_Höxter,0.18772293627262115,HSf3,year,hot_spell_frequency,,7
05766_Lippe,0.18099552392959595,HSf3,year,hot_spell_frequency,,7
05770_Minden-Lübbecke,0.21281643211841583,HSf3,year,hot_spell_frequency,,7
