region,DD_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
09172_Berchtesgadener Land,0.7984384,DD,year,days_with_precipitation_amount_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,0.87420493,DD,year,days_with_precipitation_amount_below_threshold,days,7
09174_Dachau,0.2619977,DD,year,days_with_precipitation_amount_below_threshold,days,7
09175_Ebersberg,0.69339067,DD,year,days_with_precipitation_amount_below_threshold,days,7
09176_Eichstätt,0.28002205,DD,year,days_with_precipitation_amount_below_threshold,days,7
09177_Erding,0.50275624,DD,year,days_with_precipitation_amount_below_threshold,days,7
09178_Freising,0.14115022,DD,year,days_with_precipitation_amount_below_threshold,days,7
09179_Fürstenfeldbruck,0.4017176,DD,year,days_with_precipitation_amount_below_threshold,days,7
09180_Garmisch-Partenkirchen,0.49638823,DD,year,days_with_precipitation_amount_below_threshold,days,7
09181_Landsberg am Lech,0.546319,DD,year,days_with_precipitation_amount_below_threshold,days,7
09182_Miesbach,0.9608869,DD,year,days_with_precipitation_amount_below_threshold,days,7
09183_Mühldorf a. Inn,0.59774566,DD,year,days_with_precipitation_amount_below_threshold,days,7
09184_München,0.6726366,DD,year,days_with_precipitation_amount_below_threshold,days,7
09185_Neuburg-Schrobenhausen,0.12865596,DD,year,days_with_precipitation_amount_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,0.1486621,DD,year,days_with_precipitation_amount_below_threshold,days,7
09187_Rosenheim,0.6920937,DD,year,days_with_precipitation_amount_below_threshold,days,7
09188_Starnberg,0.3346563,DD,year,days_with_precipitation_amount_below_threshold,days,7
09189_Traunstein,0.9848191,DD,year,days_with_precipitation_amount_below_threshold,days,7
09190_Weilheim-Schongau,0.4762094,DD,year,days_with_precipitation_amount_below_threshold,days,7
09261_Landshut,0.34652898,DD,year,days_with_precipitation_amount_below_threshold,days,7
09262_Passau,0.8939744,DD,year,days_with_precipitation_amount_below_threshold,days,7
09263_Straubing,0.4558625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09271_Deggendorf,0.84015644,DD,year,days_with_precipitation_amount_below_threshold,days,7
09272_Freyung-Grafenau,1.2119085,DD,year,days_with_precipitation_amount_below_threshold,days,7
09273_Kelheim,0.21164341,DD,year,days_with_precipitation_amount_below_threshold,days,7
09274_Landshut,0.3406032,DD,year,days_with_precipitation_amount_below_threshold,days,7
09275_Passau,0.81142735,DD,year,days_with_precipitation_amount_below_threshold,days,7
09276_Regen,1.5162749,DD,year,days_with_precipitation_amount_below_threshold,days,7
09277_Rottal-Inn,0.56336653,DD,year,days_with_precipitation_amount_below_threshold,days,7
09278_Straubing-Bogen,0.56137353,DD,year,days_with_precipitation_amount_below_threshold,days,7
09279_Dingolfing-Landau,0.26967448,DD,year,days_with_precipitation_amount_below_threshold,days,7
09361_Amberg,0.49389675,DD,year,days_with_precipitation_amount_below_threshold,days,7
09362_Regensburg,-0.12789541,DD,year,days_with_precipitation_amount_below_threshold,days,7
09363_Weiden i.d. OPf.,0.72835124,DD,year,days_with_precipitation_amount_below_threshold,days,7
09371_Amberg-Sulzbach,0.66640645,DD,year,days_with_precipitation_amount_below_threshold,days,7
09372_Cham,1.082258,DD,year,days_with_precipitation_amount_below_threshold,days,7
09373_Neumarkt i.d. OPf.,0.73073405,DD,year,days_with_precipitation_amount_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,0.9506199,DD,year,days_with_precipitation_amount_below_threshold,days,7
09375_Regensburg,0.17370044,DD,year,days_with_precipitation_amount_below_threshold,days,7
09376_Schwandorf,0.6174956,DD,year,days_with_precipitation_amount_below_threshold,days,7
09377_Tirschenreuth,1.1195443,DD,year,days_with_precipitation_amount_below_threshold,days,7
09461_Bamberg,0.6025056,DD,year,days_with_precipitation_amount_below_threshold,days,7
09462_Bayreuth,0.7659551,DD,year,days_with_precipitation_amount_below_threshold,days,7
09463_Coburg,1.052599,DD,year,days_with_precipitation_amount_below_threshold,days,7
09464_Hof,0.32179582,DD,year,days_with_precipitation_amount_below_threshold,days,7
09471_Bamberg,0.7536241,DD,year,days_with_precipitation_amount_below_threshold,days,7
09472_Bayreuth,1.0770453,DD,year,days_with_precipitation_amount_below_threshold,days,7
09473_Coburg,1.0594367,DD,year,days_with_precipitation_amount_below_threshold,days,7
09474_Forchheim,1.0322981,DD,year,days_with_precipitation_amount_below_threshold,days,7
09475_Hof,1.0868444,DD,year,days_with_precipitation_amount_below_threshold,days,7
09476_Kronach,1.60503,DD,year,days_with_precipitation_amount_below_threshold,days,7
09477_Kulmbach,1.1395724,DD,year,days_with_precipitation_amount_below_threshold,days,7
09478_Lichtenfels,0.9090761,DD,year,days_with_precipitation_amount_below_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,0.90153825,DD,year,days_with_precipitation_amount_below_threshold,days,7
09561_Ansbach,0.44229716,DD,year,days_with_precipitation_amount_below_threshold,days,7
09562_Erlangen,0.321103,DD,year,days_with_precipitation_amount_below_threshold,days,7
09563_Fürth,0.17190686,DD,year,days_with_precipitation_amount_below_threshold,days,7
09564_Nürnberg,0.26853192,DD,year,days_with_precipitation_amount_below_threshold,days,7
09565_Schwabach,0.17000166,DD,year,days_with_precipitation_amount_below_threshold,days,7
09571_Ansbach,0.57454884,DD,year,days_with_precipitation_amount_below_threshold,days,7
09572_Erlangen-Höchstadt,0.4117753,DD,year,days_with_precipitation_amount_below_threshold,days,7
09573_Fürth,0.11872864,DD,year,days_with_precipitation_amount_below_threshold,days,7
09574_Nürnberger Land,1.0447007,DD,year,days_with_precipitation_amount_below_threshold,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,0.46458945,DD,year,days_with_precipitation_amount_below_threshold,days,7
09576_Roth,0.3106403,DD,year,days_with_precipitation_amount_below_threshold,days,7
09577_Weißenburg-Gunzenhausen,0.5350497,DD,year,days_with_precipitation_amount_below_threshold,days,7
09661_Aschaffenburg,1.0177623,DD,year,days_with_precipitation_amount_below_threshold,days,7
09662_Schweinfurt,0.848617,DD,year,days_with_precipitation_amount_below_threshold,days,7
09663_Würzburg,0.4469816,DD,year,days_with_precipitation_amount_below_threshold,days,7
09671_Aschaffenburg,1.5007603,DD,year,days_with_precipitation_amount_below_threshold,days,7
09672_Bad Kissingen,1.3298849,DD,year,days_with_precipitation_amount_below_threshold,days,7
09673_Rhön-Grabfeld,0.9518505,DD,year,days_with_precipitation_amount_below_threshold,days,7
09674_Haßberge,0.76436067,DD,year,days_with_precipitation_amount_below_threshold,days,7
09675_Kitzingen,0.5089901,DD,year,days_with_precipitation_amount_below_threshold,days,7
09676_Miltenberg,1.2869118,DD,year,days_with_precipitation_amount_below_threshold,days,7
09677_Main-Spessart,1.2079803,DD,year,days_with_precipitation_amount_below_threshold,days,7
09678_Schweinfurt,0.7340077,DD,year,days_with_precipitation_amount_below_threshold,days,7
09679_Würzburg,0.5852348,DD,year,days_with_precipitation_amount_below_threshold,days,7
09761_Augsburg,0.21614556,DD,year,days_with_precipitation_amount_below_threshold,days,7
09762_Kaufbeuren,0.6585672,DD,year,days_with_precipitation_amount_below_threshold,days,7
09763_Kempten (Allgäu),0.842052,DD,year,days_with_precipitation_amount_below_threshold,days,7
09764_Memmingen,0.7368274,DD,year,days_with_precipitation_amount_below_threshold,days,7
09771_Aichach-Friedberg,0.29554963,DD,year,days_with_precipitation_amount_below_threshold,days,7
09772_Augsburg,0.2676306,DD,year,days_with_precipitation_amount_below_threshold,days,7
09773_Dillingen a.d. Donau,0.10866801,DD,year,days_with_precipitation_amount_below_threshold,days,7
09774_Günzburg,0.060560796,DD,year,days_with_precipitation_amount_below_threshold,days,7
