region,DD_year_4C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
06434_Hochtaunuskreis,6.6594267,DD,year,days_with_precipitation_amount_below_threshold,days,7
06435_Main-Kinzig-Kreis,6.1106606,DD,year,days_with_precipitation_amount_below_threshold,days,7
06436_Main-Taunus-Kreis,4.6860576,DD,year,days_with_precipitation_amount_below_threshold,days,7
06437_Odenwaldkreis,7.3496366,DD,year,days_with_precipitation_amount_below_threshold,days,7
06438_Offenbach,4.1445465,DD,year,days_with_precipitation_amount_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,6.5093994,DD,year,days_with_precipitation_amount_below_threshold,days,7
06440_Wetteraukreis,5.03007,DD,year,days_with_precipitation_amount_below_threshold,days,7
06531_Gießen,5.180031,DD,year,days_with_precipitation_amount_below_threshold,days,7
06532_Lahn-Dill-Kreis,6.706452,DD,year,days_with_precipitation_amount_below_threshold,days,7
06533_Limburg-Weilburg,5.648777,DD,year,days_with_precipitation_amount_below_threshold,days,7
06534_Marburg-Biedenkopf,5.51848,DD,year,days_with_precipitation_amount_below_threshold,days,7
06535_Vogelsbergkreis,6.636428,DD,year,days_with_precipitation_amount_below_threshold,days,7
06611_Kassel,4.145358,DD,year,days_with_precipitation_amount_below_threshold,days,7
06631_Fulda,6.368369,DD,year,days_with_precipitation_amount_below_threshold,days,7
06632_Hersfeld-Rotenburg,4.900701,DD,year,days_with_precipitation_amount_below_threshold,days,7
06633_Kassel,4.1733866,DD,year,days_with_precipitation_amount_below_threshold,days,7
06634_Schwalm-Eder-Kreis,4.7261667,DD,year,days_with_precipitation_amount_below_threshold,days,7
06635_Waldeck-Frankenberg,5.3647375,DD,year,days_with_precipitation_amount_below_threshold,days,7
06636_Werra-Meißner-Kreis,5.0516443,DD,year,days_with_precipitation_amount_below_threshold,days,7
07111_Koblenz,4.595482,DD,year,days_with_precipitation_amount_below_threshold,days,7
07131_Ahrweiler,6.6188397,DD,year,days_with_precipitation_amount_below_threshold,days,7
07132_Altenkirchen (Westerwald),7.3716702,DD,year,days_with_precipitation_amount_below_threshold,days,7
07133_Bad Kreuznach,4.742009,DD,year,days_with_precipitation_amount_below_threshold,days,7
07134_Birkenfeld,8.136333,DD,year,days_with_precipitation_amount_below_threshold,days,7
07135_Cochem-Zell,6.541212,DD,year,days_with_precipitation_amount_below_threshold,days,7
07137_Mayen-Koblenz,5.5877438,DD,year,days_with_precipitation_amount_below_threshold,days,7
07138_Neuwied,6.889868,DD,year,days_with_precipitation_amount_below_threshold,days,7
07140_Rhein-Hunsrück-Kreis,7.009938,DD,year,days_with_precipitation_amount_below_threshold,days,7
07141_Rhein-Lahn-Kreis,5.859241,DD,year,days_with_precipitation_amount_below_threshold,days,7
07143_Westerwaldkreis,7.649721,DD,year,days_with_precipitation_amount_below_threshold,days,7
07211_Trier,8.042736,DD,year,days_with_precipitation_amount_below_threshold,days,7
07231_Bernkastel-Wittlich,7.9125757,DD,year,days_with_precipitation_amount_below_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,9.3602705,DD,year,days_with_precipitation_amount_below_threshold,days,7
07233_Vulkaneifel,8.959202,DD,year,days_with_precipitation_amount_below_threshold,days,7
07235_Trier-Saarburg,9.04423,DD,year,days_with_precipitation_amount_below_threshold,days,7
07311_Frankenthal (Pfalz),2.8710964,DD,year,days_with_precipitation_amount_below_threshold,days,7
07312_Kaiserslautern,6.6811275,DD,year,days_with_precipitation_amount_below_threshold,days,7
07313_Landau in der Pfalz,6.016959,DD,year,days_with_precipitation_amount_below_threshold,days,7
07314_Ludwigshafen am Rhein,3.1993222,DD,year,days_with_precipitation_amount_below_threshold,days,7
07315_Mainz,3.400511,DD,year,days_with_precipitation_amount_below_threshold,days,7
07316_Neustadt an der Weinstraße,4.7034736,DD,year,days_with_precipitation_amount_below_threshold,days,7
07317_Pirmasens,8.247234,DD,year,days_with_precipitation_amount_below_threshold,days,7
07318_Speyer,3.7180624,DD,year,days_with_precipitation_amount_below_threshold,days,7
07319_Worms,3.0427256,DD,year,days_with_precipitation_amount_below_threshold,days,7
07320_Zweibrücken,8.357987,DD,year,days_with_precipitation_amount_below_threshold,days,7
07331_Alzey-Worms,3.568059,DD,year,days_with_precipitation_amount_below_threshold,days,7
07332_Bad Dürkheim,4.9638424,DD,year,days_with_precipitation_amount_below_threshold,days,7
07333_Donnersbergkreis,4.85404,DD,year,days_with_precipitation_amount_below_threshold,days,7
07334_Germersheim,4.6568294,DD,year,days_with_precipitation_amount_below_threshold,days,7
07335_Kaiserslautern,6.826942,DD,year,days_with_precipitation_amount_below_threshold,days,7
07336_Kusel,6.4632134,DD,year,days_with_precipitation_amount_below_threshold,days,7
07337_Südliche Weinstraße,5.8947535,DD,year,days_with_precipitation_amount_below_threshold,days,7
07338_Rhein-Pfalz-Kreis,3.3425534,DD,year,days_with_precipitation_amount_below_threshold,days,7
07339_Mainz-Bingen,3.6594794,DD,year,days_with_precipitation_amount_below_threshold,days,7
07340_Südwestpfalz,8.0789,DD,year,days_with_precipitation_amount_below_threshold,days,7
08111_Stuttgart,6.316223,DD,year,days_with_precipitation_amount_below_threshold,days,7
08115_Böblingen,6.1495304,DD,year,days_with_precipitation_amount_below_threshold,days,7
08116_Esslingen,6.7139583,DD,year,days_with_precipitation_amount_below_threshold,days,7
08117_Göppingen,7.259442,DD,year,days_with_precipitation_amount_below_threshold,days,7
08118_Ludwigsburg,5.9902873,DD,year,days_with_precipitation_amount_below_threshold,days,7
08119_Rems-Murr-Kreis,7.597131,DD,year,days_with_precipitation_amount_below_threshold,days,7
08121_Heilbronn,5.988378,DD,year,days_with_precipitation_amount_below_threshold,days,7
08125_Heilbronn,6.3750033,DD,year,days_with_precipitation_amount_below_threshold,days,7
08126_Hohenlohekreis,7.1427593,DD,year,days_with_precipitation_amount_below_threshold,days,7
08127_Schwäbisch Hall,7.5408454,DD,year,days_with_precipitation_amount_below_threshold,days,7
08128_Main-Tauber-Kreis,5.4706454,DD,year,days_with_precipitation_amount_below_threshold,days,7
08135_Heidenheim,6.2928543,DD,year,days_with_precipitation_amount_below_threshold,days,7
08136_Ostalbkreis,6.991211,DD,year,days_with_precipitation_amount_below_threshold,days,7
08211_Baden-Baden,9.37735,DD,year,days_with_precipitation_amount_below_threshold,days,7
08212_Karlsruhe,5.7654743,DD,year,days_with_precipitation_amount_below_threshold,days,7
08215_Karlsruhe,5.9380646,DD,year,days_with_precipitation_amount_below_threshold,days,7
08216_Rastatt,9.020377,DD,year,days_with_precipitation_amount_below_threshold,days,7
08221_Heidelberg,6.4407377,DD,year,days_with_precipitation_amount_below_threshold,days,7
08222_Mannheim,3.8832464,DD,year,days_with_precipitation_amount_below_threshold,days,7
08225_Neckar-Odenwald-Kreis,6.801412,DD,year,days_with_precipitation_amount_below_threshold,days,7
08226_Rhein-Neckar-Kreis,6.2009587,DD,year,days_with_precipitation_amount_below_threshold,days,7
08231_Pforzheim,7.195771,DD,year,days_with_precipitation_amount_below_threshold,days,7
08235_Calw,8.580356,DD,year,days_with_precipitation_amount_below_threshold,days,7
08236_Enzkreis,6.9695873,DD,year,days_with_precipitation_amount_below_threshold,days,7
08237_Freudenstadt,9.670666,DD,year,days_with_precipitation_amount_below_threshold,days,7
08311_Freiburg im Breisgau,8.948472,DD,year,days_with_precipitation_amount_below_threshold,days,7
08315_Breisgau-Hochschwarzwald,10.212709,DD,year,days_with_precipitation_amount_below_threshold,days,7
08316_Emmendingen,9.380441,DD,year,days_with_precipitation_amount_below_threshold,days,7
08317_Ortenaukreis,9.152276,DD,year,days_with_precipitation_amount_below_threshold,days,7
08325_Rottweil,8.1898155,DD,year,days_with_precipitation_amount_below_threshold,days,7
08326_Schwarzwald-Baar-Kreis,8.741165,DD,year,days_with_precipitation_amount_below_threshold,days,7
08327_Tuttlingen,7.7702756,DD,year,days_with_precipitation_amount_below_threshold,days,7
08335_Konstanz,5.598638,DD,year,days_with_precipitation_amount_below_threshold,days,7
08336_Lörrach,11.2351885,DD,year,days_with_precipitation_amount_below_threshold,days,7
08337_Waldshut,8.915465,DD,year,days_with_precipitation_amount_below_threshold,days,7
08415_Reutlingen,8.073795,DD,year,days_with_precipitation_amount_below_threshold,days,7
08416_Tübingen,5.7968836,DD,year,days_with_precipitation_amount_below_threshold,days,7
08417_Zollernalbkreis,8.268415,DD,year,days_with_precipitation_amount_below_threshold,days,7
08421_Ulm,4.7962146,DD,year,days_with_precipitation_amount_below_threshold,days,7
08425_Alb-Donau-Kreis,6.0997934,DD,year,days_with_precipitation_amount_below_threshold,days,7
08426_Biberach,6.040354,DD,year,days_with_precipitation_amount_below_threshold,days,7
08435_Bodenseekreis,6.6517105,DD,year,days_with_precipitation_amount_below_threshold,days,7
08436_Ravensburg,8.429472,DD,year,days_with_precipitation_amount_below_threshold,days,7
08437_Sigmaringen,6.928195,DD,year,days_with_precipitation_amount_below_threshold,days,7
09161_Ingolstadt,3.5226657,DD,year,days_with_precipitation_amount_below_threshold,days,7
09162_München,6.099593,DD,year,days_with_precipitation_amount_below_threshold,days,7
09163_Rosenheim,5.985509,DD,year,days_with_precipitation_amount_below_threshold,days,7
09171_Altötting,5.097893,DD,year,days_with_precipitation_amount_below_threshold,days,7
09172_Berchtesgadener Land,8.244604,DD,year,days_with_precipitation_amount_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,8.616215,DD,year,days_with_precipitation_amount_below_threshold,days,7
09174_Dachau,5.452398,DD,year,days_with_precipitation_amount_below_threshold,days,7
09175_Ebersberg,6.6266503,DD,year,days_with_precipitation_amount_below_threshold,days,7
09176_Eichstätt,4.578297,DD,year,days_with_precipitation_amount_below_threshold,days,7
09177_Erding,5.366953,DD,year,days_with_precipitation_amount_below_threshold,days,7
09178_Freising,4.9407425,DD,year,days_with_precipitation_amount_below_threshold,days,7
09179_Fürstenfeldbruck,6.1792145,DD,year,days_with_precipitation_amount_below_threshold,days,7
09180_Garmisch-Partenkirchen,8.44474,DD,year,days_with_precipitation_amount_below_threshold,days,7
09181_Landsberg am Lech,7.026378,DD,year,days_with_precipitation_amount_below_threshold,days,7
09182_Miesbach,9.16511,DD,year,days_with_precipitation_amount_below_threshold,days,7
09183_Mühldorf a. Inn,5.4375954,DD,year,days_with_precipitation_amount_below_threshold,days,7
09184_München,7.0955763,DD,year,days_with_precipitation_amount_below_threshold,days,7
09185_Neuburg-Schrobenhausen,4.3130116,DD,year,days_with_precipitation_amount_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,4.500888,DD,year,days_with_precipitation_amount_below_threshold,days,7
09187_Rosenheim,7.320996,DD,year,days_with_precipitation_amount_below_threshold,days,7
09188_Starnberg,7.1205544,DD,year,days_with_precipitation_amount_below_threshold,days,7
09189_Traunstein,8.093052,DD,year,days_with_precipitation_amount_below_threshold,days,7
09190_Weilheim-Schongau,7.742574,DD,year,days_with_precipitation_amount_below_threshold,days,7
09261_Landshut,4.301438,DD,year,days_with_precipitation_amount_below_threshold,days,7
09262_Passau,4.2836633,DD,year,days_with_precipitation_amount_below_threshold,days,7
09263_Straubing,2.904256,DD,year,days_with_precipitation_amount_below_threshold,days,7
09271_Deggendorf,3.8995934,DD,year,days_with_precipitation_amount_below_threshold,days,7
09272_Freyung-Grafenau,5.302385,DD,year,days_with_precipitation_amount_below_threshold,days,7
09273_Kelheim,3.866578,DD,year,days_with_precipitation_amount_below_threshold,days,7
09274_Landshut,4.339067,DD,year,days_with_precipitation_amount_below_threshold,days,7
09275_Passau,4.356455,DD,year,days_with_precipitation_amount_below_threshold,days,7
09276_Regen,6.282366,DD,year,days_with_precipitation_amount_below_threshold,days,7
09277_Rottal-Inn,4.507137,DD,year,days_with_precipitation_amount_below_threshold,days,7
09278_Straubing-Bogen,3.8850555,DD,year,days_with_precipitation_amount_below_threshold,days,7
09279_Dingolfing-Landau,3.4143224,DD,year,days_with_precipitation_amount_below_threshold,days,7
09361_Amberg,4.26416,DD,year,days_with_precipitation_amount_below_threshold,days,7
09362_Regensburg,2.8313038,DD,year,days_with_precipitation_amount_below_threshold,days,7
09363_Weiden i.d. OPf.,3.9526062,DD,year,days_with_precipitation_amount_below_threshold,days,7
09371_Amberg-Sulzbach,4.689242,DD,year,days_with_precipitation_amount_below_threshold,days,7
09372_Cham,5.2613487,DD,year,days_with_precipitation_amount_below_threshold,days,7
09373_Neumarkt i.d. OPf.,5.2538595,DD,year,days_with_precipitation_amount_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,4.7717776,DD,year,days_with_precipitation_amount_below_threshold,days,7
09375_Regensburg,3.625031,DD,year,days_with_precipitation_amount_below_threshold,days,7
09376_Schwandorf,4.2040987,DD,year,days_with_precipitation_amount_below_threshold,days,7
09377_Tirschenreuth,5.1371684,DD,year,days_with_precipitation_amount_below_threshold,days,7
09461_Bamberg,4.5586886,DD,year,days_with_precipitation_amount_below_threshold,days,7
09462_Bayreuth,4.9334292,DD,year,days_with_precipitation_amount_below_threshold,days,7
09463_Coburg,4.591782,DD,year,days_with_precipitation_amount_below_threshold,days,7
09464_Hof,4.250277,DD,year,days_with_precipitation_amount_below_threshold,days,7
09471_Bamberg,5.3888216,DD,year,days_with_precipitation_amount_below_threshold,days,7
09472_Bayreuth,5.8747272,DD,year,days_with_precipitation_amount_below_threshold,days,7
09473_Coburg,4.8570943,DD,year,days_with_precipitation_amount_below_threshold,days,7
09474_Forchheim,5.666745,DD,year,days_with_precipitation_amount_below_threshold,days,7
09475_Hof,5.5137215,DD,year,days_with_precipitation_amount_below_threshold,days,7
09476_Kronach,6.2462707,DD,year,days_with_precipitation_amount_below_threshold,days,7
09477_Kulmbach,5.4030704,DD,year,days_with_precipitation_amount_below_threshold,days,7
09478_Lichtenfels,5.351062,DD,year,days_with_precipitation_amount_below_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,5.07794,DD,year,days_with_precipitation_amount_below_threshold,days,7
09561_Ansbach,5.4019175,DD,year,days_with_precipitation_amount_below_threshold,days,7
09562_Erlangen,4.269928,DD,year,days_with_precipitation_amount_below_threshold,days,7
09563_Fürth,4.2461762,DD,year,days_with_precipitation_amount_below_threshold,days,7
09564_Nürnberg,4.292684,DD,year,days_with_precipitation_amount_below_threshold,days,7
09565_Schwabach,4.379812,DD,year,days_with_precipitation_amount_below_threshold,days,7
09571_Ansbach,5.5748177,DD,year,days_with_precipitation_amount_below_threshold,days,7
09572_Erlangen-Höchstadt,4.5992517,DD,year,days_with_precipitation_amount_below_threshold,days,7
09573_Fürth,4.44293,DD,year,days_with_precipitation_amount_below_threshold,days,7
09574_Nürnberger Land,6.0133877,DD,year,days_with_precipitation_amount_below_threshold,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,5.051412,DD,year,days_with_precipitation_amount_below_threshold,days,7
09576_Roth,4.784842,DD,year,days_with_precipitation_amount_below_threshold,days,7
09577_Weißenburg-Gunzenhausen,5.410898,DD,year,days_with_precipitation_amount_below_threshold,days,7
09661_Aschaffenburg,4.9908857,DD,year,days_with_precipitation_amount_below_threshold,days,7
09662_Schweinfurt,4.948856,DD,year,days_with_precipitation_amount_below_threshold,days,7
09663_Würzburg,4.718038,DD,year,days_with_precipitation_amount_below_threshold,days,7
09671_Aschaffenburg,6.2977657,DD,year,days_with_precipitation_amount_below_threshold,days,7
09672_Bad Kissingen,5.6997924,DD,year,days_with_precipitation_amount_below_threshold,days,7
09673_Rhön-Grabfeld,5.125012,DD,year,days_with_precipitation_amount_below_threshold,days,7
09674_Haßberge,5.03009,DD,year,days_with_precipitation_amount_below_threshold,days,7
09675_Kitzingen,4.592347,DD,year,days_with_precipitation_amount_below_threshold,days,7
09676_Miltenberg,5.9115915,DD,year,days_with_precipitation_amount_below_threshold,days,7
09677_Main-Spessart,5.783575,DD,year,days_with_precipitation_amount_below_threshold,days,7
09678_Schweinfurt,4.822112,DD,year,days_with_precipitation_amount_below_threshold,days,7
09679_Würzburg,4.730075,DD,year,days_with_precipitation_amount_below_threshold,days,7
09761_Augsburg,5.5611296,DD,year,days_with_precipitation_amount_below_threshold,days,7
09762_Kaufbeuren,7.669476,DD,year,days_with_precipitation_amount_below_threshold,days,7
09763_Kempten (Allgäu),8.699253,DD,year,days_with_precipitation_amount_below_threshold,days,7
09764_Memmingen,7.4873757,DD,year,days_with_precipitation_amount_below_threshold,days,7
09771_Aichach-Friedberg,5.3994093,DD,year,days_with_precipitation_amount_below_threshold,days,7
09772_Augsburg,5.778415,DD,year,days_with_precipitation_amount_below_threshold,days,7
09773_Dillingen a.d. Donau,4.7075973,DD,year,days_with_precipitation_amount_below_threshold,days,7
09774_Günzburg,5.264804,DD,year,days_with_precipitation_amount_below_threshold,days,7
09775_Neu-Ulm,5.1467557,DD,year,days_with_precipitation_amount_below_threshold,days,7
09776_Lindau (Bodensee),9.51016,DD,year,days_with_precipitation_amount_below_threshold,days,7
09777_Ostallgäu,8.374504,DD,year,days_with_precipitation_amount_below_threshold,days,7
09778_Unterallgäu,7.188602,DD,year,days_with_precipitation_amount_below_threshold,days,7
09779_Donau-Ries,4.845451,DD,year,days_with_precipitation_amount_below_threshold,days,7
