region,DD_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
07320_Zweibrücken,2.593902587890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07331_Alzey-Worms,-0.572540283203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07332_Bad Dürkheim,0.70947265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07333_Donnersbergkreis,0.3868408203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07334_Germersheim,0.6808319091796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
07335_Kaiserslautern,1.945220947265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07336_Kusel,1.95697021484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07337_Südliche Weinstraße,1.34893798828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07338_Rhein-Pfalz-Kreis,0.640777587890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07339_Mainz-Bingen,0.0014801025390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07340_Südwestpfalz,2.424713134765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08111_Stuttgart,1.054168701171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08115_Böblingen,0.8318023681640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08116_Esslingen,1.7428436279296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08117_Göppingen,1.2353515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08118_Ludwigsburg,1.2071380615234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08119_Rems-Murr-Kreis,1.68408203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08121_Heilbronn,1.164398193359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08125_Heilbronn,1.2840576171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08126_Hohenlohekreis,1.2277069091796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08127_Schwäbisch Hall,1.678741455078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08128_Main-Tauber-Kreis,0.6341094970703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08135_Heidenheim,1.4572906494140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08136_Ostalbkreis,1.5626983642578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08211_Baden-Baden,2.901519775390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08212_Karlsruhe,0.542449951171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08215_Karlsruhe,0.8981475830078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08216_Rastatt,2.293487548828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08221_Heidelberg,1.5044403076171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08222_Mannheim,0.9472503662109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08225_Neckar-Odenwald-Kreis,1.4867706298828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08226_Rhein-Neckar-Kreis,1.80938720703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08231_Pforzheim,0.6270904541015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
