region,DD_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
06433_Groß-Gerau,-8.228347778320312,DD,year,days_with_precipitation_amount_below_threshold,days,7
06434_Hochtaunuskreis,-6.669647216796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
06435_Main-Kinzig-Kreis,-7.409912109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
06436_Main-Taunus-Kreis,-6.6754302978515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
06437_Odenwaldkreis,-9.165924072265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
06438_Offenbach,-7.7338104248046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,-5.7675018310546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
06440_Wetteraukreis,-7.003204345703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
06531_Gießen,-6.2765350341796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
06532_Lahn-Dill-Kreis,-5.0574951171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
06533_Limburg-Weilburg,-6.7886199951171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
06534_Marburg-Biedenkopf,-5.566436767578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
06535_Vogelsbergkreis,-6.83514404296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
06611_Kassel,-7.7279205322265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
06631_Fulda,-7.2056121826171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
06632_Hersfeld-Rotenburg,-8.183837890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
06633_Kassel,-8.659255981445312,DD,year,days_with_precipitation_amount_below_threshold,days,7
06634_Schwalm-Eder-Kreis,-8.40771484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
06635_Waldeck-Frankenberg,-7.2214202880859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
06636_Werra-Meißner-Kreis,-9.460128784179688,DD,year,days_with_precipitation_amount_below_threshold,days,7
07111_Koblenz,-7.4439239501953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07131_Ahrweiler,-6.635589599609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07132_Altenkirchen (Westerwald),-6.8197021484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07133_Bad Kreuznach,-6.577423095703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07134_Birkenfeld,-6.980743408203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07135_Cochem-Zell,-7.591339111328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07137_Mayen-Koblenz,-6.565521240234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07138_Neuwied,-7.101318359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07140_Rhein-Hunsrück-Kreis,-6.4049530029296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
07141_Rhein-Lahn-Kreis,-6.439697265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07143_Westerwaldkreis,-5.840087890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07211_Trier,-8.896499633789062,DD,year,days_with_precipitation_amount_below_threshold,days,7
07231_Bernkastel-Wittlich,-8.2525634765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,-5.31103515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07233_Vulkaneifel,-6.591522216796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
07235_Trier-Saarburg,-8.130172729492188,DD,year,days_with_precipitation_amount_below_threshold,days,7
07311_Frankenthal (Pfalz),-8.940216064453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07312_Kaiserslautern,-6.22625732421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
07313_Landau in der Pfalz,-7.0243377685546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
07314_Ludwigshafen am Rhein,-7.7229156494140625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07315_Mainz,-8.282760620117188,DD,year,days_with_precipitation_amount_below_threshold,days,7
07316_Neustadt an der Weinstraße,-7.518524169921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
07317_Pirmasens,-7.3612518310546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
07318_Speyer,-8.321792602539062,DD,year,days_with_precipitation_amount_below_threshold,days,7
07319_Worms,-8.666793823242188,DD,year,days_with_precipitation_amount_below_threshold,days,7
07320_Zweibrücken,-7.695556640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07331_Alzey-Worms,-7.8748016357421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
07332_Bad Dürkheim,-7.648590087890625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07333_Donnersbergkreis,-8.236114501953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07334_Germersheim,-9.1357421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
07335_Kaiserslautern,-6.3561553955078125,DD,year,days_with_precipitation_amount_below_threshold,days,7
