region,DD_year_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
07320_Zweibrücken,-8.934783935546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
07331_Alzey-Worms,-9.927047729492188,DD,year,days_with_precipitation_amount_below_threshold,days,7
07332_Bad Dürkheim,-10.201690673828125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07333_Donnersbergkreis,-11.2938232421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
07334_Germersheim,-10.23468017578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
07335_Kaiserslautern,-10.775787353515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
07336_Kusel,-10.9036865234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
07337_Südliche Weinstraße,-9.250137329101562,DD,year,days_with_precipitation_amount_below_threshold,days,7
07338_Rhein-Pfalz-Kreis,-10.670379638671875,DD,year,days_with_precipitation_amount_below_threshold,days,7
07339_Mainz-Bingen,-10.605606079101562,DD,year,days_with_precipitation_amount_below_threshold,days,7
07340_Südwestpfalz,-9.012252807617188,DD,year,days_with_precipitation_amount_below_threshold,days,7
08111_Stuttgart,-9.933700561523438,DD,year,days_with_precipitation_amount_below_threshold,days,7
08115_Böblingen,-9.830459594726562,DD,year,days_with_precipitation_amount_below_threshold,days,7
08116_Esslingen,-10.523040771484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08117_Göppingen,-10.175506591796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08118_Ludwigsburg,-9.661575317382812,DD,year,days_with_precipitation_amount_below_threshold,days,7
08119_Rems-Murr-Kreis,-9.82171630859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08121_Heilbronn,-11.197357177734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08125_Heilbronn,-9.550323486328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08126_Hohenlohekreis,-9.936630249023438,DD,year,days_with_precipitation_amount_below_threshold,days,7
08127_Schwäbisch Hall,-10.170654296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08128_Main-Tauber-Kreis,-8.762496948242188,DD,year,days_with_precipitation_amount_below_threshold,days,7
08135_Heidenheim,-8.706924438476562,DD,year,days_with_precipitation_amount_below_threshold,days,7
08136_Ostalbkreis,-8.901596069335938,DD,year,days_with_precipitation_amount_below_threshold,days,7
08211_Baden-Baden,-10.12701416015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08212_Karlsruhe,-11.131973266601562,DD,year,days_with_precipitation_amount_below_threshold,days,7
08215_Karlsruhe,-10.63177490234375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08216_Rastatt,-9.158233642578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08221_Heidelberg,-10.034194946289062,DD,year,days_with_precipitation_amount_below_threshold,days,7
08222_Mannheim,-11.267196655273438,DD,year,days_with_precipitation_amount_below_threshold,days,7
08225_Neckar-Odenwald-Kreis,-8.47210693359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
08226_Rhein-Neckar-Kreis,-9.735427856445312,DD,year,days_with_precipitation_amount_below_threshold,days,7
08231_Pforzheim,-10.907577514648438,DD,year,days_with_precipitation_amount_below_threshold,days,7
08235_Calw,-8.417617797851562,DD,year,days_with_precipitation_amount_below_threshold,days,7
08236_Enzkreis,-10.678634643554688,DD,year,days_with_precipitation_amount_below_threshold,days,7
08237_Freudenstadt,-7.3681182861328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08311_Freiburg im Breisgau,-10.979110717773438,DD,year,days_with_precipitation_amount_below_threshold,days,7
08315_Breisgau-Hochschwarzwald,-8.566841125488281,DD,year,days_with_precipitation_amount_below_threshold,days,7
08316_Emmendingen,-10.113723754882812,DD,year,days_with_precipitation_amount_below_threshold,days,7
08317_Ortenaukreis,-11.1002197265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08325_Rottweil,-9.242416381835938,DD,year,days_with_precipitation_amount_below_threshold,days,7
08326_Schwarzwald-Baar-Kreis,-9.095748901367188,DD,year,days_with_precipitation_amount_below_threshold,days,7
08327_Tuttlingen,-7.3765106201171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08335_Konstanz,-9.882492065429688,DD,year,days_with_precipitation_amount_below_threshold,days,7
08336_Lörrach,-8.753936767578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
08337_Waldshut,-7.241424560546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08415_Reutlingen,-9.9901123046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08416_Tübingen,-10.35992431640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
08417_Zollernalbkreis,-8.278610229492188,DD,year,days_with_precipitation_amount_below_threshold,days,7
08421_Ulm,-9.709304809570312,DD,year,days_with_precipitation_amount_below_threshold,days,7
08425_Alb-Donau-Kreis,-8.960174560546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08426_Biberach,-10.734603881835938,DD,year,days_with_precipitation_amount_below_threshold,days,7
08435_Bodenseekreis,-11.538467407226562,DD,year,days_with_precipitation_amount_below_threshold,days,7
08436_Ravensburg,-11.532928466796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
08437_Sigmaringen,-9.789810180664062,DD,year,days_with_precipitation_amount_below_threshold,days,7
09161_Ingolstadt,-9.960769653320312,DD,year,days_with_precipitation_amount_below_threshold,days,7
09162_München,-10.347946166992188,DD,year,days_with_precipitation_amount_below_threshold,days,7
09163_Rosenheim,-13.319122314453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09171_Altötting,-10.951202392578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09172_Berchtesgadener Land,-12.143707275390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,-11.781082153320312,DD,year,days_with_precipitation_amount_below_threshold,days,7
09174_Dachau,-10.183700561523438,DD,year,days_with_precipitation_amount_below_threshold,days,7
09175_Ebersberg,-9.737655639648438,DD,year,days_with_precipitation_amount_below_threshold,days,7
09176_Eichstätt,-9.612945556640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09177_Erding,-9.822189331054688,DD,year,days_with_precipitation_amount_below_threshold,days,7
09178_Freising,-9.0211181640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09179_Fürstenfeldbruck,-9.305038452148438,DD,year,days_with_precipitation_amount_below_threshold,days,7
09180_Garmisch-Partenkirchen,-10.900924682617188,DD,year,days_with_precipitation_amount_below_threshold,days,7
09181_Landsberg am Lech,-9.244415283203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09182_Miesbach,-9.500259399414062,DD,year,days_with_precipitation_amount_below_threshold,days,7
09183_Mühldorf a. Inn,-9.179534912109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09184_München,-9.34307861328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09185_Neuburg-Schrobenhausen,-9.389892578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,-10.514068603515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09187_Rosenheim,-11.804794311523438,DD,year,days_with_precipitation_amount_below_threshold,days,7
09188_Starnberg,-10.544647216796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09189_Traunstein,-10.525787353515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09190_Weilheim-Schongau,-10.538055419921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09261_Landshut,-9.467941284179688,DD,year,days_with_precipitation_amount_below_threshold,days,7
09262_Passau,-9.87664794921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09263_Straubing,-10.822845458984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09271_Deggendorf,-9.99945068359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09272_Freyung-Grafenau,-9.896347045898438,DD,year,days_with_precipitation_amount_below_threshold,days,7
09273_Kelheim,-9.476882934570312,DD,year,days_with_precipitation_amount_below_threshold,days,7
09274_Landshut,-9.308685302734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09275_Passau,-9.452285766601562,DD,year,days_with_precipitation_amount_below_threshold,days,7
09276_Regen,-10.132247924804688,DD,year,days_with_precipitation_amount_below_threshold,days,7
09277_Rottal-Inn,-9.848892211914062,DD,year,days_with_precipitation_amount_below_threshold,days,7
09278_Straubing-Bogen,-10.128311157226562,DD,year,days_with_precipitation_amount_below_threshold,days,7
09279_Dingolfing-Landau,-9.511016845703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09361_Amberg,-12.621017456054688,DD,year,days_with_precipitation_amount_below_threshold,days,7
09362_Regensburg,-12.129806518554688,DD,year,days_with_precipitation_amount_below_threshold,days,7
09363_Weiden i.d. OPf.,-11.831680297851562,DD,year,days_with_precipitation_amount_below_threshold,days,7
09371_Amberg-Sulzbach,-12.194488525390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09372_Cham,-11.930282592773438,DD,year,days_with_precipitation_amount_below_threshold,days,7
09373_Neumarkt i.d. OPf.,-11.321121215820312,DD,year,days_with_precipitation_amount_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,-11.660995483398438,DD,year,days_with_precipitation_amount_below_threshold,days,7
09375_Regensburg,-11.244003295898438,DD,year,days_with_precipitation_amount_below_threshold,days,7
09376_Schwandorf,-12.966156005859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
