region,DD_year_2C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
06432_Darmstadt-Dieburg,10.077606201171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
06433_Groß-Gerau,9.2366943359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
06434_Hochtaunuskreis,10.260452270507812,DD,year,days_with_precipitation_amount_below_threshold,days,7
06435_Main-Kinzig-Kreis,10.839187622070312,DD,year,days_with_precipitation_amount_below_threshold,days,7
06436_Main-Taunus-Kreis,8.423629760742188,DD,year,days_with_precipitation_amount_below_threshold,days,7
06437_Odenwaldkreis,10.885955810546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
06438_Offenbach,9.167221069335938,DD,year,days_with_precipitation_amount_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,10.325790405273438,DD,year,days_with_precipitation_amount_below_threshold,days,7
06440_Wetteraukreis,9.84844970703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
06531_Gießen,11.220428466796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
06532_Lahn-Dill-Kreis,11.73773193359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
06533_Limburg-Weilburg,10.621322631835938,DD,year,days_with_precipitation_amount_below_threshold,days,7
06534_Marburg-Biedenkopf,12.850662231445312,DD,year,days_with_precipitation_amount_below_threshold,days,7
06535_Vogelsbergkreis,11.614669799804688,DD,year,days_with_precipitation_amount_below_threshold,days,7
06611_Kassel,13.215499877929688,DD,year,days_with_precipitation_amount_below_threshold,days,7
06631_Fulda,11.940841674804688,DD,year,days_with_precipitation_amount_below_threshold,days,7
06632_Hersfeld-Rotenburg,12.97357177734375,DD,year,days_with_precipitation_amount_below_threshold,days,7
06633_Kassel,13.120819091796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
06634_Schwalm-Eder-Kreis,12.801773071289062,DD,year,days_with_precipitation_amount_below_threshold,days,7
