region,DD_year_3C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
09363_Weiden i.d. OPf.,0.620635986328125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09371_Amberg-Sulzbach,0.3814239501953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09372_Cham,1.28271484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09373_Neumarkt i.d. OPf.,0.737274169921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,1.3808441162109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09375_Regensburg,-0.8783416748046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09376_Schwandorf,-0.152618408203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09377_Tirschenreuth,1.697113037109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09461_Bamberg,0.5958709716796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09462_Bayreuth,1.2795867919921875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09463_Coburg,1.9164886474609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09464_Hof,0.5993804931640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09471_Bamberg,1.4306640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09472_Bayreuth,2.6141357421875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09473_Coburg,2.104400634765625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09474_Forchheim,1.6240081787109375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09475_Hof,2.0877685546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09476_Kronach,3.429290771484375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09477_Kulmbach,2.043365478515625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09478_Lichtenfels,2.07171630859375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,1.3331451416015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09561_Ansbach,0.5304718017578125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09562_Erlangen,0.24163818359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09563_Fürth,0.16290283203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09564_Nürnberg,0.0612030029296875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09565_Schwabach,0.2172088623046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09571_Ansbach,0.9500274658203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09572_Erlangen-Höchstadt,0.306427001953125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09573_Fürth,0.0586700439453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09574_Nürnberger Land,2.2485809326171875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,0.6561737060546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09576_Roth,0.4796295166015625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09577_Weißenburg-Gunzenhausen,0.3243408203125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09661_Aschaffenburg,1.354278564453125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09662_Schweinfurt,1.6033782958984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09663_Würzburg,1.233001708984375,DD,year,days_with_precipitation_amount_below_threshold,days,7
