region,ci_name,ci_frequency,standard_name,units,mid_month,DD_year_3C_rcp85_ensemble-robustness
09474_Forchheim,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
09475_Hof,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
09476_Kronach,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
09477_Kulmbach,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
09478_Lichtenfels,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
09479_Wunsiedel i. Fichtelgebirge,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09561_Ansbach,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09562_Erlangen,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09563_Fürth,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09564_Nürnberg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09565_Schwabach,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09571_Ansbach,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09572_Erlangen-Höchstadt,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09573_Fürth,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09574_Nürnberger Land,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
09575_Neustadt a.d. Aisch-Bad Windsheim,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09576_Roth,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09577_Weißenburg-Gunzenhausen,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09661_Aschaffenburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
09662_Schweinfurt,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09663_Würzburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09671_Aschaffenburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
09672_Bad Kissingen,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
09673_Rhön-Grabfeld,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09674_Haßberge,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
09675_Kitzingen,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09676_Miltenberg,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
09677_Main-Spessart,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
09678_Schweinfurt,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09679_Würzburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09761_Augsburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09762_Kaufbeuren,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09763_Kempten (Allgäu),DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
09764_Memmingen,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09771_Aichach-Friedberg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09772_Augsburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09773_Dillingen a.d. Donau,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09774_Günzburg,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09775_Neu-Ulm,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09776_Lindau (Bodensee),DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
09777_Ostallgäu,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09778_Unterallgäu,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09779_Donau-Ries,DD,year,days_with_precipitation_amount_below_threshold,days,7,
09780_Oberallgäu,DD,year,days_with_precipitation_amount_below_threshold,days,7,
10041_Regionalverband Saarbrücken,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
10042_Merzig-Wadern,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
10043_Neunkirchen,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
10044_Saarlouis,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
10045_Saarpfalz-Kreis,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
10046_St. Wendel,DD,year,days_with_precipitation_amount_below_threshold,days,7,1.0
11000_Berlin,DD,year,days_with_precipitation_amount_below_threshold,days,7,
12051_Brandenburg an der Havel,DD,year,days_with_precipitation_amount_below_threshold,days,7,
12052_Cottbus,DD,year,days_with_precipitation_amount_below_threshold,days,7,
12053_Frankfurt (Oder),DD,year,days_with_precipitation_amount_below_threshold,days,7,
12054_Potsdam,DD,year,days_with_precipitation_amount_below_threshold,days,7,
12060_Barnim,DD,year,days_with_precipitation_amount_below_threshold,days,7,
12061_Dahme-Spreewald,DD,year,days_with_precipitation_amount_below_threshold,days,7,
12062_Elbe-Elster,DD,year,days_with_precipitation_amount_below_threshold,days,7,
12063_Havelland,DD,year,days_with_precipitation_amount_below_threshold,days,7,
12064_Märkisch-Oderland,DD,year,days_with_precipitation_amount_below_threshold,days,7,
12065_Oberhavel,DD,year,days_with_precipitation_amount_below_threshold,days,7,
12066_Oberspreewald-Lausitz,DD,year,days_with_precipitation_amount_below_threshold,days,7,
12067_Oder-Spree,DD,year,days_with_precipitation_amount_below_threshold,days,7,
12068_Ostprignitz-Ruppin,DD,year,days_with_precipitation_amount_below_threshold,days,7,
12069_Potsdam-Mittelmark,DD,year,days_with_precipitation_amount_below_threshold,days,7,
12070_Prignitz,DD,year,days_with_precipitation_amount_below_threshold,days,7,
12071_Spree-Neiße,DD,year,days_with_precipitation_amount_below_threshold,days,7,
12072_Teltow-Fläming,DD,year,days_with_precipitation_amount_below_threshold,days,7,
