region,DSx5_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
05366_Euskirchen,0.44967443,DSx5,year,dry_spell_duration,days,7
05370_Heinsberg,0.34606615,DSx5,year,dry_spell_duration,days,7
05374_Oberbergischer Kreis,0.35417545,DSx5,year,dry_spell_duration,days,7
05378_Rheinisch-Bergischer Kreis,0.3142644,DSx5,year,dry_spell_duration,days,7
05382_Rhein-Sieg-Kreis,0.3579699,DSx5,year,dry_spell_duration,days,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,0.16264953,DSx5,year,dry_spell_duration,days,7
05512_Bottrop,0.16226415,DSx5,year,dry_spell_duration,days,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,0.13400775,DSx5,year,dry_spell_duration,days,7
05513_Gelsenkirchen,0.11760879,DSx5,year,dry_spell_duration,days,7
05515_05566_05558_05570_Region_um_Münster,0.06788071,DSx5,year,dry_spell_duration,days,7
05515_Münster,0.05770596,DSx5,year,dry_spell_duration,days,7
05554_Borken,0.06392158,DSx5,year,dry_spell_duration,days,7
05558_Coesfeld,0.08884602,DSx5,year,dry_spell_duration,days,7
05562_Recklinghausen,0.11775455,DSx5,year,dry_spell_duration,days,7
05566_Steinfurt,0.0057507064,DSx5,year,dry_spell_duration,days,7
05570_Warendorf,0.13698228,DSx5,year,dry_spell_duration,days,7
05711_05754_05758_05766_Region_um_Bielefeld,0.1459441,DSx5,year,dry_spell_duration,days,7
05711_Bielefeld,0.11563785,DSx5,year,dry_spell_duration,days,7
05754_Gütersloh,0.10215741,DSx5,year,dry_spell_duration,days,7
05758_Herford,0.10809381,DSx5,year,dry_spell_duration,days,7
05762_Höxter,0.11779906,DSx5,year,dry_spell_duration,days,7
05766_Lippe,0.20022838,DSx5,year,dry_spell_duration,days,7
05770_Minden-Lübbecke,0.16731963,DSx5,year,dry_spell_duration,days,7
05774_Paderborn,0.16475238,DSx5,year,dry_spell_duration,days,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,0.15618138,DSx5,year,dry_spell_duration,days,7
05911_Bochum,0.14744318,DSx5,year,dry_spell_duration,days,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,0.14226404,DSx5,year,dry_spell_duration,days,7
05913_Dortmund,0.110021405,DSx5,year,dry_spell_duration,days,7
05914_05954_05913_05978_05962_Region_um_Hagen,0.20603661,DSx5,year,dry_spell_duration,days,7
05914_Hagen,0.19978358,DSx5,year,dry_spell_duration,days,7
05915_05978_05974_05570_05558_Region_um_Hamm,0.10759974,DSx5,year,dry_spell_duration,days,7
05915_Hamm,0.14108676,DSx5,year,dry_spell_duration,days,7
05916_05513_05562_05911_Region_um_Herne,0.11966493,DSx5,year,dry_spell_duration,days,7
05916_Herne,0.08009435,DSx5,year,dry_spell_duration,days,7
05954_Ennepe-Ruhr-Kreis,0.26451203,DSx5,year,dry_spell_duration,days,7
05958_Hochsauerlandkreis,0.2919723,DSx5,year,dry_spell_duration,days,7
05962_Märkischer Kreis,0.26845118,DSx5,year,dry_spell_duration,days,7
05966_Olpe,0.35663357,DSx5,year,dry_spell_duration,days,7
05970_Siegen-Wittgenstein,0.50487506,DSx5,year,dry_spell_duration,days,7
05974_Soest,0.09551498,DSx5,year,dry_spell_duration,days,7
05978_Unna,0.08940914,DSx5,year,dry_spell_duration,days,7
06411_06432_06438_Region_um_Darmstadt,0.2942267,DSx5,year,dry_spell_duration,days,7
06411_Darmstadt,0.32685536,DSx5,year,dry_spell_duration,days,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,0.35212728,DSx5,year,dry_spell_duration,days,7
06412_Frankfurt am Main,0.4217119,DSx5,year,dry_spell_duration,days,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,0.31416023,DSx5,year,dry_spell_duration,days,7
06413_Offenbach am Main,0.40936643,DSx5,year,dry_spell_duration,days,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,0.4068774,DSx5,year,dry_spell_duration,days,7
06414_Wiesbaden,0.42915052,DSx5,year,dry_spell_duration,days,7
06431_Bergstraße,0.2574746,DSx5,year,dry_spell_duration,days,7
