region,ci_name,ci_frequency,standard_name,units,mid_month,DSx5_year_2C_rcp85_ensemble-robustness
05762_Höxter,DSx5,year,dry_spell_duration,days,7,
05766_Lippe,DSx5,year,dry_spell_duration,days,7,
05770_Minden-Lübbecke,DSx5,year,dry_spell_duration,days,7,
05774_Paderborn,DSx5,year,dry_spell_duration,days,7,
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,DSx5,year,dry_spell_duration,days,7,
05911_Bochum,DSx5,year,dry_spell_duration,days,7,
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,DSx5,year,dry_spell_duration,days,7,
05913_Dortmund,DSx5,year,dry_spell_duration,days,7,
05914_05954_05913_05978_05962_Region_um_Hagen,DSx5,year,dry_spell_duration,days,7,
05914_Hagen,DSx5,year,dry_spell_duration,days,7,
05915_05978_05974_05570_05558_Region_um_Hamm,DSx5,year,dry_spell_duration,days,7,
05915_Hamm,DSx5,year,dry_spell_duration,days,7,
05916_05513_05562_05911_Region_um_Herne,DSx5,year,dry_spell_duration,days,7,
05916_Herne,DSx5,year,dry_spell_duration,days,7,
05954_Ennepe-Ruhr-Kreis,DSx5,year,dry_spell_duration,days,7,
05958_Hochsauerlandkreis,DSx5,year,dry_spell_duration,days,7,
05962_Märkischer Kreis,DSx5,year,dry_spell_duration,days,7,
05966_Olpe,DSx5,year,dry_spell_duration,days,7,
05970_Siegen-Wittgenstein,DSx5,year,dry_spell_duration,days,7,
05974_Soest,DSx5,year,dry_spell_duration,days,7,
05978_Unna,DSx5,year,dry_spell_duration,days,7,
06411_06432_06438_Region_um_Darmstadt,DSx5,year,dry_spell_duration,days,7,
06411_Darmstadt,DSx5,year,dry_spell_duration,days,7,
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,DSx5,year,dry_spell_duration,days,7,
06412_Frankfurt am Main,DSx5,year,dry_spell_duration,days,7,
06413_06438_06435_06412_Region_um_Offenbach_am_Main,DSx5,year,dry_spell_duration,days,7,
06413_Offenbach am Main,DSx5,year,dry_spell_duration,days,7,
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,DSx5,year,dry_spell_duration,days,7,
06414_Wiesbaden,DSx5,year,dry_spell_duration,days,7,
06431_Bergstraße,DSx5,year,dry_spell_duration,days,7,
06432_Darmstadt-Dieburg,DSx5,year,dry_spell_duration,days,7,
06433_Groß-Gerau,DSx5,year,dry_spell_duration,days,7,
06434_Hochtaunuskreis,DSx5,year,dry_spell_duration,days,7,
06435_Main-Kinzig-Kreis,DSx5,year,dry_spell_duration,days,7,
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,DSx5,year,dry_spell_duration,days,7,
06436_Main-Taunus-Kreis,DSx5,year,dry_spell_duration,days,7,
06437_Odenwaldkreis,DSx5,year,dry_spell_duration,days,7,
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,DSx5,year,dry_spell_duration,days,7,
06438_Offenbach,DSx5,year,dry_spell_duration,days,7,
06439_Rheingau-Taunus-Kreis,DSx5,year,dry_spell_duration,days,7,
06440_Wetteraukreis,DSx5,year,dry_spell_duration,days,7,
06531_Gießen,DSx5,year,dry_spell_duration,days,7,
06532_Lahn-Dill-Kreis,DSx5,year,dry_spell_duration,days,7,
06533_Limburg-Weilburg,DSx5,year,dry_spell_duration,days,7,
06534_Marburg-Biedenkopf,DSx5,year,dry_spell_duration,days,7,
06535_Vogelsbergkreis,DSx5,year,dry_spell_duration,days,7,
06611_06633_03159_Region_um_Kassel,DSx5,year,dry_spell_duration,days,7,
