region,DSx5_year_4C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
05314_05382_Region_um_Bonn,2.030241012573242,DSx5,year,dry_spell_duration,days,7
05314_Bonn,1.851712703704834,DSx5,year,dry_spell_duration,days,7
05315_Köln,1.7691221237182617,DSx5,year,dry_spell_duration,days,7
05316_05315_05378_05158_Region_um_Leverkusen,1.5887880325317383,DSx5,year,dry_spell_duration,days,7
05316_Leverkusen,1.565293788909912,DSx5,year,dry_spell_duration,days,7
05334_Städteregion Aachen,2.0335869789123535,DSx5,year,dry_spell_duration,days,7
05358_Düren,1.6695828437805176,DSx5,year,dry_spell_duration,days,7
05362_Rhein-Erft-Kreis,1.5436053276062012,DSx5,year,dry_spell_duration,days,7
05366_Euskirchen,1.8525729179382324,DSx5,year,dry_spell_duration,days,7
05370_Heinsberg,1.9787840843200684,DSx5,year,dry_spell_duration,days,7
05374_Oberbergischer Kreis,2.022642135620117,DSx5,year,dry_spell_duration,days,7
05378_Rheinisch-Bergischer Kreis,1.86897611618042,DSx5,year,dry_spell_duration,days,7
05382_Rhein-Sieg-Kreis,2.03279447555542,DSx5,year,dry_spell_duration,days,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,1.3228602409362793,DSx5,year,dry_spell_duration,days,7
05512_Bottrop,1.53226900100708,DSx5,year,dry_spell_duration,days,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,1.417989730834961,DSx5,year,dry_spell_duration,days,7
05513_Gelsenkirchen,1.5326910018920898,DSx5,year,dry_spell_duration,days,7
05515_05566_05558_05570_Region_um_Münster,1.033167839050293,DSx5,year,dry_spell_duration,days,7
05515_Münster,1.2458686828613281,DSx5,year,dry_spell_duration,days,7
05554_Borken,1.2019400596618652,DSx5,year,dry_spell_duration,days,7
05558_Coesfeld,1.0542802810668945,DSx5,year,dry_spell_duration,days,7
05562_Recklinghausen,1.2731857299804688,DSx5,year,dry_spell_duration,days,7
05566_Steinfurt,1.0670642852783203,DSx5,year,dry_spell_duration,days,7
05570_Warendorf,1.2891197204589844,DSx5,year,dry_spell_duration,days,7
05711_05754_05758_05766_Region_um_Bielefeld,1.4874200820922852,DSx5,year,dry_spell_duration,days,7
05711_Bielefeld,1.3548526763916016,DSx5,year,dry_spell_duration,days,7
05754_Gütersloh,1.3403635025024414,DSx5,year,dry_spell_duration,days,7
05758_Herford,1.4639601707458496,DSx5,year,dry_spell_duration,days,7
05762_Höxter,1.6127572059631348,DSx5,year,dry_spell_duration,days,7
05766_Lippe,1.4918842315673828,DSx5,year,dry_spell_duration,days,7
05770_Minden-Lübbecke,1.3042874336242676,DSx5,year,dry_spell_duration,days,7
05774_Paderborn,1.6128110885620117,DSx5,year,dry_spell_duration,days,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,1.51570463180542,DSx5,year,dry_spell_duration,days,7
05911_Bochum,1.575507640838623,DSx5,year,dry_spell_duration,days,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,1.4771943092346191,DSx5,year,dry_spell_duration,days,7
05913_Dortmund,1.4458065032958984,DSx5,year,dry_spell_duration,days,7
05914_05954_05913_05978_05962_Region_um_Hagen,1.6700596809387207,DSx5,year,dry_spell_duration,days,7
05914_Hagen,1.8130607604980469,DSx5,year,dry_spell_duration,days,7
05915_05978_05974_05570_05558_Region_um_Hamm,1.1531872749328613,DSx5,year,dry_spell_duration,days,7
05915_Hamm,1.3653335571289062,DSx5,year,dry_spell_duration,days,7
05916_05513_05562_05911_Region_um_Herne,1.4262642860412598,DSx5,year,dry_spell_duration,days,7
05916_Herne,1.8211030960083008,DSx5,year,dry_spell_duration,days,7
05954_Ennepe-Ruhr-Kreis,1.7466168403625488,DSx5,year,dry_spell_duration,days,7
05958_Hochsauerlandkreis,1.782515525817871,DSx5,year,dry_spell_duration,days,7
05962_Märkischer Kreis,1.93125581741333,DSx5,year,dry_spell_duration,days,7
05966_Olpe,2.1980013847351074,DSx5,year,dry_spell_duration,days,7
05970_Siegen-Wittgenstein,2.0897865295410156,DSx5,year,dry_spell_duration,days,7
05974_Soest,1.6269803047180176,DSx5,year,dry_spell_duration,days,7
05978_Unna,1.0836453437805176,DSx5,year,dry_spell_duration,days,7
06411_06432_06438_Region_um_Darmstadt,1.538292407989502,DSx5,year,dry_spell_duration,days,7
06411_Darmstadt,1.6108989715576172,DSx5,year,dry_spell_duration,days,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,1.5735993385314941,DSx5,year,dry_spell_duration,days,7
06412_Frankfurt am Main,1.7141399383544922,DSx5,year,dry_spell_duration,days,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,1.7021141052246094,DSx5,year,dry_spell_duration,days,7
06413_Offenbach am Main,1.5740914344787598,DSx5,year,dry_spell_duration,days,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,1.816598892211914,DSx5,year,dry_spell_duration,days,7
06414_Wiesbaden,1.5002775192260742,DSx5,year,dry_spell_duration,days,7
06431_Bergstraße,1.5336079597473145,DSx5,year,dry_spell_duration,days,7
06432_Darmstadt-Dieburg,1.4819526672363281,DSx5,year,dry_spell_duration,days,7
06433_Groß-Gerau,1.395695686340332,DSx5,year,dry_spell_duration,days,7
06434_Hochtaunuskreis,1.8011579513549805,DSx5,year,dry_spell_duration,days,7
06435_Main-Kinzig-Kreis,2.090672492980957,DSx5,year,dry_spell_duration,days,7
