region,DSx5_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
09190_Weilheim-Schongau,0.12204921,DSx5,year,dry_spell_duration,days,7
09261_09274_Region_um_Landshut,0.2076082,DSx5,year,dry_spell_duration,days,7
09261_Landshut,0.275516,DSx5,year,dry_spell_duration,days,7
09262_09275_Region_um_Passau,0.17856562,DSx5,year,dry_spell_duration,days,7
09262_Passau,0.14553407,DSx5,year,dry_spell_duration,days,7
09263_09278_Region_um_Straubing,0.16104889,DSx5,year,dry_spell_duration,days,7
09263_Straubing,0.25805357,DSx5,year,dry_spell_duration,days,7
09271_Deggendorf,0.18506385,DSx5,year,dry_spell_duration,days,7
09272_Freyung-Grafenau,0.36529082,DSx5,year,dry_spell_duration,days,7
09273_Kelheim,0.17096645,DSx5,year,dry_spell_duration,days,7
09274_Landshut,0.2039724,DSx5,year,dry_spell_duration,days,7
09275_Passau,0.18009676,DSx5,year,dry_spell_duration,days,7
09276_Regen,0.30207202,DSx5,year,dry_spell_duration,days,7
09277_Rottal-Inn,0.2984616,DSx5,year,dry_spell_duration,days,7
09278_Straubing-Bogen,0.15531573,DSx5,year,dry_spell_duration,days,7
09279_Dingolfing-Landau,0.1469037,DSx5,year,dry_spell_duration,days,7
09361_09371_Region_um_Amberg,0.11185477,DSx5,year,dry_spell_duration,days,7
09361_Amberg,0.058109768,DSx5,year,dry_spell_duration,days,7
09362_09375_Region_um_Regensburg,0.15830237,DSx5,year,dry_spell_duration,days,7
09362_Regensburg,0.24151367,DSx5,year,dry_spell_duration,days,7
09363_09374_Region_um_Weiden_in_der_Oberpfalz,0.16426577,DSx5,year,dry_spell_duration,days,7
09363_Weiden i.d. OPf.,0.17277017,DSx5,year,dry_spell_duration,days,7
09371_Amberg-Sulzbach,0.11409716,DSx5,year,dry_spell_duration,days,7
09372_Cham,0.23252694,DSx5,year,dry_spell_duration,days,7
09373_Neumarkt i.d. OPf.,0.14516607,DSx5,year,dry_spell_duration,days,7
09374_Neustadt a.d. Waldnaab,0.16383362,DSx5,year,dry_spell_duration,days,7
09375_Regensburg,0.1530702,DSx5,year,dry_spell_duration,days,7
09376_Schwandorf,0.13057767,DSx5,year,dry_spell_duration,days,7
09377_Tirschenreuth,0.27370432,DSx5,year,dry_spell_duration,days,7
09461_09471_Region_um_Bamberg,0.1972529,DSx5,year,dry_spell_duration,days,7
