region,DSx5_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,-1.5609045028686523,DSx5,year,dry_spell_duration,days,7
06412_Frankfurt am Main,-1.6604843139648438,DSx5,year,dry_spell_duration,days,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,-1.5567493438720703,DSx5,year,dry_spell_duration,days,7
06413_Offenbach am Main,-1.7593498229980469,DSx5,year,dry_spell_duration,days,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,-1.8322200775146484,DSx5,year,dry_spell_duration,days,7
06414_Wiesbaden,-2.152975082397461,DSx5,year,dry_spell_duration,days,7
06431_Bergstraße,-1.6682491302490234,DSx5,year,dry_spell_duration,days,7
06432_Darmstadt-Dieburg,-1.609567642211914,DSx5,year,dry_spell_duration,days,7
06433_Groß-Gerau,-1.6074657440185547,DSx5,year,dry_spell_duration,days,7
06434_Hochtaunuskreis,-1.8024358749389648,DSx5,year,dry_spell_duration,days,7
06435_Main-Kinzig-Kreis,-1.445455551147461,DSx5,year,dry_spell_duration,days,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,-1.7917966842651367,DSx5,year,dry_spell_duration,days,7
06436_Main-Taunus-Kreis,-1.7428312301635742,DSx5,year,dry_spell_duration,days,7
06437_Odenwaldkreis,-1.5758209228515625,DSx5,year,dry_spell_duration,days,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,-1.5276451110839844,DSx5,year,dry_spell_duration,days,7
06438_Offenbach,-2.1977272033691406,DSx5,year,dry_spell_duration,days,7
06439_Rheingau-Taunus-Kreis,-2.075040817260742,DSx5,year,dry_spell_duration,days,7
06440_Wetteraukreis,-2.4739017486572266,DSx5,year,dry_spell_duration,days,7
06531_Gießen,-1.487060546875,DSx5,year,dry_spell_duration,days,7
06532_Lahn-Dill-Kreis,-1.7348127365112305,DSx5,year,dry_spell_duration,days,7
06533_Limburg-Weilburg,-1.6015596389770508,DSx5,year,dry_spell_duration,days,7
06534_Marburg-Biedenkopf,-1.764312744140625,DSx5,year,dry_spell_duration,days,7
06535_Vogelsbergkreis,-0.9699249267578125,DSx5,year,dry_spell_duration,days,7
06611_06633_03159_Region_um_Kassel,-1.759181022644043,DSx5,year,dry_spell_duration,days,7
06611_Kassel,-1.8193063735961914,DSx5,year,dry_spell_duration,days,7
06631_Fulda,-1.4669609069824219,DSx5,year,dry_spell_duration,days,7
06632_Hersfeld-Rotenburg,-1.2616958618164062,DSx5,year,dry_spell_duration,days,7
06633_Kassel,-1.9582195281982422,DSx5,year,dry_spell_duration,days,7
06634_Schwalm-Eder-Kreis,-1.5219297409057617,DSx5,year,dry_spell_duration,days,7
06635_Waldeck-Frankenberg,-1.68194580078125,DSx5,year,dry_spell_duration,days,7
06636_Werra-Meißner-Kreis,-1.4906415939331055,DSx5,year,dry_spell_duration,days,7
07111_07137_07141_07143_Region_um_Koblenz,-1.472564697265625,DSx5,year,dry_spell_duration,days,7
07111_Koblenz,-1.9651174545288086,DSx5,year,dry_spell_duration,days,7
