region,DSx5_year_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
05913_Dortmund,-2.4870548248291016,DSx5,year,dry_spell_duration,days,7
05914_05954_05913_05978_05962_Region_um_Hagen,-1.7346763610839844,DSx5,year,dry_spell_duration,days,7
05914_Hagen,-1.4241933822631836,DSx5,year,dry_spell_duration,days,7
05915_05978_05974_05570_05558_Region_um_Hamm,-1.9934053421020508,DSx5,year,dry_spell_duration,days,7
05915_Hamm,-2.0909414291381836,DSx5,year,dry_spell_duration,days,7
05916_05513_05562_05911_Region_um_Herne,-2.1269121170043945,DSx5,year,dry_spell_duration,days,7
05916_Herne,-2.194112777709961,DSx5,year,dry_spell_duration,days,7
05954_Ennepe-Ruhr-Kreis,-1.2859439849853516,DSx5,year,dry_spell_duration,days,7
05958_Hochsauerlandkreis,-1.5299787521362305,DSx5,year,dry_spell_duration,days,7
05962_Märkischer Kreis,-1.5663042068481445,DSx5,year,dry_spell_duration,days,7
05966_Olpe,-1.252852439880371,DSx5,year,dry_spell_duration,days,7
05970_Siegen-Wittgenstein,-1.301274299621582,DSx5,year,dry_spell_duration,days,7
05974_Soest,-1.7710790634155273,DSx5,year,dry_spell_duration,days,7
05978_Unna,-2.117032051086426,DSx5,year,dry_spell_duration,days,7
06411_06432_06438_Region_um_Darmstadt,-2.076723098754883,DSx5,year,dry_spell_duration,days,7
06411_Darmstadt,-1.9081859588623047,DSx5,year,dry_spell_duration,days,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,-1.5666980743408203,DSx5,year,dry_spell_duration,days,7
06412_Frankfurt am Main,-1.9883365631103516,DSx5,year,dry_spell_duration,days,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,-1.541550636291504,DSx5,year,dry_spell_duration,days,7
06413_Offenbach am Main,-2.3000001907348633,DSx5,year,dry_spell_duration,days,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,-1.9798259735107422,DSx5,year,dry_spell_duration,days,7
06414_Wiesbaden,-2.087578773498535,DSx5,year,dry_spell_duration,days,7
06431_Bergstraße,-1.7707061767578125,DSx5,year,dry_spell_duration,days,7
06432_Darmstadt-Dieburg,-2.0646095275878906,DSx5,year,dry_spell_duration,days,7
06433_Groß-Gerau,-1.9163923263549805,DSx5,year,dry_spell_duration,days,7
06434_Hochtaunuskreis,-1.7364988327026367,DSx5,year,dry_spell_duration,days,7
06435_Main-Kinzig-Kreis,-1.4077987670898438,DSx5,year,dry_spell_duration,days,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,-2.0489988327026367,DSx5,year,dry_spell_duration,days,7
06436_Main-Taunus-Kreis,-1.9598150253295898,DSx5,year,dry_spell_duration,days,7
06437_Odenwaldkreis,-1.7944459915161133,DSx5,year,dry_spell_duration,days,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,-1.6654634475708008,DSx5,year,dry_spell_duration,days,7
06438_Offenbach,-2.1614017486572266,DSx5,year,dry_spell_duration,days,7
06439_Rheingau-Taunus-Kreis,-2.4206581115722656,DSx5,year,dry_spell_duration,days,7
06440_Wetteraukreis,-1.37847900390625,DSx5,year,dry_spell_duration,days,7
06531_Gießen,-1.141057014465332,DSx5,year,dry_spell_duration,days,7
06532_Lahn-Dill-Kreis,-1.3361883163452148,DSx5,year,dry_spell_duration,days,7
06533_Limburg-Weilburg,-1.3668451309204102,DSx5,year,dry_spell_duration,days,7
06534_Marburg-Biedenkopf,-1.3478126525878906,DSx5,year,dry_spell_duration,days,7
06535_Vogelsbergkreis,-1.4629955291748047,DSx5,year,dry_spell_duration,days,7
06611_06633_03159_Region_um_Kassel,-1.4994373321533203,DSx5,year,dry_spell_duration,days,7
06611_Kassel,-2.073802947998047,DSx5,year,dry_spell_duration,days,7
06631_Fulda,-1.742457389831543,DSx5,year,dry_spell_duration,days,7
06632_Hersfeld-Rotenburg,-1.4077835083007812,DSx5,year,dry_spell_duration,days,7
06633_Kassel,-1.8870258331298828,DSx5,year,dry_spell_duration,days,7
06634_Schwalm-Eder-Kreis,-1.437504768371582,DSx5,year,dry_spell_duration,days,7
06635_Waldeck-Frankenberg,-1.7155818939208984,DSx5,year,dry_spell_duration,days,7
06636_Werra-Meißner-Kreis,-1.183690071105957,DSx5,year,dry_spell_duration,days,7
07111_07137_07141_07143_Region_um_Koblenz,-1.8314142227172852,DSx5,year,dry_spell_duration,days,7
07111_Koblenz,-1.8158187866210938,DSx5,year,dry_spell_duration,days,7
07131_Ahrweiler,-1.7411088943481445,DSx5,year,dry_spell_duration,days,7
07132_Altenkirchen (Westerwald),-1.6145172119140625,DSx5,year,dry_spell_duration,days,7
07133_Bad Kreuznach,-1.2888383865356445,DSx5,year,dry_spell_duration,days,7
07134_Birkenfeld,-1.359175682067871,DSx5,year,dry_spell_duration,days,7
07135_Cochem-Zell,-2.0952138900756836,DSx5,year,dry_spell_duration,days,7
07137_Mayen-Koblenz,-2.1296682357788086,DSx5,year,dry_spell_duration,days,7
07138_Neuwied,-2.191476821899414,DSx5,year,dry_spell_duration,days,7
07140_Rhein-Hunsrück-Kreis,-1.5215349197387695,DSx5,year,dry_spell_duration,days,7
07141_Rhein-Lahn-Kreis,-1.774968147277832,DSx5,year,dry_spell_duration,days,7
07143_Westerwaldkreis,-1.6340675354003906,DSx5,year,dry_spell_duration,days,7
07211_07235_Region_um_Trier,-1.2298870086669922,DSx5,year,dry_spell_duration,days,7
07211_Trier,-1.2573366165161133,DSx5,year,dry_spell_duration,days,7
07231_Bernkastel-Wittlich,-1.3579845428466797,DSx5,year,dry_spell_duration,days,7
07232_Eifelkreis Bitburg-Prüm,-1.1285419464111328,DSx5,year,dry_spell_duration,days,7
07233_Vulkaneifel,-1.736886978149414,DSx5,year,dry_spell_duration,days,7
07235_Trier-Saarburg,-1.2267827987670898,DSx5,year,dry_spell_duration,days,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),-1.6284971237182617,DSx5,year,dry_spell_duration,days,7
07311_Frankenthal (Pfalz),-1.4777393341064453,DSx5,year,dry_spell_duration,days,7
07312_07335_07332_Region_um_Kaiserslautern,-1.2318754196166992,DSx5,year,dry_spell_duration,days,7
07312_Kaiserslautern,-1.4860877990722656,DSx5,year,dry_spell_duration,days,7
07313_07337_Region_um_Landau_in_der_Pfalz,-1.9247455596923828,DSx5,year,dry_spell_duration,days,7
07313_Landau in der Pfalz,-2.0487260818481445,DSx5,year,dry_spell_duration,days,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,-1.635909080505371,DSx5,year,dry_spell_duration,days,7
07314_Ludwigshafen am Rhein,-1.584092140197754,DSx5,year,dry_spell_duration,days,7
07315_07339_06414_06433_Region_um_Mainz,-1.7181119918823242,DSx5,year,dry_spell_duration,days,7
07315_Mainz,-2.285968780517578,DSx5,year,dry_spell_duration,days,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,-1.6187553405761719,DSx5,year,dry_spell_duration,days,7
07316_Neustadt an der Weinstraße,-1.8585777282714844,DSx5,year,dry_spell_duration,days,7
07317_07340_Region_um_Pirmasens,-1.5112619400024414,DSx5,year,dry_spell_duration,days,7
07317_Pirmasens,-1.4361562728881836,DSx5,year,dry_spell_duration,days,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,-1.6446866989135742,DSx5,year,dry_spell_duration,days,7
07318_Speyer,-1.6783342361450195,DSx5,year,dry_spell_duration,days,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,-1.4086837768554688,DSx5,year,dry_spell_duration,days,7
07319_Worms,-1.5122156143188477,DSx5,year,dry_spell_duration,days,7
07320_07340_10045_07317_Region_um_Zweibrücken,-1.3705129623413086,DSx5,year,dry_spell_duration,days,7
07320_Zweibrücken,-1.499464988708496,DSx5,year,dry_spell_duration,days,7
07331_Alzey-Worms,-1.2956695556640625,DSx5,year,dry_spell_duration,days,7
07332_Bad Dürkheim,-1.7511968612670898,DSx5,year,dry_spell_duration,days,7
07333_Donnersbergkreis,-1.4341850280761719,DSx5,year,dry_spell_duration,days,7
07334_Germersheim,-2.123629570007324,DSx5,year,dry_spell_duration,days,7
07335_Kaiserslautern,-1.1701040267944336,DSx5,year,dry_spell_duration,days,7
07336_Kusel,-1.1919269561767578,DSx5,year,dry_spell_duration,days,7
07337_Südliche Weinstraße,-1.9069948196411133,DSx5,year,dry_spell_duration,days,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,-1.6444759368896484,DSx5,year,dry_spell_duration,days,7
07338_Rhein-Pfalz-Kreis,-1.5639371871948242,DSx5,year,dry_spell_duration,days,7
07339_Mainz-Bingen,-1.4642276763916016,DSx5,year,dry_spell_duration,days,7
07340_Südwestpfalz,-1.5164766311645508,DSx5,year,dry_spell_duration,days,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,-1.7112398147583008,DSx5,year,dry_spell_duration,days,7
08111_Stuttgart,-1.9092397689819336,DSx5,year,dry_spell_duration,days,7
08115_Böblingen,-1.6032791137695312,DSx5,year,dry_spell_duration,days,7
08116_Esslingen,-1.669748306274414,DSx5,year,dry_spell_duration,days,7
08117_Göppingen,-2.1047773361206055,DSx5,year,dry_spell_duration,days,7
08118_Ludwigsburg,-1.8462047576904297,DSx5,year,dry_spell_duration,days,7
08119_Rems-Murr-Kreis,-2.0156946182250977,DSx5,year,dry_spell_duration,days,7
08121_08125_Region_um_Heilbronn,-2.179941177368164,DSx5,year,dry_spell_duration,days,7
08121_Heilbronn,-2.260263442993164,DSx5,year,dry_spell_duration,days,7
08125_Heilbronn,-2.172100067138672,DSx5,year,dry_spell_duration,days,7
08126_Hohenlohekreis,-2.3510026931762695,DSx5,year,dry_spell_duration,days,7
08127_Schwäbisch Hall,-1.9856586456298828,DSx5,year,dry_spell_duration,days,7
08128_Main-Tauber-Kreis,-1.794205665588379,DSx5,year,dry_spell_duration,days,7
08135_Heidenheim,-1.4927091598510742,DSx5,year,dry_spell_duration,days,7
08136_Ostalbkreis,-1.7935457229614258,DSx5,year,dry_spell_duration,days,7
08211_08216_Region_um_Baden-Baden,-2.062077522277832,DSx5,year,dry_spell_duration,days,7
08211_Baden-Baden,-1.634939193725586,DSx5,year,dry_spell_duration,days,7
08212_08215_07334_Region_um_Karlsruhe,-1.9649410247802734,DSx5,year,dry_spell_duration,days,7
08212_Karlsruhe,-2.0744218826293945,DSx5,year,dry_spell_duration,days,7
08215_Karlsruhe,-2.015043258666992,DSx5,year,dry_spell_duration,days,7
08216_Rastatt,-2.141921043395996,DSx5,year,dry_spell_duration,days,7
08221_08226_08222_Region_um_Heidelberg,-1.5824079513549805,DSx5,year,dry_spell_duration,days,7
08221_Heidelberg,-1.571578025817871,DSx5,year,dry_spell_duration,days,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,-1.5402288436889648,DSx5,year,dry_spell_duration,days,7
08222_Mannheim,-1.8620100021362305,DSx5,year,dry_spell_duration,days,7
08225_Neckar-Odenwald-Kreis,-1.7057428359985352,DSx5,year,dry_spell_duration,days,7
08226_Rhein-Neckar-Kreis,-1.6359500885009766,DSx5,year,dry_spell_duration,days,7
08231_08236_08235_Region_um_Pforzheim,-1.8130531311035156,DSx5,year,dry_spell_duration,days,7
08231_Pforzheim,-2.6279525756835938,DSx5,year,dry_spell_duration,days,7
08235_Calw,-1.7510261535644531,DSx5,year,dry_spell_duration,days,7
08236_Enzkreis,-2.2485103607177734,DSx5,year,dry_spell_duration,days,7
08237_Freudenstadt,-1.8858489990234375,DSx5,year,dry_spell_duration,days,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,-1.4789199829101562,DSx5,year,dry_spell_duration,days,7
08311_Freiburg im Breisgau,-2.3858909606933594,DSx5,year,dry_spell_duration,days,7
08315_Breisgau-Hochschwarzwald,-1.1987791061401367,DSx5,year,dry_spell_duration,days,7
08316_Emmendingen,-1.8364582061767578,DSx5,year,dry_spell_duration,days,7
08317_Ortenaukreis,-1.7749004364013672,DSx5,year,dry_spell_duration,days,7
08325_Rottweil,-1.4783573150634766,DSx5,year,dry_spell_duration,days,7
08326_Schwarzwald-Baar-Kreis,-2.0621700286865234,DSx5,year,dry_spell_duration,days,7
08327_Tuttlingen,-1.4237642288208008,DSx5,year,dry_spell_duration,days,7
08335_Konstanz,-2.125772476196289,DSx5,year,dry_spell_duration,days,7
08336_Lörrach,-1.1334028244018555,DSx5,year,dry_spell_duration,days,7
08337_Waldshut,-1.3665409088134766,DSx5,year,dry_spell_duration,days,7
08415_Reutlingen,-1.6613216400146484,DSx5,year,dry_spell_duration,days,7
08416_Tübingen,-1.9920902252197266,DSx5,year,dry_spell_duration,days,7
08417_Zollernalbkreis,-1.7646570205688477,DSx5,year,dry_spell_duration,days,7
08421_08425_09775_Region_um_Ulm,-1.6854496002197266,DSx5,year,dry_spell_duration,days,7
08421_Ulm,-1.3560638427734375,DSx5,year,dry_spell_duration,days,7
08425_Alb-Donau-Kreis,-1.743046760559082,DSx5,year,dry_spell_duration,days,7
08426_Biberach,-2.064425468444824,DSx5,year,dry_spell_duration,days,7
08435_Bodenseekreis,-2.538036346435547,DSx5,year,dry_spell_duration,days,7
08436_Ravensburg,-1.8217191696166992,DSx5,year,dry_spell_duration,days,7
