region,DSx5_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
05316_Leverkusen,8.120431900024414,DSx5,year,dry_spell_duration,days,7
05334_Städteregion Aachen,9.309137344360352,DSx5,year,dry_spell_duration,days,7
05358_Düren,9.528905868530273,DSx5,year,dry_spell_duration,days,7
05362_Rhein-Erft-Kreis,9.000717163085938,DSx5,year,dry_spell_duration,days,7
05366_Euskirchen,10.50546646118164,DSx5,year,dry_spell_duration,days,7
05370_Heinsberg,10.76270866394043,DSx5,year,dry_spell_duration,days,7
05374_Oberbergischer Kreis,7.131763458251953,DSx5,year,dry_spell_duration,days,7
05378_Rheinisch-Bergischer Kreis,6.887245178222656,DSx5,year,dry_spell_duration,days,7
05382_Rhein-Sieg-Kreis,9.180032730102539,DSx5,year,dry_spell_duration,days,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,9.676778793334961,DSx5,year,dry_spell_duration,days,7
05512_Bottrop,9.604425430297852,DSx5,year,dry_spell_duration,days,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,8.377153396606445,DSx5,year,dry_spell_duration,days,7
05513_Gelsenkirchen,8.678068161010742,DSx5,year,dry_spell_duration,days,7
05515_05566_05558_05570_Region_um_Münster,9.722795486450195,DSx5,year,dry_spell_duration,days,7
05515_Münster,8.562932968139648,DSx5,year,dry_spell_duration,days,7
05554_Borken,9.971752166748047,DSx5,year,dry_spell_duration,days,7
05558_Coesfeld,9.163642883300781,DSx5,year,dry_spell_duration,days,7
05562_Recklinghausen,8.791887283325195,DSx5,year,dry_spell_duration,days,7
05566_Steinfurt,10.39853286743164,DSx5,year,dry_spell_duration,days,7
05570_Warendorf,9.545318603515625,DSx5,year,dry_spell_duration,days,7
05711_05754_05758_05766_Region_um_Bielefeld,8.912363052368164,DSx5,year,dry_spell_duration,days,7
05711_Bielefeld,9.421812057495117,DSx5,year,dry_spell_duration,days,7
05754_Gütersloh,9.648561477661133,DSx5,year,dry_spell_duration,days,7
05758_Herford,9.22793197631836,DSx5,year,dry_spell_duration,days,7
05762_Höxter,8.013805389404297,DSx5,year,dry_spell_duration,days,7
05766_Lippe,8.118154525756836,DSx5,year,dry_spell_duration,days,7
05770_Minden-Lübbecke,10.640907287597656,DSx5,year,dry_spell_duration,days,7
