region,DSx5_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
05766_Lippe,3.989500045776367,DSx5,year,dry_spell_duration,days,7
05770_Minden-Lübbecke,4.88359260559082,DSx5,year,dry_spell_duration,days,7
05774_Paderborn,3.217824935913086,DSx5,year,dry_spell_duration,days,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,3.9108123779296875,DSx5,year,dry_spell_duration,days,7
05911_Bochum,4.083957672119141,DSx5,year,dry_spell_duration,days,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,3.5018348693847656,DSx5,year,dry_spell_duration,days,7
05913_Dortmund,3.085416793823242,DSx5,year,dry_spell_duration,days,7
05914_05954_05913_05978_05962_Region_um_Hagen,3.6426143646240234,DSx5,year,dry_spell_duration,days,7
05914_Hagen,2.841440200805664,DSx5,year,dry_spell_duration,days,7
05915_05978_05974_05570_05558_Region_um_Hamm,3.7432479858398438,DSx5,year,dry_spell_duration,days,7
05915_Hamm,3.6715335845947266,DSx5,year,dry_spell_duration,days,7
05916_05513_05562_05911_Region_um_Herne,3.8596363067626953,DSx5,year,dry_spell_duration,days,7
05916_Herne,4.333255767822266,DSx5,year,dry_spell_duration,days,7
05954_Ennepe-Ruhr-Kreis,4.056201934814453,DSx5,year,dry_spell_duration,days,7
05958_Hochsauerlandkreis,3.3585643768310547,DSx5,year,dry_spell_duration,days,7
05962_Märkischer Kreis,4.066383361816406,DSx5,year,dry_spell_duration,days,7
05966_Olpe,3.2736949920654297,DSx5,year,dry_spell_duration,days,7
05970_Siegen-Wittgenstein,3.289255142211914,DSx5,year,dry_spell_duration,days,7
05974_Soest,3.6840991973876953,DSx5,year,dry_spell_duration,days,7
05978_Unna,3.021970748901367,DSx5,year,dry_spell_duration,days,7
06411_06432_06438_Region_um_Darmstadt,5.305854797363281,DSx5,year,dry_spell_duration,days,7
06411_Darmstadt,4.968761444091797,DSx5,year,dry_spell_duration,days,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,4.103731155395508,DSx5,year,dry_spell_duration,days,7
06412_Frankfurt am Main,4.483066558837891,DSx5,year,dry_spell_duration,days,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,4.193927764892578,DSx5,year,dry_spell_duration,days,7
06413_Offenbach am Main,4.7852325439453125,DSx5,year,dry_spell_duration,days,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,5.216581344604492,DSx5,year,dry_spell_duration,days,7
06414_Wiesbaden,5.4683074951171875,DSx5,year,dry_spell_duration,days,7
06431_Bergstraße,5.846529006958008,DSx5,year,dry_spell_duration,days,7
06432_Darmstadt-Dieburg,5.5861663818359375,DSx5,year,dry_spell_duration,days,7
06433_Groß-Gerau,4.459388732910156,DSx5,year,dry_spell_duration,days,7
06434_Hochtaunuskreis,4.554389953613281,DSx5,year,dry_spell_duration,days,7
06435_Main-Kinzig-Kreis,4.094184875488281,DSx5,year,dry_spell_duration,days,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,4.760446548461914,DSx5,year,dry_spell_duration,days,7
06436_Main-Taunus-Kreis,4.383657455444336,DSx5,year,dry_spell_duration,days,7
06437_Odenwaldkreis,6.006015777587891,DSx5,year,dry_spell_duration,days,7
