region,FD_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
05554_Borken,-0.08705902099609375,FD,year,days_with_air_temperature_below_threshold,days,7
05558_Coesfeld,0.18280029296875,FD,year,days_with_air_temperature_below_threshold,days,7
05562_Recklinghausen,0.8768100738525391,FD,year,days_with_air_temperature_below_threshold,days,7
05566_Steinfurt,0.5298690795898438,FD,year,days_with_air_temperature_below_threshold,days,7
05570_Warendorf,0.244842529296875,FD,year,days_with_air_temperature_below_threshold,days,7
05711_Bielefeld,-0.2904701232910156,FD,year,days_with_air_temperature_below_threshold,days,7
05754_Gütersloh,0.07240676879882812,FD,year,days_with_air_temperature_below_threshold,days,7
05758_Herford,0.4813232421875,FD,year,days_with_air_temperature_below_threshold,days,7
05762_Höxter,-1.6766204833984375,FD,year,days_with_air_temperature_below_threshold,days,7
05766_Lippe,-0.9185676574707031,FD,year,days_with_air_temperature_below_threshold,days,7
05770_Minden-Lübbecke,0.4561347961425781,FD,year,days_with_air_temperature_below_threshold,days,7
05774_Paderborn,-0.7361793518066406,FD,year,days_with_air_temperature_below_threshold,days,7
05911_Bochum,0.5133152008056641,FD,year,days_with_air_temperature_below_threshold,days,7
05913_Dortmund,0.8257827758789062,FD,year,days_with_air_temperature_below_threshold,days,7
05914_Hagen,-0.7479782104492188,FD,year,days_with_air_temperature_below_threshold,days,7
05915_Hamm,-0.030818939208984375,FD,year,days_with_air_temperature_below_threshold,days,7
05916_Herne,1.1383476257324219,FD,year,days_with_air_temperature_below_threshold,days,7
05954_Ennepe-Ruhr-Kreis,-0.7679100036621094,FD,year,days_with_air_temperature_below_threshold,days,7
05958_Hochsauerlandkreis,-5.055202484130859,FD,year,days_with_air_temperature_below_threshold,days,7
05962_Märkischer Kreis,-2.4236717224121094,FD,year,days_with_air_temperature_below_threshold,days,7
05966_Olpe,-4.489326477050781,FD,year,days_with_air_temperature_below_threshold,days,7
05970_Siegen-Wittgenstein,-5.864990234375,FD,year,days_with_air_temperature_below_threshold,days,7
05974_Soest,-0.15494155883789062,FD,year,days_with_air_temperature_below_threshold,days,7
