region,ci_name,ci_frequency,standard_name,units,mid_month,FD_year_4C_rcp85_ensemble-robustness
06436_Main-Taunus-Kreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06437_Odenwaldkreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06438_Offenbach,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06439_Rheingau-Taunus-Kreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06440_Wetteraukreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06531_Gießen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06532_Lahn-Dill-Kreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06533_Limburg-Weilburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06534_Marburg-Biedenkopf,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06535_Vogelsbergkreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06611_Kassel,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06631_Fulda,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06632_Hersfeld-Rotenburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06633_Kassel,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06634_Schwalm-Eder-Kreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06635_Waldeck-Frankenberg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
06636_Werra-Meißner-Kreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07111_Koblenz,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07131_Ahrweiler,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07132_Altenkirchen (Westerwald),FD,year,days_with_air_temperature_below_threshold,days,7,-2
07133_Bad Kreuznach,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07134_Birkenfeld,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07135_Cochem-Zell,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07137_Mayen-Koblenz,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07138_Neuwied,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07140_Rhein-Hunsrück-Kreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07141_Rhein-Lahn-Kreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07143_Westerwaldkreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07211_Trier,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07231_Bernkastel-Wittlich,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07232_Eifelkreis Bitburg-Prüm,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07233_Vulkaneifel,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07235_Trier-Saarburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07311_Frankenthal (Pfalz),FD,year,days_with_air_temperature_below_threshold,days,7,-2
07312_Kaiserslautern,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07313_Landau in der Pfalz,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07314_Ludwigshafen am Rhein,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07315_Mainz,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07316_Neustadt an der Weinstraße,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07317_Pirmasens,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07318_Speyer,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07319_Worms,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07320_Zweibrücken,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07331_Alzey-Worms,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07332_Bad Dürkheim,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07333_Donnersbergkreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07334_Germersheim,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07335_Kaiserslautern,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07336_Kusel,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07337_Südliche Weinstraße,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07338_Rhein-Pfalz-Kreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07339_Mainz-Bingen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
07340_Südwestpfalz,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08111_Stuttgart,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08115_Böblingen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08116_Esslingen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08117_Göppingen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08118_Ludwigsburg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08119_Rems-Murr-Kreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08121_Heilbronn,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08125_Heilbronn,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08126_Hohenlohekreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08127_Schwäbisch Hall,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08128_Main-Tauber-Kreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08135_Heidenheim,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08136_Ostalbkreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08211_Baden-Baden,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08212_Karlsruhe,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08215_Karlsruhe,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08216_Rastatt,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08221_Heidelberg,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08222_Mannheim,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08225_Neckar-Odenwald-Kreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08226_Rhein-Neckar-Kreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08231_Pforzheim,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08235_Calw,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08236_Enzkreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08237_Freudenstadt,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08311_Freiburg im Breisgau,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08315_Breisgau-Hochschwarzwald,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08316_Emmendingen,FD,year,days_with_air_temperature_below_threshold,days,7,-2
08317_Ortenaukreis,FD,year,days_with_air_temperature_below_threshold,days,7,-2
