region,FD_year_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
06411_Darmstadt,-62.63378143310547,FD,year,days_with_air_temperature_below_threshold,days,7
06412_Frankfurt am Main,-66.18012237548828,FD,year,days_with_air_temperature_below_threshold,days,7
06413_Offenbach am Main,-64.48096466064453,FD,year,days_with_air_temperature_below_threshold,days,7
06414_Wiesbaden,-68.76354217529297,FD,year,days_with_air_temperature_below_threshold,days,7
06431_Bergstraße,-64.19132995605469,FD,year,days_with_air_temperature_below_threshold,days,7
06432_Darmstadt-Dieburg,-65.28717041015625,FD,year,days_with_air_temperature_below_threshold,days,7
06433_Groß-Gerau,-64.124755859375,FD,year,days_with_air_temperature_below_threshold,days,7
06434_Hochtaunuskreis,-70.2345199584961,FD,year,days_with_air_temperature_below_threshold,days,7
06435_Main-Kinzig-Kreis,-69.20582580566406,FD,year,days_with_air_temperature_below_threshold,days,7
06436_Main-Taunus-Kreis,-68.22347259521484,FD,year,days_with_air_temperature_below_threshold,days,7
06437_Odenwaldkreis,-67.18987274169922,FD,year,days_with_air_temperature_below_threshold,days,7
06438_Offenbach,-64.0964126586914,FD,year,days_with_air_temperature_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,-69.8923110961914,FD,year,days_with_air_temperature_below_threshold,days,7
06440_Wetteraukreis,-70.3646011352539,FD,year,days_with_air_temperature_below_threshold,days,7
06531_Gießen,-71.54473114013672,FD,year,days_with_air_temperature_below_threshold,days,7
06532_Lahn-Dill-Kreis,-72.47277069091797,FD,year,days_with_air_temperature_below_threshold,days,7
06533_Limburg-Weilburg,-70.1588134765625,FD,year,days_with_air_temperature_below_threshold,days,7
06534_Marburg-Biedenkopf,-72.65925598144531,FD,year,days_with_air_temperature_below_threshold,days,7
06535_Vogelsbergkreis,-70.552734375,FD,year,days_with_air_temperature_below_threshold,days,7
06611_Kassel,-72.29190826416016,FD,year,days_with_air_temperature_below_threshold,days,7
06631_Fulda,-70.70664978027344,FD,year,days_with_air_temperature_below_threshold,days,7
06632_Hersfeld-Rotenburg,-71.4889907836914,FD,year,days_with_air_temperature_below_threshold,days,7
06633_Kassel,-72.17451477050781,FD,year,days_with_air_temperature_below_threshold,days,7
06634_Schwalm-Eder-Kreis,-71.76148986816406,FD,year,days_with_air_temperature_below_threshold,days,7
06635_Waldeck-Frankenberg,-73.19427490234375,FD,year,days_with_air_temperature_below_threshold,days,7
06636_Werra-Meißner-Kreis,-72.49681091308594,FD,year,days_with_air_temperature_below_threshold,days,7
07111_Koblenz,-70.2354507446289,FD,year,days_with_air_temperature_below_threshold,days,7
07131_Ahrweiler,-68.85163879394531,FD,year,days_with_air_temperature_below_threshold,days,7
07132_Altenkirchen (Westerwald),-69.42069244384766,FD,year,days_with_air_temperature_below_threshold,days,7
07133_Bad Kreuznach,-69.88487243652344,FD,year,days_with_air_temperature_below_threshold,days,7
07134_Birkenfeld,-66.0625991821289,FD,year,days_with_air_temperature_below_threshold,days,7
07135_Cochem-Zell,-67.88690948486328,FD,year,days_with_air_temperature_below_threshold,days,7
07137_Mayen-Koblenz,-69.2298583984375,FD,year,days_with_air_temperature_below_threshold,days,7
07138_Neuwied,-69.70429992675781,FD,year,days_with_air_temperature_below_threshold,days,7
07140_Rhein-Hunsrück-Kreis,-67.1126708984375,FD,year,days_with_air_temperature_below_threshold,days,7
07141_Rhein-Lahn-Kreis,-69.17242431640625,FD,year,days_with_air_temperature_below_threshold,days,7
07143_Westerwaldkreis,-70.69638061523438,FD,year,days_with_air_temperature_below_threshold,days,7
07211_Trier,-68.13666534423828,FD,year,days_with_air_temperature_below_threshold,days,7
07231_Bernkastel-Wittlich,-66.67620086669922,FD,year,days_with_air_temperature_below_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,-67.6678466796875,FD,year,days_with_air_temperature_below_threshold,days,7
07233_Vulkaneifel,-67.44110107421875,FD,year,days_with_air_temperature_below_threshold,days,7
07235_Trier-Saarburg,-67.42172241210938,FD,year,days_with_air_temperature_below_threshold,days,7
07311_Frankenthal (Pfalz),-62.98178482055664,FD,year,days_with_air_temperature_below_threshold,days,7
07312_Kaiserslautern,-66.68960571289062,FD,year,days_with_air_temperature_below_threshold,days,7
07313_Landau in der Pfalz,-66.62199401855469,FD,year,days_with_air_temperature_below_threshold,days,7
07314_Ludwigshafen am Rhein,-62.46940994262695,FD,year,days_with_air_temperature_below_threshold,days,7
07315_Mainz,-70.37431335449219,FD,year,days_with_air_temperature_below_threshold,days,7
07316_Neustadt an der Weinstraße,-67.42803955078125,FD,year,days_with_air_temperature_below_threshold,days,7
07317_Pirmasens,-67.62462615966797,FD,year,days_with_air_temperature_below_threshold,days,7
07318_Speyer,-61.82987594604492,FD,year,days_with_air_temperature_below_threshold,days,7
07319_Worms,-68.25459289550781,FD,year,days_with_air_temperature_below_threshold,days,7
07320_Zweibrücken,-68.85012817382812,FD,year,days_with_air_temperature_below_threshold,days,7
07331_Alzey-Worms,-69.82028198242188,FD,year,days_with_air_temperature_below_threshold,days,7
07332_Bad Dürkheim,-66.78538513183594,FD,year,days_with_air_temperature_below_threshold,days,7
07333_Donnersbergkreis,-69.00209045410156,FD,year,days_with_air_temperature_below_threshold,days,7
07334_Germersheim,-63.68077850341797,FD,year,days_with_air_temperature_below_threshold,days,7
07335_Kaiserslautern,-67.40544128417969,FD,year,days_with_air_temperature_below_threshold,days,7
07336_Kusel,-68.95679473876953,FD,year,days_with_air_temperature_below_threshold,days,7
07337_Südliche Weinstraße,-66.49758911132812,FD,year,days_with_air_temperature_below_threshold,days,7
07338_Rhein-Pfalz-Kreis,-62.425758361816406,FD,year,days_with_air_temperature_below_threshold,days,7
07339_Mainz-Bingen,-70.94759368896484,FD,year,days_with_air_temperature_below_threshold,days,7
07340_Südwestpfalz,-66.98786163330078,FD,year,days_with_air_temperature_below_threshold,days,7
08111_Stuttgart,-65.95265197753906,FD,year,days_with_air_temperature_below_threshold,days,7
08115_Böblingen,-68.92471313476562,FD,year,days_with_air_temperature_below_threshold,days,7
08116_Esslingen,-66.96177673339844,FD,year,days_with_air_temperature_below_threshold,days,7
08117_Göppingen,-68.41909790039062,FD,year,days_with_air_temperature_below_threshold,days,7
08118_Ludwigsburg,-69.08523559570312,FD,year,days_with_air_temperature_below_threshold,days,7
08119_Rems-Murr-Kreis,-68.05007934570312,FD,year,days_with_air_temperature_below_threshold,days,7
08121_Heilbronn,-64.91566467285156,FD,year,days_with_air_temperature_below_threshold,days,7
08125_Heilbronn,-68.58778381347656,FD,year,days_with_air_temperature_below_threshold,days,7
08126_Hohenlohekreis,-69.13046264648438,FD,year,days_with_air_temperature_below_threshold,days,7
08127_Schwäbisch Hall,-67.8879165649414,FD,year,days_with_air_temperature_below_threshold,days,7
08128_Main-Tauber-Kreis,-69.69570922851562,FD,year,days_with_air_temperature_below_threshold,days,7
08135_Heidenheim,-69.78356170654297,FD,year,days_with_air_temperature_below_threshold,days,7
08136_Ostalbkreis,-68.78642272949219,FD,year,days_with_air_temperature_below_threshold,days,7
08211_Baden-Baden,-63.765159606933594,FD,year,days_with_air_temperature_below_threshold,days,7
08212_Karlsruhe,-59.58869171142578,FD,year,days_with_air_temperature_below_threshold,days,7
08215_Karlsruhe,-62.35071563720703,FD,year,days_with_air_temperature_below_threshold,days,7
08216_Rastatt,-63.67796325683594,FD,year,days_with_air_temperature_below_threshold,days,7
08221_Heidelberg,-64.72229766845703,FD,year,days_with_air_temperature_below_threshold,days,7
08222_Mannheim,-61.48329162597656,FD,year,days_with_air_temperature_below_threshold,days,7
08225_Neckar-Odenwald-Kreis,-68.51292419433594,FD,year,days_with_air_temperature_below_threshold,days,7
08226_Rhein-Neckar-Kreis,-64.48919677734375,FD,year,days_with_air_temperature_below_threshold,days,7
08231_Pforzheim,-66.1280746459961,FD,year,days_with_air_temperature_below_threshold,days,7
08235_Calw,-67.03762817382812,FD,year,days_with_air_temperature_below_threshold,days,7
08236_Enzkreis,-66.552978515625,FD,year,days_with_air_temperature_below_threshold,days,7
08237_Freudenstadt,-68.52302551269531,FD,year,days_with_air_temperature_below_threshold,days,7
08311_Freiburg im Breisgau,-65.3467025756836,FD,year,days_with_air_temperature_below_threshold,days,7
08315_Breisgau-Hochschwarzwald,-68.31210327148438,FD,year,days_with_air_temperature_below_threshold,days,7
08316_Emmendingen,-65.74125671386719,FD,year,days_with_air_temperature_below_threshold,days,7
08317_Ortenaukreis,-65.4286880493164,FD,year,days_with_air_temperature_below_threshold,days,7
08325_Rottweil,-67.2676773071289,FD,year,days_with_air_temperature_below_threshold,days,7
08326_Schwarzwald-Baar-Kreis,-71.4800033569336,FD,year,days_with_air_temperature_below_threshold,days,7
08327_Tuttlingen,-70.7844467163086,FD,year,days_with_air_temperature_below_threshold,days,7
08335_Konstanz,-69.6521987915039,FD,year,days_with_air_temperature_below_threshold,days,7
08336_Lörrach,-69.75267028808594,FD,year,days_with_air_temperature_below_threshold,days,7
08337_Waldshut,-70.36328887939453,FD,year,days_with_air_temperature_below_threshold,days,7
08415_Reutlingen,-68.3455581665039,FD,year,days_with_air_temperature_below_threshold,days,7
08416_Tübingen,-68.92169952392578,FD,year,days_with_air_temperature_below_threshold,days,7
08417_Zollernalbkreis,-67.35650634765625,FD,year,days_with_air_temperature_below_threshold,days,7
08421_Ulm,-69.54134368896484,FD,year,days_with_air_temperature_below_threshold,days,7
08425_Alb-Donau-Kreis,-69.30364990234375,FD,year,days_with_air_temperature_below_threshold,days,7
08426_Biberach,-68.88860321044922,FD,year,days_with_air_temperature_below_threshold,days,7
08435_Bodenseekreis,-73.32328796386719,FD,year,days_with_air_temperature_below_threshold,days,7
08436_Ravensburg,-71.33800506591797,FD,year,days_with_air_temperature_below_threshold,days,7
08437_Sigmaringen,-69.0680923461914,FD,year,days_with_air_temperature_below_threshold,days,7
09161_Ingolstadt,-69.08528900146484,FD,year,days_with_air_temperature_below_threshold,days,7
09162_München,-67.99214172363281,FD,year,days_with_air_temperature_below_threshold,days,7
09163_Rosenheim,-66.33879089355469,FD,year,days_with_air_temperature_below_threshold,days,7
09171_Altötting,-68.07441711425781,FD,year,days_with_air_temperature_below_threshold,days,7
09172_Berchtesgadener Land,-76.92757415771484,FD,year,days_with_air_temperature_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,-70.63670349121094,FD,year,days_with_air_temperature_below_threshold,days,7
09174_Dachau,-68.48590850830078,FD,year,days_with_air_temperature_below_threshold,days,7
