region,FD_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
07318_Speyer,-20.416145,FD,year,days_with_air_temperature_below_threshold,days,7
07319_Worms,-20.820017,FD,year,days_with_air_temperature_below_threshold,days,7
07320_Zweibrücken,-22.071695,FD,year,days_with_air_temperature_below_threshold,days,7
07331_Alzey-Worms,-21.487747,FD,year,days_with_air_temperature_below_threshold,days,7
07332_Bad Dürkheim,-21.951073,FD,year,days_with_air_temperature_below_threshold,days,7
07333_Donnersbergkreis,-22.524923,FD,year,days_with_air_temperature_below_threshold,days,7
07334_Germersheim,-20.11187,FD,year,days_with_air_temperature_below_threshold,days,7
07335_Kaiserslautern,-22.754778,FD,year,days_with_air_temperature_below_threshold,days,7
07336_Kusel,-23.054884,FD,year,days_with_air_temperature_below_threshold,days,7
07337_Südliche Weinstraße,-21.732056,FD,year,days_with_air_temperature_below_threshold,days,7
07338_Rhein-Pfalz-Kreis,-20.469465,FD,year,days_with_air_temperature_below_threshold,days,7
07339_Mainz-Bingen,-22.392027,FD,year,days_with_air_temperature_below_threshold,days,7
07340_Südwestpfalz,-22.70544,FD,year,days_with_air_temperature_below_threshold,days,7
08111_Stuttgart,-22.507277,FD,year,days_with_air_temperature_below_threshold,days,7
08115_Böblingen,-24.156843,FD,year,days_with_air_temperature_below_threshold,days,7
08116_Esslingen,-23.358503,FD,year,days_with_air_temperature_below_threshold,days,7
08117_Göppingen,-24.704473,FD,year,days_with_air_temperature_below_threshold,days,7
08118_Ludwigsburg,-22.407486,FD,year,days_with_air_temperature_below_threshold,days,7
08119_Rems-Murr-Kreis,-23.618616,FD,year,days_with_air_temperature_below_threshold,days,7
08121_Heilbronn,-21.82575,FD,year,days_with_air_temperature_below_threshold,days,7
08125_Heilbronn,-22.518818,FD,year,days_with_air_temperature_below_threshold,days,7
08126_Hohenlohekreis,-23.587193,FD,year,days_with_air_temperature_below_threshold,days,7
08127_Schwäbisch Hall,-24.611502,FD,year,days_with_air_temperature_below_threshold,days,7
08128_Main-Tauber-Kreis,-23.886051,FD,year,days_with_air_temperature_below_threshold,days,7
08135_Heidenheim,-25.838053,FD,year,days_with_air_temperature_below_threshold,days,7
08136_Ostalbkreis,-25.148148,FD,year,days_with_air_temperature_below_threshold,days,7
08211_Baden-Baden,-21.85638,FD,year,days_with_air_temperature_below_threshold,days,7
08212_Karlsruhe,-19.223907,FD,year,days_with_air_temperature_below_threshold,days,7
08215_Karlsruhe,-20.441755,FD,year,days_with_air_temperature_below_threshold,days,7
08216_Rastatt,-21.74853,FD,year,days_with_air_temperature_below_threshold,days,7
08221_Heidelberg,-21.440878,FD,year,days_with_air_temperature_below_threshold,days,7
08222_Mannheim,-20.13562,FD,year,days_with_air_temperature_below_threshold,days,7
08225_Neckar-Odenwald-Kreis,-24.155926,FD,year,days_with_air_temperature_below_threshold,days,7
08226_Rhein-Neckar-Kreis,-21.904284,FD,year,days_with_air_temperature_below_threshold,days,7
08231_Pforzheim,-22.539513,FD,year,days_with_air_temperature_below_threshold,days,7
08235_Calw,-24.924702,FD,year,days_with_air_temperature_below_threshold,days,7
08236_Enzkreis,-22.243664,FD,year,days_with_air_temperature_below_threshold,days,7
08237_Freudenstadt,-25.428356,FD,year,days_with_air_temperature_below_threshold,days,7
08311_Freiburg im Breisgau,-21.620003,FD,year,days_with_air_temperature_below_threshold,days,7
08315_Breisgau-Hochschwarzwald,-23.6292,FD,year,days_with_air_temperature_below_threshold,days,7
08316_Emmendingen,-22.050335,FD,year,days_with_air_temperature_below_threshold,days,7
08317_Ortenaukreis,-21.973219,FD,year,days_with_air_temperature_below_threshold,days,7
08325_Rottweil,-25.633064,FD,year,days_with_air_temperature_below_threshold,days,7
