region,FD_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
07335_Kaiserslautern,-29.59292984008789,FD,year,days_with_air_temperature_below_threshold,days,7
07336_Kusel,-29.122718811035156,FD,year,days_with_air_temperature_below_threshold,days,7
07337_Südliche Weinstraße,-27.946269989013672,FD,year,days_with_air_temperature_below_threshold,days,7
07338_Rhein-Pfalz-Kreis,-28.300701141357422,FD,year,days_with_air_temperature_below_threshold,days,7
07339_Mainz-Bingen,-29.036327362060547,FD,year,days_with_air_temperature_below_threshold,days,7
07340_Südwestpfalz,-29.064350128173828,FD,year,days_with_air_temperature_below_threshold,days,7
08111_Stuttgart,-29.53601837158203,FD,year,days_with_air_temperature_below_threshold,days,7
08115_Böblingen,-29.445167541503906,FD,year,days_with_air_temperature_below_threshold,days,7
08116_Esslingen,-28.46479034423828,FD,year,days_with_air_temperature_below_threshold,days,7
08117_Göppingen,-29.57506561279297,FD,year,days_with_air_temperature_below_threshold,days,7
08118_Ludwigsburg,-29.491573333740234,FD,year,days_with_air_temperature_below_threshold,days,7
08119_Rems-Murr-Kreis,-29.624542236328125,FD,year,days_with_air_temperature_below_threshold,days,7
08121_Heilbronn,-30.081634521484375,FD,year,days_with_air_temperature_below_threshold,days,7
08125_Heilbronn,-30.130813598632812,FD,year,days_with_air_temperature_below_threshold,days,7
08126_Hohenlohekreis,-31.49622344970703,FD,year,days_with_air_temperature_below_threshold,days,7
08127_Schwäbisch Hall,-31.840721130371094,FD,year,days_with_air_temperature_below_threshold,days,7
08128_Main-Tauber-Kreis,-31.586631774902344,FD,year,days_with_air_temperature_below_threshold,days,7
08135_Heidenheim,-30.7257080078125,FD,year,days_with_air_temperature_below_threshold,days,7
08136_Ostalbkreis,-31.262733459472656,FD,year,days_with_air_temperature_below_threshold,days,7
08211_Baden-Baden,-28.297531127929688,FD,year,days_with_air_temperature_below_threshold,days,7
08212_Karlsruhe,-26.7462158203125,FD,year,days_with_air_temperature_below_threshold,days,7
08215_Karlsruhe,-27.348419189453125,FD,year,days_with_air_temperature_below_threshold,days,7
08216_Rastatt,-28.100547790527344,FD,year,days_with_air_temperature_below_threshold,days,7
08221_Heidelberg,-28.712696075439453,FD,year,days_with_air_temperature_below_threshold,days,7
08222_Mannheim,-27.693988800048828,FD,year,days_with_air_temperature_below_threshold,days,7
08225_Neckar-Odenwald-Kreis,-31.31444549560547,FD,year,days_with_air_temperature_below_threshold,days,7
08226_Rhein-Neckar-Kreis,-29.27309799194336,FD,year,days_with_air_temperature_below_threshold,days,7
08231_Pforzheim,-29.182579040527344,FD,year,days_with_air_temperature_below_threshold,days,7
08235_Calw,-29.431541442871094,FD,year,days_with_air_temperature_below_threshold,days,7
08236_Enzkreis,-28.479873657226562,FD,year,days_with_air_temperature_below_threshold,days,7
08237_Freudenstadt,-30.242416381835938,FD,year,days_with_air_temperature_below_threshold,days,7
08311_Freiburg im Breisgau,-28.210494995117188,FD,year,days_with_air_temperature_below_threshold,days,7
08315_Breisgau-Hochschwarzwald,-27.302894592285156,FD,year,days_with_air_temperature_below_threshold,days,7
08316_Emmendingen,-27.985260009765625,FD,year,days_with_air_temperature_below_threshold,days,7
08317_Ortenaukreis,-28.54711151123047,FD,year,days_with_air_temperature_below_threshold,days,7
08325_Rottweil,-30.084327697753906,FD,year,days_with_air_temperature_below_threshold,days,7
08326_Schwarzwald-Baar-Kreis,-29.140525817871094,FD,year,days_with_air_temperature_below_threshold,days,7
08327_Tuttlingen,-29.85504150390625,FD,year,days_with_air_temperature_below_threshold,days,7
08335_Konstanz,-28.72789764404297,FD,year,days_with_air_temperature_below_threshold,days,7
08336_Lörrach,-27.767967224121094,FD,year,days_with_air_temperature_below_threshold,days,7
08337_Waldshut,-27.985443115234375,FD,year,days_with_air_temperature_below_threshold,days,7
