region,FD_year_3C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
09181_Landsberg am Lech,-40.43883514404297,FD,year,days_with_air_temperature_below_threshold,days,7
09182_Miesbach,-42.7459831237793,FD,year,days_with_air_temperature_below_threshold,days,7
09183_Mühldorf a. Inn,-40.36027145385742,FD,year,days_with_air_temperature_below_threshold,days,7
09184_München,-39.4145622253418,FD,year,days_with_air_temperature_below_threshold,days,7
09185_Neuburg-Schrobenhausen,-40.116329193115234,FD,year,days_with_air_temperature_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,-39.829444885253906,FD,year,days_with_air_temperature_below_threshold,days,7
09187_Rosenheim,-40.61778259277344,FD,year,days_with_air_temperature_below_threshold,days,7
09188_Starnberg,-40.49903106689453,FD,year,days_with_air_temperature_below_threshold,days,7
09189_Traunstein,-40.763221740722656,FD,year,days_with_air_temperature_below_threshold,days,7
09190_Weilheim-Schongau,-41.21669006347656,FD,year,days_with_air_temperature_below_threshold,days,7
09261_Landshut,-40.893192291259766,FD,year,days_with_air_temperature_below_threshold,days,7
09262_Passau,-43.2794189453125,FD,year,days_with_air_temperature_below_threshold,days,7
09263_Straubing,-42.074954986572266,FD,year,days_with_air_temperature_below_threshold,days,7
09271_Deggendorf,-43.765724182128906,FD,year,days_with_air_temperature_below_threshold,days,7
09272_Freyung-Grafenau,-44.56383514404297,FD,year,days_with_air_temperature_below_threshold,days,7
09273_Kelheim,-40.99901580810547,FD,year,days_with_air_temperature_below_threshold,days,7
09274_Landshut,-40.73509979248047,FD,year,days_with_air_temperature_below_threshold,days,7
09275_Passau,-42.470787048339844,FD,year,days_with_air_temperature_below_threshold,days,7
09276_Regen,-44.72264862060547,FD,year,days_with_air_temperature_below_threshold,days,7
09277_Rottal-Inn,-40.89219665527344,FD,year,days_with_air_temperature_below_threshold,days,7
09278_Straubing-Bogen,-43.06824493408203,FD,year,days_with_air_temperature_below_threshold,days,7
09279_Dingolfing-Landau,-41.109222412109375,FD,year,days_with_air_temperature_below_threshold,days,7
09361_Amberg,-43.86558151245117,FD,year,days_with_air_temperature_below_threshold,days,7
09362_Regensburg,-42.61404800415039,FD,year,days_with_air_temperature_below_threshold,days,7
09363_Weiden i.d. OPf.,-44.38154602050781,FD,year,days_with_air_temperature_below_threshold,days,7
09371_Amberg-Sulzbach,-43.52452087402344,FD,year,days_with_air_temperature_below_threshold,days,7
09372_Cham,-43.45155334472656,FD,year,days_with_air_temperature_below_threshold,days,7
09373_Neumarkt i.d. OPf.,-42.63390350341797,FD,year,days_with_air_temperature_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,-44.21288299560547,FD,year,days_with_air_temperature_below_threshold,days,7
09375_Regensburg,-42.49958038330078,FD,year,days_with_air_temperature_below_threshold,days,7
09376_Schwandorf,-43.70091247558594,FD,year,days_with_air_temperature_below_threshold,days,7
09377_Tirschenreuth,-45.13555145263672,FD,year,days_with_air_temperature_below_threshold,days,7
09461_Bamberg,-40.372764587402344,FD,year,days_with_air_temperature_below_threshold,days,7
09462_Bayreuth,-43.50088882446289,FD,year,days_with_air_temperature_below_threshold,days,7
09463_Coburg,-42.23688888549805,FD,year,days_with_air_temperature_below_threshold,days,7
09464_Hof,-45.05039978027344,FD,year,days_with_air_temperature_below_threshold,days,7
09471_Bamberg,-40.44171905517578,FD,year,days_with_air_temperature_below_threshold,days,7
09472_Bayreuth,-43.810916900634766,FD,year,days_with_air_temperature_below_threshold,days,7
09473_Coburg,-42.77555847167969,FD,year,days_with_air_temperature_below_threshold,days,7
09474_Forchheim,-41.489322662353516,FD,year,days_with_air_temperature_below_threshold,days,7
09475_Hof,-45.48966979980469,FD,year,days_with_air_temperature_below_threshold,days,7
09476_Kronach,-44.62753677368164,FD,year,days_with_air_temperature_below_threshold,days,7
09477_Kulmbach,-43.588111877441406,FD,year,days_with_air_temperature_below_threshold,days,7
09478_Lichtenfels,-41.00211715698242,FD,year,days_with_air_temperature_below_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,-45.71232604980469,FD,year,days_with_air_temperature_below_threshold,days,7
09561_Ansbach,-40.12628173828125,FD,year,days_with_air_temperature_below_threshold,days,7
09562_Erlangen,-38.429908752441406,FD,year,days_with_air_temperature_below_threshold,days,7
09563_Fürth,-37.80854415893555,FD,year,days_with_air_temperature_below_threshold,days,7
09564_Nürnberg,-39.12654495239258,FD,year,days_with_air_temperature_below_threshold,days,7
09565_Schwabach,-39.4632568359375,FD,year,days_with_air_temperature_below_threshold,days,7
09571_Ansbach,-39.75742721557617,FD,year,days_with_air_temperature_below_threshold,days,7
09572_Erlangen-Höchstadt,-39.984375,FD,year,days_with_air_temperature_below_threshold,days,7
09573_Fürth,-39.433082580566406,FD,year,days_with_air_temperature_below_threshold,days,7
09574_Nürnberger Land,-42.0291633605957,FD,year,days_with_air_temperature_below_threshold,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,-38.58063507080078,FD,year,days_with_air_temperature_below_threshold,days,7
09576_Roth,-40.56291961669922,FD,year,days_with_air_temperature_below_threshold,days,7
09577_Weißenburg-Gunzenhausen,-41.56155776977539,FD,year,days_with_air_temperature_below_threshold,days,7
09661_Aschaffenburg,-35.675601959228516,FD,year,days_with_air_temperature_below_threshold,days,7
09662_Schweinfurt,-39.26762008666992,FD,year,days_with_air_temperature_below_threshold,days,7
09663_Würzburg,-37.23989486694336,FD,year,days_with_air_temperature_below_threshold,days,7
09671_Aschaffenburg,-37.91807556152344,FD,year,days_with_air_temperature_below_threshold,days,7
09672_Bad Kissingen,-42.3525390625,FD,year,days_with_air_temperature_below_threshold,days,7
09673_Rhön-Grabfeld,-43.33771514892578,FD,year,days_with_air_temperature_below_threshold,days,7
09674_Haßberge,-40.78828430175781,FD,year,days_with_air_temperature_below_threshold,days,7
09675_Kitzingen,-37.44873046875,FD,year,days_with_air_temperature_below_threshold,days,7
09676_Miltenberg,-37.833316802978516,FD,year,days_with_air_temperature_below_threshold,days,7
09677_Main-Spessart,-40.109004974365234,FD,year,days_with_air_temperature_below_threshold,days,7
09678_Schweinfurt,-39.3902587890625,FD,year,days_with_air_temperature_below_threshold,days,7
09679_Würzburg,-37.49525833129883,FD,year,days_with_air_temperature_below_threshold,days,7
09761_Augsburg,-38.93025588989258,FD,year,days_with_air_temperature_below_threshold,days,7
09762_Kaufbeuren,-41.86420440673828,FD,year,days_with_air_temperature_below_threshold,days,7
