region,FD_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
06534_Marburg-Biedenkopf,-17.590534,FD,year,days_with_air_temperature_below_threshold,days,7
06535_Vogelsbergkreis,-17.886501,FD,year,days_with_air_temperature_below_threshold,days,7
06611_Kassel,-17.505299,FD,year,days_with_air_temperature_below_threshold,days,7
06631_Fulda,-18.20317,FD,year,days_with_air_temperature_below_threshold,days,7
06632_Hersfeld-Rotenburg,-17.64718,FD,year,days_with_air_temperature_below_threshold,days,7
06633_Kassel,-17.556501,FD,year,days_with_air_temperature_below_threshold,days,7
06634_Schwalm-Eder-Kreis,-17.601238,FD,year,days_with_air_temperature_below_threshold,days,7
06635_Waldeck-Frankenberg,-18.359812,FD,year,days_with_air_temperature_below_threshold,days,7
06636_Werra-Meißner-Kreis,-17.902987,FD,year,days_with_air_temperature_below_threshold,days,7
07111_Koblenz,-15.509466,FD,year,days_with_air_temperature_below_threshold,days,7
07131_Ahrweiler,-16.83168,FD,year,days_with_air_temperature_below_threshold,days,7
07132_Altenkirchen (Westerwald),-17.484283,FD,year,days_with_air_temperature_below_threshold,days,7
07133_Bad Kreuznach,-15.980103,FD,year,days_with_air_temperature_below_threshold,days,7
07134_Birkenfeld,-17.039991,FD,year,days_with_air_temperature_below_threshold,days,7
07135_Cochem-Zell,-16.551031,FD,year,days_with_air_temperature_below_threshold,days,7
07137_Mayen-Koblenz,-16.125538,FD,year,days_with_air_temperature_below_threshold,days,7
07138_Neuwied,-16.000458,FD,year,days_with_air_temperature_below_threshold,days,7
07140_Rhein-Hunsrück-Kreis,-16.918585,FD,year,days_with_air_temperature_below_threshold,days,7
07141_Rhein-Lahn-Kreis,-16.701582,FD,year,days_with_air_temperature_below_threshold,days,7
07143_Westerwaldkreis,-17.440702,FD,year,days_with_air_temperature_below_threshold,days,7
07211_Trier,-15.658182,FD,year,days_with_air_temperature_below_threshold,days,7
07231_Bernkastel-Wittlich,-16.429752,FD,year,days_with_air_temperature_below_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,-17.2081,FD,year,days_with_air_temperature_below_threshold,days,7
07233_Vulkaneifel,-17.971241,FD,year,days_with_air_temperature_below_threshold,days,7
07235_Trier-Saarburg,-16.09912,FD,year,days_with_air_temperature_below_threshold,days,7
07311_Frankenthal (Pfalz),-13.873846,FD,year,days_with_air_temperature_below_threshold,days,7
07312_Kaiserslautern,-15.868433,FD,year,days_with_air_temperature_below_threshold,days,7
07313_Landau in der Pfalz,-15.087336,FD,year,days_with_air_temperature_below_threshold,days,7
07314_Ludwigshafen am Rhein,-13.889174,FD,year,days_with_air_temperature_below_threshold,days,7
07315_Mainz,-14.930819,FD,year,days_with_air_temperature_below_threshold,days,7
07316_Neustadt an der Weinstraße,-14.792052,FD,year,days_with_air_temperature_below_threshold,days,7
07317_Pirmasens,-15.839577,FD,year,days_with_air_temperature_below_threshold,days,7
07318_Speyer,-13.998887,FD,year,days_with_air_temperature_below_threshold,days,7
07319_Worms,-14.07835,FD,year,days_with_air_temperature_below_threshold,days,7
07320_Zweibrücken,-15.404264,FD,year,days_with_air_temperature_below_threshold,days,7
07331_Alzey-Worms,-14.610966,FD,year,days_with_air_temperature_below_threshold,days,7
07332_Bad Dürkheim,-15.052622,FD,year,days_with_air_temperature_below_threshold,days,7
07333_Donnersbergkreis,-15.4829645,FD,year,days_with_air_temperature_below_threshold,days,7
07334_Germersheim,-13.751587,FD,year,days_with_air_temperature_below_threshold,days,7
07335_Kaiserslautern,-15.812633,FD,year,days_with_air_temperature_below_threshold,days,7
07336_Kusel,-15.947273,FD,year,days_with_air_temperature_below_threshold,days,7
07337_Südliche Weinstraße,-14.950084,FD,year,days_with_air_temperature_below_threshold,days,7
07338_Rhein-Pfalz-Kreis,-13.964854,FD,year,days_with_air_temperature_below_threshold,days,7
07339_Mainz-Bingen,-15.177109,FD,year,days_with_air_temperature_below_threshold,days,7
07340_Südwestpfalz,-15.809649,FD,year,days_with_air_temperature_below_threshold,days,7
08111_Stuttgart,-15.623477,FD,year,days_with_air_temperature_below_threshold,days,7
08115_Böblingen,-16.76381,FD,year,days_with_air_temperature_below_threshold,days,7
08116_Esslingen,-16.437609,FD,year,days_with_air_temperature_below_threshold,days,7
08117_Göppingen,-17.252691,FD,year,days_with_air_temperature_below_threshold,days,7
08118_Ludwigsburg,-15.546155,FD,year,days_with_air_temperature_below_threshold,days,7
08119_Rems-Murr-Kreis,-16.489996,FD,year,days_with_air_temperature_below_threshold,days,7
08121_Heilbronn,-15.099477,FD,year,days_with_air_temperature_below_threshold,days,7
08125_Heilbronn,-15.593845,FD,year,days_with_air_temperature_below_threshold,days,7
08126_Hohenlohekreis,-16.43383,FD,year,days_with_air_temperature_below_threshold,days,7
08127_Schwäbisch Hall,-17.058104,FD,year,days_with_air_temperature_below_threshold,days,7
08128_Main-Tauber-Kreis,-16.483627,FD,year,days_with_air_temperature_below_threshold,days,7
08135_Heidenheim,-17.731606,FD,year,days_with_air_temperature_below_threshold,days,7
08136_Ostalbkreis,-17.377592,FD,year,days_with_air_temperature_below_threshold,days,7
08211_Baden-Baden,-15.301505,FD,year,days_with_air_temperature_below_threshold,days,7
08212_Karlsruhe,-13.168551,FD,year,days_with_air_temperature_below_threshold,days,7
08215_Karlsruhe,-14.154198,FD,year,days_with_air_temperature_below_threshold,days,7
08216_Rastatt,-15.207543,FD,year,days_with_air_temperature_below_threshold,days,7
08221_Heidelberg,-14.988195,FD,year,days_with_air_temperature_below_threshold,days,7
08222_Mannheim,-13.885693,FD,year,days_with_air_temperature_below_threshold,days,7
08225_Neckar-Odenwald-Kreis,-16.657194,FD,year,days_with_air_temperature_below_threshold,days,7
08226_Rhein-Neckar-Kreis,-15.215198,FD,year,days_with_air_temperature_below_threshold,days,7
08231_Pforzheim,-15.81152,FD,year,days_with_air_temperature_below_threshold,days,7
08235_Calw,-17.368744,FD,year,days_with_air_temperature_below_threshold,days,7
08236_Enzkreis,-15.537241,FD,year,days_with_air_temperature_below_threshold,days,7
08237_Freudenstadt,-17.65459,FD,year,days_with_air_temperature_below_threshold,days,7
08311_Freiburg im Breisgau,-15.263904,FD,year,days_with_air_temperature_below_threshold,days,7
08315_Breisgau-Hochschwarzwald,-16.561434,FD,year,days_with_air_temperature_below_threshold,days,7
08316_Emmendingen,-15.506209,FD,year,days_with_air_temperature_below_threshold,days,7
08317_Ortenaukreis,-15.401876,FD,year,days_with_air_temperature_below_threshold,days,7
08325_Rottweil,-17.87554,FD,year,days_with_air_temperature_below_threshold,days,7
08326_Schwarzwald-Baar-Kreis,-17.93772,FD,year,days_with_air_temperature_below_threshold,days,7
08327_Tuttlingen,-18.290321,FD,year,days_with_air_temperature_below_threshold,days,7
08335_Konstanz,-17.406715,FD,year,days_with_air_temperature_below_threshold,days,7
08336_Lörrach,-17.026299,FD,year,days_with_air_temperature_below_threshold,days,7
08337_Waldshut,-17.821117,FD,year,days_with_air_temperature_below_threshold,days,7
08415_Reutlingen,-17.750582,FD,year,days_with_air_temperature_below_threshold,days,7
08416_Tübingen,-16.864925,FD,year,days_with_air_temperature_below_threshold,days,7
08417_Zollernalbkreis,-17.817692,FD,year,days_with_air_temperature_below_threshold,days,7
08421_Ulm,-17.713556,FD,year,days_with_air_temperature_below_threshold,days,7
08425_Alb-Donau-Kreis,-17.844288,FD,year,days_with_air_temperature_below_threshold,days,7
08426_Biberach,-17.833483,FD,year,days_with_air_temperature_below_threshold,days,7
08435_Bodenseekreis,-16.112509,FD,year,days_with_air_temperature_below_threshold,days,7
08436_Ravensburg,-18.097591,FD,year,days_with_air_temperature_below_threshold,days,7
08437_Sigmaringen,-18.078945,FD,year,days_with_air_temperature_below_threshold,days,7
09161_Ingolstadt,-17.0652,FD,year,days_with_air_temperature_below_threshold,days,7
09162_München,-17.060555,FD,year,days_with_air_temperature_below_threshold,days,7
09163_Rosenheim,-17.329252,FD,year,days_with_air_temperature_below_threshold,days,7
09171_Altötting,-17.48922,FD,year,days_with_air_temperature_below_threshold,days,7
09172_Berchtesgadener Land,-17.506004,FD,year,days_with_air_temperature_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,-17.752836,FD,year,days_with_air_temperature_below_threshold,days,7
09174_Dachau,-17.185343,FD,year,days_with_air_temperature_below_threshold,days,7
09175_Ebersberg,-17.50811,FD,year,days_with_air_temperature_below_threshold,days,7
09176_Eichstätt,-17.655804,FD,year,days_with_air_temperature_below_threshold,days,7
09177_Erding,-17.462324,FD,year,days_with_air_temperature_below_threshold,days,7
09178_Freising,-17.184412,FD,year,days_with_air_temperature_below_threshold,days,7
09179_Fürstenfeldbruck,-17.323689,FD,year,days_with_air_temperature_below_threshold,days,7
09180_Garmisch-Partenkirchen,-17.354492,FD,year,days_with_air_temperature_below_threshold,days,7
09181_Landsberg am Lech,-17.539791,FD,year,days_with_air_temperature_below_threshold,days,7
09182_Miesbach,-17.651833,FD,year,days_with_air_temperature_below_threshold,days,7
09183_Mühldorf a. Inn,-17.490677,FD,year,days_with_air_temperature_below_threshold,days,7
09184_München,-17.513248,FD,year,days_with_air_temperature_below_threshold,days,7
09185_Neuburg-Schrobenhausen,-17.160053,FD,year,days_with_air_temperature_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,-17.12856,FD,year,days_with_air_temperature_below_threshold,days,7
09187_Rosenheim,-17.665009,FD,year,days_with_air_temperature_below_threshold,days,7
09188_Starnberg,-17.696281,FD,year,days_with_air_temperature_below_threshold,days,7
09189_Traunstein,-17.59455,FD,year,days_with_air_temperature_below_threshold,days,7
09190_Weilheim-Schongau,-17.752396,FD,year,days_with_air_temperature_below_threshold,days,7
09261_Landshut,-17.29501,FD,year,days_with_air_temperature_below_threshold,days,7
09262_Passau,-18.658798,FD,year,days_with_air_temperature_below_threshold,days,7
09263_Straubing,-17.963083,FD,year,days_with_air_temperature_below_threshold,days,7
09271_Deggendorf,-18.54629,FD,year,days_with_air_temperature_below_threshold,days,7
09272_Freyung-Grafenau,-18.618423,FD,year,days_with_air_temperature_below_threshold,days,7
09273_Kelheim,-17.501493,FD,year,days_with_air_temperature_below_threshold,days,7
09274_Landshut,-17.424688,FD,year,days_with_air_temperature_below_threshold,days,7
09275_Passau,-18.415232,FD,year,days_with_air_temperature_below_threshold,days,7
09276_Regen,-18.72701,FD,year,days_with_air_temperature_below_threshold,days,7
