region,FD_year_2C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
09277_Rottal-Inn,-8.744606018066406,FD,year,days_with_air_temperature_below_threshold,days,7
09278_Straubing-Bogen,-11.495182037353516,FD,year,days_with_air_temperature_below_threshold,days,7
09279_Dingolfing-Landau,-8.62722396850586,FD,year,days_with_air_temperature_below_threshold,days,7
09361_Amberg,-11.889148712158203,FD,year,days_with_air_temperature_below_threshold,days,7
09362_Regensburg,-10.445503234863281,FD,year,days_with_air_temperature_below_threshold,days,7
09363_Weiden i.d. OPf.,-13.613388061523438,FD,year,days_with_air_temperature_below_threshold,days,7
09371_Amberg-Sulzbach,-12.0257568359375,FD,year,days_with_air_temperature_below_threshold,days,7
09372_Cham,-13.749687194824219,FD,year,days_with_air_temperature_below_threshold,days,7
09373_Neumarkt i.d. OPf.,-11.67822265625,FD,year,days_with_air_temperature_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,-14.106597900390625,FD,year,days_with_air_temperature_below_threshold,days,7
09375_Regensburg,-11.301097869873047,FD,year,days_with_air_temperature_below_threshold,days,7
09376_Schwandorf,-12.806854248046875,FD,year,days_with_air_temperature_below_threshold,days,7
09377_Tirschenreuth,-15.76434326171875,FD,year,days_with_air_temperature_below_threshold,days,7
09461_Bamberg,-9.99795150756836,FD,year,days_with_air_temperature_below_threshold,days,7
09462_Bayreuth,-12.615184783935547,FD,year,days_with_air_temperature_below_threshold,days,7
09463_Coburg,-10.984363555908203,FD,year,days_with_air_temperature_below_threshold,days,7
09464_Hof,-15.893638610839844,FD,year,days_with_air_temperature_below_threshold,days,7
09471_Bamberg,-10.647296905517578,FD,year,days_with_air_temperature_below_threshold,days,7
09472_Bayreuth,-13.623802185058594,FD,year,days_with_air_temperature_below_threshold,days,7
09473_Coburg,-11.603702545166016,FD,year,days_with_air_temperature_below_threshold,days,7
09474_Forchheim,-10.922649383544922,FD,year,days_with_air_temperature_below_threshold,days,7
09475_Hof,-16.94324493408203,FD,year,days_with_air_temperature_below_threshold,days,7
09476_Kronach,-15.450042724609375,FD,year,days_with_air_temperature_below_threshold,days,7
09477_Kulmbach,-13.136444091796875,FD,year,days_with_air_temperature_below_threshold,days,7
09478_Lichtenfels,-10.65875244140625,FD,year,days_with_air_temperature_below_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,-16.593780517578125,FD,year,days_with_air_temperature_below_threshold,days,7
09561_Ansbach,-11.179061889648438,FD,year,days_with_air_temperature_below_threshold,days,7
09562_Erlangen,-8.059200286865234,FD,year,days_with_air_temperature_below_threshold,days,7
09563_Fürth,-8.520889282226562,FD,year,days_with_air_temperature_below_threshold,days,7
09564_Nürnberg,-8.30584716796875,FD,year,days_with_air_temperature_below_threshold,days,7
09565_Schwabach,-8.497737884521484,FD,year,days_with_air_temperature_below_threshold,days,7
09571_Ansbach,-11.03780746459961,FD,year,days_with_air_temperature_below_threshold,days,7
09572_Erlangen-Höchstadt,-8.738056182861328,FD,year,days_with_air_temperature_below_threshold,days,7
09573_Fürth,-9.34682846069336,FD,year,days_with_air_temperature_below_threshold,days,7
09574_Nürnberger Land,-10.900169372558594,FD,year,days_with_air_temperature_below_threshold,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,-9.558067321777344,FD,year,days_with_air_temperature_below_threshold,days,7
09576_Roth,-9.540290832519531,FD,year,days_with_air_temperature_below_threshold,days,7
09577_Weißenburg-Gunzenhausen,-11.348777770996094,FD,year,days_with_air_temperature_below_threshold,days,7
09661_Aschaffenburg,-5.422962188720703,FD,year,days_with_air_temperature_below_threshold,days,7
09662_Schweinfurt,-8.48697280883789,FD,year,days_with_air_temperature_below_threshold,days,7
09663_Würzburg,-7.705043792724609,FD,year,days_with_air_temperature_below_threshold,days,7
09671_Aschaffenburg,-6.848030090332031,FD,year,days_with_air_temperature_below_threshold,days,7
09672_Bad Kissingen,-10.84170150756836,FD,year,days_with_air_temperature_below_threshold,days,7
09673_Rhön-Grabfeld,-12.729202270507812,FD,year,days_with_air_temperature_below_threshold,days,7
09674_Haßberge,-9.56686782836914,FD,year,days_with_air_temperature_below_threshold,days,7
09675_Kitzingen,-8.102397918701172,FD,year,days_with_air_temperature_below_threshold,days,7
09676_Miltenberg,-8.506172180175781,FD,year,days_with_air_temperature_below_threshold,days,7
09677_Main-Spessart,-9.11130142211914,FD,year,days_with_air_temperature_below_threshold,days,7
09678_Schweinfurt,-8.696640014648438,FD,year,days_with_air_temperature_below_threshold,days,7
09679_Würzburg,-8.435089111328125,FD,year,days_with_air_temperature_below_threshold,days,7
09761_Augsburg,-10.46759033203125,FD,year,days_with_air_temperature_below_threshold,days,7
