region,FD_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
07140_Rhein-Hunsrück-Kreis,-17.565261840820312,FD,year,days_with_air_temperature_below_threshold,days,7
07141_Rhein-Lahn-Kreis,-17.61038589477539,FD,year,days_with_air_temperature_below_threshold,days,7
07143_Westerwaldkreis,-18.115066528320312,FD,year,days_with_air_temperature_below_threshold,days,7
07211_Trier,-16.066024780273438,FD,year,days_with_air_temperature_below_threshold,days,7
07231_Bernkastel-Wittlich,-17.069786071777344,FD,year,days_with_air_temperature_below_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,-17.468536376953125,FD,year,days_with_air_temperature_below_threshold,days,7
07233_Vulkaneifel,-17.918380737304688,FD,year,days_with_air_temperature_below_threshold,days,7
07235_Trier-Saarburg,-16.559608459472656,FD,year,days_with_air_temperature_below_threshold,days,7
07311_Frankenthal (Pfalz),-14.199138641357422,FD,year,days_with_air_temperature_below_threshold,days,7
07312_Kaiserslautern,-16.64832305908203,FD,year,days_with_air_temperature_below_threshold,days,7
07313_Landau in der Pfalz,-15.299964904785156,FD,year,days_with_air_temperature_below_threshold,days,7
07314_Ludwigshafen am Rhein,-14.019363403320312,FD,year,days_with_air_temperature_below_threshold,days,7
07315_Mainz,-15.305862426757812,FD,year,days_with_air_temperature_below_threshold,days,7
07316_Neustadt an der Weinstraße,-14.805229187011719,FD,year,days_with_air_temperature_below_threshold,days,7
07317_Pirmasens,-16.504791259765625,FD,year,days_with_air_temperature_below_threshold,days,7
07318_Speyer,-14.257492065429688,FD,year,days_with_air_temperature_below_threshold,days,7
07319_Worms,-14.401363372802734,FD,year,days_with_air_temperature_below_threshold,days,7
07320_Zweibrücken,-15.91934585571289,FD,year,days_with_air_temperature_below_threshold,days,7
07331_Alzey-Worms,-14.991289138793945,FD,year,days_with_air_temperature_below_threshold,days,7
07332_Bad Dürkheim,-15.491588592529297,FD,year,days_with_air_temperature_below_threshold,days,7
07333_Donnersbergkreis,-16.422378540039062,FD,year,days_with_air_temperature_below_threshold,days,7
07334_Germersheim,-14.061275482177734,FD,year,days_with_air_temperature_below_threshold,days,7
07335_Kaiserslautern,-16.58155059814453,FD,year,days_with_air_temperature_below_threshold,days,7
07336_Kusel,-16.56589126586914,FD,year,days_with_air_temperature_below_threshold,days,7
07337_Südliche Weinstraße,-15.276023864746094,FD,year,days_with_air_temperature_below_threshold,days,7
07338_Rhein-Pfalz-Kreis,-14.364879608154297,FD,year,days_with_air_temperature_below_threshold,days,7
07339_Mainz-Bingen,-16.348968505859375,FD,year,days_with_air_temperature_below_threshold,days,7
07340_Südwestpfalz,-16.358360290527344,FD,year,days_with_air_temperature_below_threshold,days,7
08111_Stuttgart,-16.11676788330078,FD,year,days_with_air_temperature_below_threshold,days,7
08115_Böblingen,-16.724533081054688,FD,year,days_with_air_temperature_below_threshold,days,7
08116_Esslingen,-16.62602996826172,FD,year,days_with_air_temperature_below_threshold,days,7
08117_Göppingen,-17.47473907470703,FD,year,days_with_air_temperature_below_threshold,days,7
08118_Ludwigsburg,-16.061264038085938,FD,year,days_with_air_temperature_below_threshold,days,7
08119_Rems-Murr-Kreis,-17.02619171142578,FD,year,days_with_air_temperature_below_threshold,days,7
08121_Heilbronn,-15.32138442993164,FD,year,days_with_air_temperature_below_threshold,days,7
08125_Heilbronn,-16.40548324584961,FD,year,days_with_air_temperature_below_threshold,days,7
08126_Hohenlohekreis,-16.943164825439453,FD,year,days_with_air_temperature_below_threshold,days,7
08127_Schwäbisch Hall,-17.34876251220703,FD,year,days_with_air_temperature_below_threshold,days,7
08128_Main-Tauber-Kreis,-16.95926284790039,FD,year,days_with_air_temperature_below_threshold,days,7
