region,SU35_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
06631_Fulda,1.9859933853149414,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06632_Hersfeld-Rotenburg,2.5850002765655518,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06633_Kassel,2.4225330352783203,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06634_Schwalm-Eder-Kreis,2.603642225265503,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06635_Waldeck-Frankenberg,1.7875032424926758,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
06636_Werra-Meißner-Kreis,2.3380730152130127,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07111_07137_07141_07143_Region_um_Koblenz,2.6398203372955322,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07111_Koblenz,3.4923083782196045,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07131_Ahrweiler,1.6984734535217285,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07132_Altenkirchen (Westerwald),1.8439304828643799,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07133_Bad Kreuznach,4.035584449768066,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07134_Birkenfeld,1.8571099042892456,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07135_Cochem-Zell,2.420961856842041,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07137_Mayen-Koblenz,2.8156898021698,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07138_Neuwied,2.6656739711761475,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07140_Rhein-Hunsrück-Kreis,2.4232470989227295,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07141_Rhein-Lahn-Kreis,3.212991714477539,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07143_Westerwaldkreis,2.0565567016601562,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07211_07235_Region_um_Trier,2.496464967727661,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07211_Trier,2.9244415760040283,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07231_Bernkastel-Wittlich,2.343683958053589,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,1.335700511932373,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07233_Vulkaneifel,0.9269754886627197,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07235_Trier-Saarburg,2.4481029510498047,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),6.921069145202637,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07311_Frankenthal (Pfalz),6.896304130554199,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07312_07335_07332_Region_um_Kaiserslautern,4.34980583190918,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07312_Kaiserslautern,3.9408011436462402,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07313_07337_Region_um_Landau_in_der_Pfalz,4.890403747558594,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07313_Landau in der Pfalz,4.7921576499938965,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,6.922945976257324,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07314_Ludwigshafen am Rhein,6.953773498535156,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07315_07339_06414_06433_Region_um_Mainz,5.178472518920898,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07315_Mainz,5.271755218505859,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,4.852420806884766,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07316_Neustadt an der Weinstraße,5.10927152633667,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
07317_07340_Region_um_Pirmasens,4.02495002746582,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
