region,ci_name,ci_frequency,standard_name,units,mid_month,SU35_year_4C_rcp85_ensemble-robustness
05124_Wuppertal,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05154_Kleve,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05158_Mettmann,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05162_Rhein-Kreis Neuss,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05166_Viersen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05170_Wesel,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05314_05382_Region_um_Bonn,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05314_Bonn,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05315_Köln,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05316_05315_05378_05158_Region_um_Leverkusen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05316_Leverkusen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05334_Städteregion Aachen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05358_Düren,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05362_Rhein-Erft-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05366_Euskirchen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05370_Heinsberg,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05374_Oberbergischer Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05378_Rheinisch-Bergischer Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05382_Rhein-Sieg-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05512_Bottrop,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05513_Gelsenkirchen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05515_05566_05558_05570_Region_um_Münster,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05515_Münster,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05554_Borken,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05558_Coesfeld,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05562_Recklinghausen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05566_Steinfurt,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05570_Warendorf,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05711_05754_05758_05766_Region_um_Bielefeld,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05711_Bielefeld,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
05754_Gütersloh,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2
