region,ci_name,ci_frequency,standard_name,units,mid_month,SU35_year_1.5C_rcp85_ensemble-robustness
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05911_Bochum,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05913_Dortmund,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05914_05954_05913_05978_05962_Region_um_Hagen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05914_Hagen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05915_05978_05974_05570_05558_Region_um_Hamm,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05915_Hamm,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05916_05513_05562_05911_Region_um_Herne,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05916_Herne,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05954_Ennepe-Ruhr-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05958_Hochsauerlandkreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05962_Märkischer Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05966_Olpe,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,
05970_Siegen-Wittgenstein,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,
05974_Soest,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
05978_Unna,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06411_06432_06438_Region_um_Darmstadt,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
06411_Darmstadt,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
