realization,region,HSx3_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_HSx3,04012_Bremerhaven,0.48703808,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05111_05162_05158_05112_Region_um_Düsseldorf,2.6650136,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05111_Düsseldorf,2.8945336,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,2.560171,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05112_Duisburg,2.9928641,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,2.0037718,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05113_Essen,1.8913904,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05114_05112_05162_05166_05170_Region_um_Krefeld,2.5805595,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05114_Krefeld,2.867453,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05116_05370_05166_05162_Region_um_Mönchengladbach,2.3279777,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05116_Mönchengladbach,2.2745907,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,2.3548498,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05117_Mülheim an der Ruhr,2.4105492,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,2.4978096,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05119_Oberhausen,2.5527422,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05120_05124_05122_05378_05374_Region_um_Remscheid,1.469965,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05120_Remscheid,1.1563476,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05122_05158_05124_05378_05120_Region_um_Solingen,1.9218094,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05122_Solingen,2.015225,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,1.4529272,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05124_Wuppertal,1.3817819,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05154_Kleve,1.8798349,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05158_Mettmann,2.1739805,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05162_Rhein-Kreis Neuss,2.7943223,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05166_Viersen,2.2355156,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05170_Wesel,2.518789,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05314_05382_Region_um_Bonn,2.4847338,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05314_Bonn,2.8532903,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05315_Köln,3.0586684,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05316_05315_05378_05158_Region_um_Leverkusen,2.41974,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05316_Leverkusen,2.8031569,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05334_Städteregion Aachen,1.0137888,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05358_Düren,1.922089,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05362_Rhein-Erft-Kreis,2.7959762,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05366_Euskirchen,1.0284879,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05370_Heinsberg,2.0010383,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05374_Oberbergischer Kreis,1.1986287,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05378_Rheinisch-Bergischer Kreis,2.0037715,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05382_Rhein-Sieg-Kreis,2.438559,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05512_05119_05513_05113_05170_05562_Region_um_Bottrop,2.3033156,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05512_Bottrop,2.413601,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,2.112792,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05513_Gelsenkirchen,2.3383095,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05515_05566_05558_05570_Region_um_Münster,1.7967454,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05515_Münster,1.8726553,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05554_Borken,1.6245593,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05558_Coesfeld,1.7667086,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05562_Recklinghausen,2.0749452,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05566_Steinfurt,1.7250401,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05570_Warendorf,1.9016492,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05711_05754_05758_05766_Region_um_Bielefeld,1.3309618,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05711_Bielefeld,1.5344058,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05754_Gütersloh,1.9261616,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05758_Herford,1.5461563,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05762_Höxter,0.7090139,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05766_Lippe,0.7470375,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05770_Minden-Lübbecke,1.7692975,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05774_Paderborn,1.0607505,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,1.8838712,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05911_Bochum,2.1768608,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,1.7914468,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05913_Dortmund,1.8548187,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05914_05954_05913_05978_05962_Region_um_Hagen,1.1687144,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05914_Hagen,1.1421384,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05915_05978_05974_05570_05558_Region_um_Hamm,1.7058095,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05915_Hamm,1.9265597,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05916_05513_05562_05911_Region_um_Herne,2.1271892,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05916_Herne,2.323941,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05954_Ennepe-Ruhr-Kreis,1.2587963,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05958_Hochsauerlandkreis,0.33858675,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05962_Märkischer Kreis,0.64391786,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05966_Olpe,0.65235627,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05970_Siegen-Wittgenstein,0.72528803,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05974_Soest,1.3843809,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,05978_Unna,1.8001847,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06411_06432_06438_Region_um_Darmstadt,3.0219572,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06411_Darmstadt,3.2577558,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,2.3563313,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06412_Frankfurt am Main,3.1771462,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06413_06438_06435_06412_Region_um_Offenbach_am_Main,2.1476312,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06413_Offenbach am Main,3.254425,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,2.8375437,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06414_Wiesbaden,3.0313072,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06431_Bergstraße,2.7208877,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06432_Darmstadt-Dieburg,2.8402917,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06433_Groß-Gerau,4.3990865,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06434_Hochtaunuskreis,1.3432415,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06435_Main-Kinzig-Kreis,1.6464139,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,2.43531,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06436_Main-Taunus-Kreis,2.8355632,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06437_Odenwaldkreis,1.2825228,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,2.4774694,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06438_Offenbach,3.2879028,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06439_Rheingau-Taunus-Kreis,1.516628,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06440_Wetteraukreis,2.2576175,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06531_Gießen,1.9102577,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06532_Lahn-Dill-Kreis,1.5845611,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06533_Limburg-Weilburg,2.1069021,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06534_Marburg-Biedenkopf,1.5082328,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06535_Vogelsbergkreis,0.7540906,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06611_06633_03159_Region_um_Kassel,0.7066709,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06611_Kassel,1.2532923,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06631_Fulda,0.79794437,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06632_Hersfeld-Rotenburg,1.1981463,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06633_Kassel,0.6848966,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06634_Schwalm-Eder-Kreis,1.0959522,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06635_Waldeck-Frankenberg,0.53001463,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,06636_Werra-Meißner-Kreis,0.7392367,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,07111_07137_07141_07143_Region_um_Koblenz,1.9177616,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,07111_Koblenz,3.0177577,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,07131_Ahrweiler,1.5065035,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,07132_Altenkirchen (Westerwald),1.9688767,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,07133_Bad Kreuznach,1.9114159,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,07134_Birkenfeld,1.0347184,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,07135_Cochem-Zell,1.6857257,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,07137_Mayen-Koblenz,2.1919596,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,07138_Neuwied,2.4616916,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,07140_Rhein-Hunsrück-Kreis,1.167738,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,07141_Rhein-Lahn-Kreis,1.9644032,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,07143_Westerwaldkreis,1.5329239,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,07211_07235_Region_um_Trier,2.0245812,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,07211_Trier,3.0383182,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,07231_Bernkastel-Wittlich,1.7379477,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,07232_Eifelkreis Bitburg-Prüm,1.142371,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,07233_Vulkaneifel,0.7717868,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,07235_Trier-Saarburg,1.9100274,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),3.9903243,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,07311_Frankenthal (Pfalz),3.9852798,HSx3,year,hot_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_HSx3,07312_07335_07332_Region_um_Kaiserslautern,2.369272,HSx3,year,hot_spell_duration,days,7
