region,LFD_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
05554_Borken,0.22345399856567383,LFD,year,days_with_air_temperature_below_threshold,days,7
05558_Coesfeld,0.15014934539794922,LFD,year,days_with_air_temperature_below_threshold,days,7
05562_Recklinghausen,0.16012966632843018,LFD,year,days_with_air_temperature_below_threshold,days,7
05566_Steinfurt,0.1230015754699707,LFD,year,days_with_air_temperature_below_threshold,days,7
05570_Warendorf,-0.02438598871231079,LFD,year,days_with_air_temperature_below_threshold,days,7
05711_Bielefeld,-0.4049695134162903,LFD,year,days_with_air_temperature_below_threshold,days,7
05754_Gütersloh,-0.12533116340637207,LFD,year,days_with_air_temperature_below_threshold,days,7
05758_Herford,-0.36374902725219727,LFD,year,days_with_air_temperature_below_threshold,days,7
05762_Höxter,-0.08494234085083008,LFD,year,days_with_air_temperature_below_threshold,days,7
05766_Lippe,-0.29901957511901855,LFD,year,days_with_air_temperature_below_threshold,days,7
05770_Minden-Lübbecke,-0.08206546306610107,LFD,year,days_with_air_temperature_below_threshold,days,7
05774_Paderborn,-0.29262566566467285,LFD,year,days_with_air_temperature_below_threshold,days,7
05911_Bochum,0.15859782695770264,LFD,year,days_with_air_temperature_below_threshold,days,7
05913_Dortmund,0.25733160972595215,LFD,year,days_with_air_temperature_below_threshold,days,7
05914_Hagen,-0.11336207389831543,LFD,year,days_with_air_temperature_below_threshold,days,7
05915_Hamm,-0.007893800735473633,LFD,year,days_with_air_temperature_below_threshold,days,7
05916_Herne,0.3245026767253876,LFD,year,days_with_air_temperature_below_threshold,days,7
05954_Ennepe-Ruhr-Kreis,-0.20510101318359375,LFD,year,days_with_air_temperature_below_threshold,days,7
05958_Hochsauerlandkreis,-0.5014843940734863,LFD,year,days_with_air_temperature_below_threshold,days,7
05962_Märkischer Kreis,-0.44998669624328613,LFD,year,days_with_air_temperature_below_threshold,days,7
05966_Olpe,-0.463834285736084,LFD,year,days_with_air_temperature_below_threshold,days,7
05970_Siegen-Wittgenstein,-0.5190825462341309,LFD,year,days_with_air_temperature_below_threshold,days,7
05974_Soest,-0.38102173805236816,LFD,year,days_with_air_temperature_below_threshold,days,7
05978_Unna,-0.048821449279785156,LFD,year,days_with_air_temperature_below_threshold,days,7
06411_Darmstadt,0.12446218729019165,LFD,year,days_with_air_temperature_below_threshold,days,7
06412_Frankfurt am Main,0.015113234519958496,LFD,year,days_with_air_temperature_below_threshold,days,7
06413_Offenbach am Main,0.38008901476860046,LFD,year,days_with_air_temperature_below_threshold,days,7
06414_Wiesbaden,0.13739526271820068,LFD,year,days_with_air_temperature_below_threshold,days,7
06431_Bergstraße,-0.14408433437347412,LFD,year,days_with_air_temperature_below_threshold,days,7
06432_Darmstadt-Dieburg,-0.09146618843078613,LFD,year,days_with_air_temperature_below_threshold,days,7
06433_Groß-Gerau,0.24452060461044312,LFD,year,days_with_air_temperature_below_threshold,days,7
06434_Hochtaunuskreis,-0.18072199821472168,LFD,year,days_with_air_temperature_below_threshold,days,7
06435_Main-Kinzig-Kreis,-0.30409932136535645,LFD,year,days_with_air_temperature_below_threshold,days,7
06436_Main-Taunus-Kreis,-0.004323601722717285,LFD,year,days_with_air_temperature_below_threshold,days,7
06437_Odenwaldkreis,-0.3064539432525635,LFD,year,days_with_air_temperature_below_threshold,days,7
06438_Offenbach,0.2774659991264343,LFD,year,days_with_air_temperature_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,-0.19704103469848633,LFD,year,days_with_air_temperature_below_threshold,days,7
06440_Wetteraukreis,-0.1190575361251831,LFD,year,days_with_air_temperature_below_threshold,days,7
06531_Gießen,0.11503386497497559,LFD,year,days_with_air_temperature_below_threshold,days,7
06532_Lahn-Dill-Kreis,-0.27718210220336914,LFD,year,days_with_air_temperature_below_threshold,days,7
06533_Limburg-Weilburg,-0.3382394313812256,LFD,year,days_with_air_temperature_below_threshold,days,7
06534_Marburg-Biedenkopf,-0.1683974266052246,LFD,year,days_with_air_temperature_below_threshold,days,7
06535_Vogelsbergkreis,-0.12230300903320312,LFD,year,days_with_air_temperature_below_threshold,days,7
06611_Kassel,0.07863521575927734,LFD,year,days_with_air_temperature_below_threshold,days,7
06631_Fulda,-0.47198963165283203,LFD,year,days_with_air_temperature_below_threshold,days,7
06632_Hersfeld-Rotenburg,-0.49166595935821533,LFD,year,days_with_air_temperature_below_threshold,days,7
