region,LFD_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
07335_Kaiserslautern,-2.357088,LFD,year,days_with_air_temperature_below_threshold,days,7
07336_Kusel,-2.424825,LFD,year,days_with_air_temperature_below_threshold,days,7
07337_Südliche Weinstraße,-1.6815841,LFD,year,days_with_air_temperature_below_threshold,days,7
07338_Rhein-Pfalz-Kreis,-1.2457262,LFD,year,days_with_air_temperature_below_threshold,days,7
07339_Mainz-Bingen,-1.9099758,LFD,year,days_with_air_temperature_below_threshold,days,7
07340_Südwestpfalz,-2.1360261,LFD,year,days_with_air_temperature_below_threshold,days,7
08111_Stuttgart,-1.8776993,LFD,year,days_with_air_temperature_below_threshold,days,7
08115_Böblingen,-2.5155888,LFD,year,days_with_air_temperature_below_threshold,days,7
08116_Esslingen,-2.4238367,LFD,year,days_with_air_temperature_below_threshold,days,7
08117_Göppingen,-2.8866262,LFD,year,days_with_air_temperature_below_threshold,days,7
08118_Ludwigsburg,-1.8994738,LFD,year,days_with_air_temperature_below_threshold,days,7
08119_Rems-Murr-Kreis,-2.2479784,LFD,year,days_with_air_temperature_below_threshold,days,7
08121_Heilbronn,-1.6842021,LFD,year,days_with_air_temperature_below_threshold,days,7
08125_Heilbronn,-1.9311448,LFD,year,days_with_air_temperature_below_threshold,days,7
08126_Hohenlohekreis,-2.320818,LFD,year,days_with_air_temperature_below_threshold,days,7
08127_Schwäbisch Hall,-2.6584373,LFD,year,days_with_air_temperature_below_threshold,days,7
08128_Main-Tauber-Kreis,-2.5014586,LFD,year,days_with_air_temperature_below_threshold,days,7
08135_Heidenheim,-3.1235263,LFD,year,days_with_air_temperature_below_threshold,days,7
08136_Ostalbkreis,-2.9065728,LFD,year,days_with_air_temperature_below_threshold,days,7
08211_Baden-Baden,-2.1308398,LFD,year,days_with_air_temperature_below_threshold,days,7
08212_Karlsruhe,-1.2724148,LFD,year,days_with_air_temperature_below_threshold,days,7
08215_Karlsruhe,-1.5013367,LFD,year,days_with_air_temperature_below_threshold,days,7
08216_Rastatt,-2.181649,LFD,year,days_with_air_temperature_below_threshold,days,7
08221_Heidelberg,-1.4536682,LFD,year,days_with_air_temperature_below_threshold,days,7
08222_Mannheim,-1.1614224,LFD,year,days_with_air_temperature_below_threshold,days,7
08225_Neckar-Odenwald-Kreis,-2.3586972,LFD,year,days_with_air_temperature_below_threshold,days,7
08226_Rhein-Neckar-Kreis,-1.6322373,LFD,year,days_with_air_temperature_below_threshold,days,7
08231_Pforzheim,-2.2012937,LFD,year,days_with_air_temperature_below_threshold,days,7
08235_Calw,-3.1786835,LFD,year,days_with_air_temperature_below_threshold,days,7
08236_Enzkreis,-2.0878026,LFD,year,days_with_air_temperature_below_threshold,days,7
08237_Freudenstadt,-3.4968574,LFD,year,days_with_air_temperature_below_threshold,days,7
08311_Freiburg im Breisgau,-2.1992404,LFD,year,days_with_air_temperature_below_threshold,days,7
08315_Breisgau-Hochschwarzwald,-3.2596834,LFD,year,days_with_air_temperature_below_threshold,days,7
08316_Emmendingen,-2.289331,LFD,year,days_with_air_temperature_below_threshold,days,7
08317_Ortenaukreis,-2.1191587,LFD,year,days_with_air_temperature_below_threshold,days,7
08325_Rottweil,-3.547132,LFD,year,days_with_air_temperature_below_threshold,days,7
08326_Schwarzwald-Baar-Kreis,-4.06307,LFD,year,days_with_air_temperature_below_threshold,days,7
08327_Tuttlingen,-3.7254272,LFD,year,days_with_air_temperature_below_threshold,days,7
08335_Konstanz,-2.71701,LFD,year,days_with_air_temperature_below_threshold,days,7
08336_Lörrach,-2.8486843,LFD,year,days_with_air_temperature_below_threshold,days,7
08337_Waldshut,-3.3914092,LFD,year,days_with_air_temperature_below_threshold,days,7
08415_Reutlingen,-3.3282623,LFD,year,days_with_air_temperature_below_threshold,days,7
08416_Tübingen,-2.758056,LFD,year,days_with_air_temperature_below_threshold,days,7
08417_Zollernalbkreis,-3.488225,LFD,year,days_with_air_temperature_below_threshold,days,7
08421_Ulm,-3.1933348,LFD,year,days_with_air_temperature_below_threshold,days,7
08425_Alb-Donau-Kreis,-3.327553,LFD,year,days_with_air_temperature_below_threshold,days,7
08426_Biberach,-3.395112,LFD,year,days_with_air_temperature_below_threshold,days,7
08435_Bodenseekreis,-2.322145,LFD,year,days_with_air_temperature_below_threshold,days,7
08436_Ravensburg,-3.401853,LFD,year,days_with_air_temperature_below_threshold,days,7
08437_Sigmaringen,-3.5745592,LFD,year,days_with_air_temperature_below_threshold,days,7
09161_Ingolstadt,-2.7481625,LFD,year,days_with_air_temperature_below_threshold,days,7
09162_München,-2.5526643,LFD,year,days_with_air_temperature_below_threshold,days,7
09163_Rosenheim,-3.2529428,LFD,year,days_with_air_temperature_below_threshold,days,7
09171_Altötting,-2.8195333,LFD,year,days_with_air_temperature_below_threshold,days,7
09172_Berchtesgadener Land,-5.422314,LFD,year,days_with_air_temperature_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,-4.7224574,LFD,year,days_with_air_temperature_below_threshold,days,7
09174_Dachau,-2.836618,LFD,year,days_with_air_temperature_below_threshold,days,7
09175_Ebersberg,-3.060318,LFD,year,days_with_air_temperature_below_threshold,days,7
09176_Eichstätt,-2.9395163,LFD,year,days_with_air_temperature_below_threshold,days,7
09177_Erding,-2.9213383,LFD,year,days_with_air_temperature_below_threshold,days,7
09178_Freising,-2.773682,LFD,year,days_with_air_temperature_below_threshold,days,7
09179_Fürstenfeldbruck,-2.887968,LFD,year,days_with_air_temperature_below_threshold,days,7
09180_Garmisch-Partenkirchen,-6.1135273,LFD,year,days_with_air_temperature_below_threshold,days,7
09181_Landsberg am Lech,-3.2907505,LFD,year,days_with_air_temperature_below_threshold,days,7
09182_Miesbach,-4.705226,LFD,year,days_with_air_temperature_below_threshold,days,7
09183_Mühldorf a. Inn,-2.864791,LFD,year,days_with_air_temperature_below_threshold,days,7
09184_München,-3.0255764,LFD,year,days_with_air_temperature_below_threshold,days,7
09185_Neuburg-Schrobenhausen,-2.8478937,LFD,year,days_with_air_temperature_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,-2.7618215,LFD,year,days_with_air_temperature_below_threshold,days,7
09187_Rosenheim,-3.5969582,LFD,year,days_with_air_temperature_below_threshold,days,7
09188_Starnberg,-3.1020617,LFD,year,days_with_air_temperature_below_threshold,days,7
09189_Traunstein,-3.6551104,LFD,year,days_with_air_temperature_below_threshold,days,7
