region,LFD_year_2C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
06432_Darmstadt-Dieburg,-1.566548228263855,LFD,year,days_with_air_temperature_below_threshold,days,7
06433_Groß-Gerau,-1.1541838645935059,LFD,year,days_with_air_temperature_below_threshold,days,7
06434_Hochtaunuskreis,-2.1163811683654785,LFD,year,days_with_air_temperature_below_threshold,days,7
06435_Main-Kinzig-Kreis,-2.2077531814575195,LFD,year,days_with_air_temperature_below_threshold,days,7
06436_Main-Taunus-Kreis,-1.3086612224578857,LFD,year,days_with_air_temperature_below_threshold,days,7
06437_Odenwaldkreis,-2.1772091388702393,LFD,year,days_with_air_temperature_below_threshold,days,7
06438_Offenbach,-1.3643982410430908,LFD,year,days_with_air_temperature_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,-2.184528112411499,LFD,year,days_with_air_temperature_below_threshold,days,7
06440_Wetteraukreis,-1.7782503366470337,LFD,year,days_with_air_temperature_below_threshold,days,7
06531_Gießen,-2.2057230472564697,LFD,year,days_with_air_temperature_below_threshold,days,7
06532_Lahn-Dill-Kreis,-2.675528049468994,LFD,year,days_with_air_temperature_below_threshold,days,7
06533_Limburg-Weilburg,-2.2914464473724365,LFD,year,days_with_air_temperature_below_threshold,days,7
06534_Marburg-Biedenkopf,-2.6590046882629395,LFD,year,days_with_air_temperature_below_threshold,days,7
06535_Vogelsbergkreis,-2.8081202507019043,LFD,year,days_with_air_temperature_below_threshold,days,7
06611_Kassel,-3.0211873054504395,LFD,year,days_with_air_temperature_below_threshold,days,7
06631_Fulda,-3.1896533966064453,LFD,year,days_with_air_temperature_below_threshold,days,7
06632_Hersfeld-Rotenburg,-3.0148346424102783,LFD,year,days_with_air_temperature_below_threshold,days,7
06633_Kassel,-3.1357579231262207,LFD,year,days_with_air_temperature_below_threshold,days,7
06634_Schwalm-Eder-Kreis,-3.033360004425049,LFD,year,days_with_air_temperature_below_threshold,days,7
06635_Waldeck-Frankenberg,-3.3337020874023438,LFD,year,days_with_air_temperature_below_threshold,days,7
