region,LFD_year_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
03351_Celle,-15.966253280639648,LFD,year,days_with_air_temperature_below_threshold,days,7
03352_Cuxhaven,-15.116573333740234,LFD,year,days_with_air_temperature_below_threshold,days,7
03353_Harburg,-16.671098709106445,LFD,year,days_with_air_temperature_below_threshold,days,7
03354_Lüchow-Dannenberg,-17.309118270874023,LFD,year,days_with_air_temperature_below_threshold,days,7
03355_Lüneburg,-16.89651107788086,LFD,year,days_with_air_temperature_below_threshold,days,7
03356_Osterholz,-16.80291748046875,LFD,year,days_with_air_temperature_below_threshold,days,7
03357_Rotenburg (Wümme),-17.275714874267578,LFD,year,days_with_air_temperature_below_threshold,days,7
03358_Heidekreis,-16.245080947875977,LFD,year,days_with_air_temperature_below_threshold,days,7
03359_Stade,-17.52105712890625,LFD,year,days_with_air_temperature_below_threshold,days,7
03360_Uelzen,-16.264511108398438,LFD,year,days_with_air_temperature_below_threshold,days,7
03361_Verden,-17.44524574279785,LFD,year,days_with_air_temperature_below_threshold,days,7
03401_Delmenhorst,-16.632747650146484,LFD,year,days_with_air_temperature_below_threshold,days,7
03402_Emden,-11.072147369384766,LFD,year,days_with_air_temperature_below_threshold,days,7
03403_Oldenburg (Oldb),-16.671607971191406,LFD,year,days_with_air_temperature_below_threshold,days,7
03404_Osnabrück,-15.514291763305664,LFD,year,days_with_air_temperature_below_threshold,days,7
03405_Wilhelmshaven,-10.130227088928223,LFD,year,days_with_air_temperature_below_threshold,days,7
03451_Ammerland,-16.707372665405273,LFD,year,days_with_air_temperature_below_threshold,days,7
03452_Aurich,-13.669912338256836,LFD,year,days_with_air_temperature_below_threshold,days,7
03453_Cloppenburg,-16.115726470947266,LFD,year,days_with_air_temperature_below_threshold,days,7
03454_Emsland,-15.884621620178223,LFD,year,days_with_air_temperature_below_threshold,days,7
03455_Friesland,-15.692604064941406,LFD,year,days_with_air_temperature_below_threshold,days,7
03456_Grafschaft Bentheim,-15.263822555541992,LFD,year,days_with_air_temperature_below_threshold,days,7
03457_Leer,-16.19034767150879,LFD,year,days_with_air_temperature_below_threshold,days,7
03458_Oldenburg,-16.456857681274414,LFD,year,days_with_air_temperature_below_threshold,days,7
03459_Osnabrück,-15.68071174621582,LFD,year,days_with_air_temperature_below_threshold,days,7
03460_Vechta,-15.898926734924316,LFD,year,days_with_air_temperature_below_threshold,days,7
03461_Wesermarsch,-15.214149475097656,LFD,year,days_with_air_temperature_below_threshold,days,7
03462_Wittmund,-14.472285270690918,LFD,year,days_with_air_temperature_below_threshold,days,7
04011_Bremen,-14.361186027526855,LFD,year,days_with_air_temperature_below_threshold,days,7
04012_Bremerhaven,-14.428668975830078,LFD,year,days_with_air_temperature_below_threshold,days,7
05111_Düsseldorf,-8.790992736816406,LFD,year,days_with_air_temperature_below_threshold,days,7
05112_Duisburg,-8.345378875732422,LFD,year,days_with_air_temperature_below_threshold,days,7
05113_Essen,-9.314197540283203,LFD,year,days_with_air_temperature_below_threshold,days,7
05114_Krefeld,-10.058323860168457,LFD,year,days_with_air_temperature_below_threshold,days,7
05116_Mönchengladbach,-12.939986228942871,LFD,year,days_with_air_temperature_below_threshold,days,7
05117_Mülheim an der Ruhr,-9.741666793823242,LFD,year,days_with_air_temperature_below_threshold,days,7
05119_Oberhausen,-8.560768127441406,LFD,year,days_with_air_temperature_below_threshold,days,7
05120_Remscheid,-14.128915786743164,LFD,year,days_with_air_temperature_below_threshold,days,7
05122_Solingen,-11.59650993347168,LFD,year,days_with_air_temperature_below_threshold,days,7
05124_Wuppertal,-13.449634552001953,LFD,year,days_with_air_temperature_below_threshold,days,7
05154_Kleve,-14.621809005737305,LFD,year,days_with_air_temperature_below_threshold,days,7
05158_Mettmann,-10.519746780395508,LFD,year,days_with_air_temperature_below_threshold,days,7
05162_Rhein-Kreis Neuss,-9.59814453125,LFD,year,days_with_air_temperature_below_threshold,days,7
05166_Viersen,-12.656765937805176,LFD,year,days_with_air_temperature_below_threshold,days,7
05170_Wesel,-13.457855224609375,LFD,year,days_with_air_temperature_below_threshold,days,7
05314_Bonn,-10.847003936767578,LFD,year,days_with_air_temperature_below_threshold,days,7
05315_Köln,-9.233879089355469,LFD,year,days_with_air_temperature_below_threshold,days,7
05316_Leverkusen,-8.62830924987793,LFD,year,days_with_air_temperature_below_threshold,days,7
05334_Städteregion Aachen,-14.290279388427734,LFD,year,days_with_air_temperature_below_threshold,days,7
05358_Düren,-13.248563766479492,LFD,year,days_with_air_temperature_below_threshold,days,7
05362_Rhein-Erft-Kreis,-9.98361587524414,LFD,year,days_with_air_temperature_below_threshold,days,7
05366_Euskirchen,-15.482856750488281,LFD,year,days_with_air_temperature_below_threshold,days,7
05370_Heinsberg,-13.132596969604492,LFD,year,days_with_air_temperature_below_threshold,days,7
05374_Oberbergischer Kreis,-15.378522872924805,LFD,year,days_with_air_temperature_below_threshold,days,7
05378_Rheinisch-Bergischer Kreis,-12.404999732971191,LFD,year,days_with_air_temperature_below_threshold,days,7
05382_Rhein-Sieg-Kreis,-11.612565994262695,LFD,year,days_with_air_temperature_below_threshold,days,7
05512_Bottrop,-9.221357345581055,LFD,year,days_with_air_temperature_below_threshold,days,7
05513_Gelsenkirchen,-8.824905395507812,LFD,year,days_with_air_temperature_below_threshold,days,7
05515_Münster,-14.942201614379883,LFD,year,days_with_air_temperature_below_threshold,days,7
05554_Borken,-14.173280715942383,LFD,year,days_with_air_temperature_below_threshold,days,7
05558_Coesfeld,-13.927513122558594,LFD,year,days_with_air_temperature_below_threshold,days,7
05562_Recklinghausen,-10.162912368774414,LFD,year,days_with_air_temperature_below_threshold,days,7
05566_Steinfurt,-15.463763236999512,LFD,year,days_with_air_temperature_below_threshold,days,7
05570_Warendorf,-14.951641082763672,LFD,year,days_with_air_temperature_below_threshold,days,7
05711_Bielefeld,-12.821990966796875,LFD,year,days_with_air_temperature_below_threshold,days,7
05754_Gütersloh,-15.149703979492188,LFD,year,days_with_air_temperature_below_threshold,days,7
05758_Herford,-15.572600364685059,LFD,year,days_with_air_temperature_below_threshold,days,7
05762_Höxter,-17.56032943725586,LFD,year,days_with_air_temperature_below_threshold,days,7
05766_Lippe,-15.798908233642578,LFD,year,days_with_air_temperature_below_threshold,days,7
05770_Minden-Lübbecke,-16.017322540283203,LFD,year,days_with_air_temperature_below_threshold,days,7
05774_Paderborn,-15.024313926696777,LFD,year,days_with_air_temperature_below_threshold,days,7
05911_Bochum,-9.171117782592773,LFD,year,days_with_air_temperature_below_threshold,days,7
05913_Dortmund,-9.355207443237305,LFD,year,days_with_air_temperature_below_threshold,days,7
05914_Hagen,-13.602546691894531,LFD,year,days_with_air_temperature_below_threshold,days,7
05915_Hamm,-13.805788040161133,LFD,year,days_with_air_temperature_below_threshold,days,7
05916_Herne,-8.547049522399902,LFD,year,days_with_air_temperature_below_threshold,days,7
05954_Ennepe-Ruhr-Kreis,-13.295429229736328,LFD,year,days_with_air_temperature_below_threshold,days,7
05958_Hochsauerlandkreis,-16.355960845947266,LFD,year,days_with_air_temperature_below_threshold,days,7
05962_Märkischer Kreis,-15.51674747467041,LFD,year,days_with_air_temperature_below_threshold,days,7
05966_Olpe,-16.100849151611328,LFD,year,days_with_air_temperature_below_threshold,days,7
05970_Siegen-Wittgenstein,-16.19898796081543,LFD,year,days_with_air_temperature_below_threshold,days,7
05974_Soest,-14.406494140625,LFD,year,days_with_air_temperature_below_threshold,days,7
05978_Unna,-10.541963577270508,LFD,year,days_with_air_temperature_below_threshold,days,7
06411_Darmstadt,-11.16598129272461,LFD,year,days_with_air_temperature_below_threshold,days,7
06412_Frankfurt am Main,-10.432126998901367,LFD,year,days_with_air_temperature_below_threshold,days,7
06413_Offenbach am Main,-10.239283561706543,LFD,year,days_with_air_temperature_below_threshold,days,7
06414_Wiesbaden,-11.370767593383789,LFD,year,days_with_air_temperature_below_threshold,days,7
06431_Bergstraße,-11.235380172729492,LFD,year,days_with_air_temperature_below_threshold,days,7
06432_Darmstadt-Dieburg,-11.494823455810547,LFD,year,days_with_air_temperature_below_threshold,days,7
06433_Groß-Gerau,-10.384950637817383,LFD,year,days_with_air_temperature_below_threshold,days,7
06434_Hochtaunuskreis,-13.478621482849121,LFD,year,days_with_air_temperature_below_threshold,days,7
06435_Main-Kinzig-Kreis,-13.512168884277344,LFD,year,days_with_air_temperature_below_threshold,days,7
06436_Main-Taunus-Kreis,-11.628602981567383,LFD,year,days_with_air_temperature_below_threshold,days,7
06437_Odenwaldkreis,-13.357746124267578,LFD,year,days_with_air_temperature_below_threshold,days,7
06438_Offenbach,-10.98704719543457,LFD,year,days_with_air_temperature_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,-14.408513069152832,LFD,year,days_with_air_temperature_below_threshold,days,7
06440_Wetteraukreis,-14.51408863067627,LFD,year,days_with_air_temperature_below_threshold,days,7
06531_Gießen,-15.875357627868652,LFD,year,days_with_air_temperature_below_threshold,days,7
06532_Lahn-Dill-Kreis,-16.157756805419922,LFD,year,days_with_air_temperature_below_threshold,days,7
06533_Limburg-Weilburg,-15.336678504943848,LFD,year,days_with_air_temperature_below_threshold,days,7
06534_Marburg-Biedenkopf,-17.233970642089844,LFD,year,days_with_air_temperature_below_threshold,days,7
06535_Vogelsbergkreis,-15.45948314666748,LFD,year,days_with_air_temperature_below_threshold,days,7
06611_Kassel,-17.451797485351562,LFD,year,days_with_air_temperature_below_threshold,days,7
06631_Fulda,-15.324222564697266,LFD,year,days_with_air_temperature_below_threshold,days,7
06632_Hersfeld-Rotenburg,-16.512184143066406,LFD,year,days_with_air_temperature_below_threshold,days,7
06633_Kassel,-17.367835998535156,LFD,year,days_with_air_temperature_below_threshold,days,7
06634_Schwalm-Eder-Kreis,-16.701339721679688,LFD,year,days_with_air_temperature_below_threshold,days,7
06635_Waldeck-Frankenberg,-17.397584915161133,LFD,year,days_with_air_temperature_below_threshold,days,7
06636_Werra-Meißner-Kreis,-17.40560531616211,LFD,year,days_with_air_temperature_below_threshold,days,7
07111_Koblenz,-14.811717987060547,LFD,year,days_with_air_temperature_below_threshold,days,7
07131_Ahrweiler,-15.161812782287598,LFD,year,days_with_air_temperature_below_threshold,days,7
07132_Altenkirchen (Westerwald),-15.5853271484375,LFD,year,days_with_air_temperature_below_threshold,days,7
07133_Bad Kreuznach,-15.496726989746094,LFD,year,days_with_air_temperature_below_threshold,days,7
07134_Birkenfeld,-15.407880783081055,LFD,year,days_with_air_temperature_below_threshold,days,7
07135_Cochem-Zell,-15.616909980773926,LFD,year,days_with_air_temperature_below_threshold,days,7
07137_Mayen-Koblenz,-14.702850341796875,LFD,year,days_with_air_temperature_below_threshold,days,7
07138_Neuwied,-13.793643951416016,LFD,year,days_with_air_temperature_below_threshold,days,7
07140_Rhein-Hunsrück-Kreis,-15.375486373901367,LFD,year,days_with_air_temperature_below_threshold,days,7
07141_Rhein-Lahn-Kreis,-15.02575397491455,LFD,year,days_with_air_temperature_below_threshold,days,7
07143_Westerwaldkreis,-15.615457534790039,LFD,year,days_with_air_temperature_below_threshold,days,7
07211_Trier,-14.587309837341309,LFD,year,days_with_air_temperature_below_threshold,days,7
07231_Bernkastel-Wittlich,-14.972940444946289,LFD,year,days_with_air_temperature_below_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,-16.9259033203125,LFD,year,days_with_air_temperature_below_threshold,days,7
07233_Vulkaneifel,-16.738080978393555,LFD,year,days_with_air_temperature_below_threshold,days,7
07235_Trier-Saarburg,-14.904271125793457,LFD,year,days_with_air_temperature_below_threshold,days,7
07311_Frankenthal (Pfalz),-9.775092124938965,LFD,year,days_with_air_temperature_below_threshold,days,7
07312_Kaiserslautern,-14.340211868286133,LFD,year,days_with_air_temperature_below_threshold,days,7
07313_Landau in der Pfalz,-12.749422073364258,LFD,year,days_with_air_temperature_below_threshold,days,7
07314_Ludwigshafen am Rhein,-9.542866706848145,LFD,year,days_with_air_temperature_below_threshold,days,7
07315_Mainz,-11.585294723510742,LFD,year,days_with_air_temperature_below_threshold,days,7
07316_Neustadt an der Weinstraße,-11.961209297180176,LFD,year,days_with_air_temperature_below_threshold,days,7
07317_Pirmasens,-14.788134574890137,LFD,year,days_with_air_temperature_below_threshold,days,7
07318_Speyer,-9.737689971923828,LFD,year,days_with_air_temperature_below_threshold,days,7
07319_Worms,-10.879780769348145,LFD,year,days_with_air_temperature_below_threshold,days,7
07320_Zweibrücken,-15.041145324707031,LFD,year,days_with_air_temperature_below_threshold,days,7
07331_Alzey-Worms,-12.552438735961914,LFD,year,days_with_air_temperature_below_threshold,days,7
07332_Bad Dürkheim,-12.132736206054688,LFD,year,days_with_air_temperature_below_threshold,days,7
07333_Donnersbergkreis,-14.500533103942871,LFD,year,days_with_air_temperature_below_threshold,days,7
07334_Germersheim,-9.92817211151123,LFD,year,days_with_air_temperature_below_threshold,days,7
07335_Kaiserslautern,-14.732043266296387,LFD,year,days_with_air_temperature_below_threshold,days,7
07336_Kusel,-15.48669719696045,LFD,year,days_with_air_temperature_below_threshold,days,7
07337_Südliche Weinstraße,-12.385683059692383,LFD,year,days_with_air_temperature_below_threshold,days,7
07338_Rhein-Pfalz-Kreis,-9.57552719116211,LFD,year,days_with_air_temperature_below_threshold,days,7
07339_Mainz-Bingen,-13.477856636047363,LFD,year,days_with_air_temperature_below_threshold,days,7
07340_Südwestpfalz,-14.34878158569336,LFD,year,days_with_air_temperature_below_threshold,days,7
08111_Stuttgart,-12.549102783203125,LFD,year,days_with_air_temperature_below_threshold,days,7
08115_Böblingen,-14.781332969665527,LFD,year,days_with_air_temperature_below_threshold,days,7
08116_Esslingen,-13.218221664428711,LFD,year,days_with_air_temperature_below_threshold,days,7
08117_Göppingen,-15.044727325439453,LFD,year,days_with_air_temperature_below_threshold,days,7
08118_Ludwigsburg,-13.130086898803711,LFD,year,days_with_air_temperature_below_threshold,days,7
08119_Rems-Murr-Kreis,-13.510885238647461,LFD,year,days_with_air_temperature_below_threshold,days,7
08121_Heilbronn,-11.412922859191895,LFD,year,days_with_air_temperature_below_threshold,days,7
08125_Heilbronn,-13.433515548706055,LFD,year,days_with_air_temperature_below_threshold,days,7
08126_Hohenlohekreis,-15.043269157409668,LFD,year,days_with_air_temperature_below_threshold,days,7
08127_Schwäbisch Hall,-15.67363166809082,LFD,year,days_with_air_temperature_below_threshold,days,7
08128_Main-Tauber-Kreis,-15.481648445129395,LFD,year,days_with_air_temperature_below_threshold,days,7
08135_Heidenheim,-17.136598587036133,LFD,year,days_with_air_temperature_below_threshold,days,7
08136_Ostalbkreis,-15.752113342285156,LFD,year,days_with_air_temperature_below_threshold,days,7
08211_Baden-Baden,-11.155342102050781,LFD,year,days_with_air_temperature_below_threshold,days,7
08212_Karlsruhe,-9.897367477416992,LFD,year,days_with_air_temperature_below_threshold,days,7
08215_Karlsruhe,-9.723639488220215,LFD,year,days_with_air_temperature_below_threshold,days,7
08216_Rastatt,-11.327528953552246,LFD,year,days_with_air_temperature_below_threshold,days,7
08221_Heidelberg,-10.792119026184082,LFD,year,days_with_air_temperature_below_threshold,days,7
08222_Mannheim,-9.102888107299805,LFD,year,days_with_air_temperature_below_threshold,days,7
08225_Neckar-Odenwald-Kreis,-14.964975357055664,LFD,year,days_with_air_temperature_below_threshold,days,7
08226_Rhein-Neckar-Kreis,-10.716878890991211,LFD,year,days_with_air_temperature_below_threshold,days,7
08231_Pforzheim,-12.874814987182617,LFD,year,days_with_air_temperature_below_threshold,days,7
08235_Calw,-14.57791805267334,LFD,year,days_with_air_temperature_below_threshold,days,7
08236_Enzkreis,-12.679697036743164,LFD,year,days_with_air_temperature_below_threshold,days,7
08237_Freudenstadt,-15.017003059387207,LFD,year,days_with_air_temperature_below_threshold,days,7
08311_Freiburg im Breisgau,-13.224732398986816,LFD,year,days_with_air_temperature_below_threshold,days,7
08315_Breisgau-Hochschwarzwald,-16.7342529296875,LFD,year,days_with_air_temperature_below_threshold,days,7
08316_Emmendingen,-13.623312950134277,LFD,year,days_with_air_temperature_below_threshold,days,7
08317_Ortenaukreis,-12.159513473510742,LFD,year,days_with_air_temperature_below_threshold,days,7
08325_Rottweil,-15.846397399902344,LFD,year,days_with_air_temperature_below_threshold,days,7
08326_Schwarzwald-Baar-Kreis,-17.129959106445312,LFD,year,days_with_air_temperature_below_threshold,days,7
08327_Tuttlingen,-17.687694549560547,LFD,year,days_with_air_temperature_below_threshold,days,7
08335_Konstanz,-17.100244522094727,LFD,year,days_with_air_temperature_below_threshold,days,7
08336_Lörrach,-17.172924041748047,LFD,year,days_with_air_temperature_below_threshold,days,7
08337_Waldshut,-17.769306182861328,LFD,year,days_with_air_temperature_below_threshold,days,7
08415_Reutlingen,-15.63206958770752,LFD,year,days_with_air_temperature_below_threshold,days,7
08416_Tübingen,-15.108915328979492,LFD,year,days_with_air_temperature_below_threshold,days,7
08417_Zollernalbkreis,-15.586370468139648,LFD,year,days_with_air_temperature_below_threshold,days,7
08421_Ulm,-17.55185317993164,LFD,year,days_with_air_temperature_below_threshold,days,7
08425_Alb-Donau-Kreis,-17.040468215942383,LFD,year,days_with_air_temperature_below_threshold,days,7
08426_Biberach,-17.617855072021484,LFD,year,days_with_air_temperature_below_threshold,days,7
08435_Bodenseekreis,-18.495166778564453,LFD,year,days_with_air_temperature_below_threshold,days,7
08436_Ravensburg,-21.172077178955078,LFD,year,days_with_air_temperature_below_threshold,days,7
08437_Sigmaringen,-17.479598999023438,LFD,year,days_with_air_temperature_below_threshold,days,7
09161_Ingolstadt,-17.231388092041016,LFD,year,days_with_air_temperature_below_threshold,days,7
09162_München,-13.90791130065918,LFD,year,days_with_air_temperature_below_threshold,days,7
09163_Rosenheim,-20.119808197021484,LFD,year,days_with_air_temperature_below_threshold,days,7
09171_Altötting,-17.192163467407227,LFD,year,days_with_air_temperature_below_threshold,days,7
09172_Berchtesgadener Land,-23.105615615844727,LFD,year,days_with_air_temperature_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,-23.16716957092285,LFD,year,days_with_air_temperature_below_threshold,days,7
09174_Dachau,-16.56924057006836,LFD,year,days_with_air_temperature_below_threshold,days,7
09175_Ebersberg,-15.932124137878418,LFD,year,days_with_air_temperature_below_threshold,days,7
09176_Eichstätt,-17.033845901489258,LFD,year,days_with_air_temperature_below_threshold,days,7
09177_Erding,-16.233774185180664,LFD,year,days_with_air_temperature_below_threshold,days,7
09178_Freising,-16.599472045898438,LFD,year,days_with_air_temperature_below_threshold,days,7
09179_Fürstenfeldbruck,-16.947704315185547,LFD,year,days_with_air_temperature_below_threshold,days,7
09180_Garmisch-Partenkirchen,-26.154376983642578,LFD,year,days_with_air_temperature_below_threshold,days,7
09181_Landsberg am Lech,-17.73324203491211,LFD,year,days_with_air_temperature_below_threshold,days,7
09182_Miesbach,-22.711355209350586,LFD,year,days_with_air_temperature_below_threshold,days,7
09183_Mühldorf a. Inn,-17.132049560546875,LFD,year,days_with_air_temperature_below_threshold,days,7
09184_München,-15.474464416503906,LFD,year,days_with_air_temperature_below_threshold,days,7
09185_Neuburg-Schrobenhausen,-16.98244857788086,LFD,year,days_with_air_temperature_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,-16.495807647705078,LFD,year,days_with_air_temperature_below_threshold,days,7
09187_Rosenheim,-19.796852111816406,LFD,year,days_with_air_temperature_below_threshold,days,7
09188_Starnberg,-17.4317684173584,LFD,year,days_with_air_temperature_below_threshold,days,7
09189_Traunstein,-19.22941780090332,LFD,year,days_with_air_temperature_below_threshold,days,7
09190_Weilheim-Schongau,-21.41962432861328,LFD,year,days_with_air_temperature_below_threshold,days,7
09261_Landshut,-17.91067123413086,LFD,year,days_with_air_temperature_below_threshold,days,7
09262_Passau,-16.786827087402344,LFD,year,days_with_air_temperature_below_threshold,days,7
09263_Straubing,-16.6903076171875,LFD,year,days_with_air_temperature_below_threshold,days,7
09271_Deggendorf,-17.125356674194336,LFD,year,days_with_air_temperature_below_threshold,days,7
09272_Freyung-Grafenau,-20.64371681213379,LFD,year,days_with_air_temperature_below_threshold,days,7
09273_Kelheim,-17.225608825683594,LFD,year,days_with_air_temperature_below_threshold,days,7
09274_Landshut,-17.602142333984375,LFD,year,days_with_air_temperature_below_threshold,days,7
09275_Passau,-16.729114532470703,LFD,year,days_with_air_temperature_below_threshold,days,7
09276_Regen,-21.650142669677734,LFD,year,days_with_air_temperature_below_threshold,days,7
09277_Rottal-Inn,-17.601539611816406,LFD,year,days_with_air_temperature_below_threshold,days,7
09278_Straubing-Bogen,-16.526893615722656,LFD,year,days_with_air_temperature_below_threshold,days,7
09279_Dingolfing-Landau,-17.5649356842041,LFD,year,days_with_air_temperature_below_threshold,days,7
09361_Amberg,-16.33780288696289,LFD,year,days_with_air_temperature_below_threshold,days,7
09362_Regensburg,-15.618963241577148,LFD,year,days_with_air_temperature_below_threshold,days,7
09363_Weiden i.d. OPf.,-16.295137405395508,LFD,year,days_with_air_temperature_below_threshold,days,7
09371_Amberg-Sulzbach,-16.246028900146484,LFD,year,days_with_air_temperature_below_threshold,days,7
09372_Cham,-17.586292266845703,LFD,year,days_with_air_temperature_below_threshold,days,7
09373_Neumarkt i.d. OPf.,-16.18389892578125,LFD,year,days_with_air_temperature_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,-15.998345375061035,LFD,year,days_with_air_temperature_below_threshold,days,7
09375_Regensburg,-16.673355102539062,LFD,year,days_with_air_temperature_below_threshold,days,7
09376_Schwandorf,-16.075984954833984,LFD,year,days_with_air_temperature_below_threshold,days,7
09377_Tirschenreuth,-16.68994140625,LFD,year,days_with_air_temperature_below_threshold,days,7
09461_Bamberg,-16.55950927734375,LFD,year,days_with_air_temperature_below_threshold,days,7
09462_Bayreuth,-15.573012351989746,LFD,year,days_with_air_temperature_below_threshold,days,7
09463_Coburg,-16.5020809173584,LFD,year,days_with_air_temperature_below_threshold,days,7
09464_Hof,-15.979150772094727,LFD,year,days_with_air_temperature_below_threshold,days,7
09471_Bamberg,-16.105205535888672,LFD,year,days_with_air_temperature_below_threshold,days,7
09472_Bayreuth,-15.606732368469238,LFD,year,days_with_air_temperature_below_threshold,days,7
09473_Coburg,-16.239744186401367,LFD,year,days_with_air_temperature_below_threshold,days,7
09474_Forchheim,-15.367972373962402,LFD,year,days_with_air_temperature_below_threshold,days,7
09475_Hof,-16.22248649597168,LFD,year,days_with_air_temperature_below_threshold,days,7
09476_Kronach,-16.57464027404785,LFD,year,days_with_air_temperature_below_threshold,days,7
09477_Kulmbach,-15.485705375671387,LFD,year,days_with_air_temperature_below_threshold,days,7
09478_Lichtenfels,-16.02970314025879,LFD,year,days_with_air_temperature_below_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,-17.32841682434082,LFD,year,days_with_air_temperature_below_threshold,days,7
09561_Ansbach,-16.209484100341797,LFD,year,days_with_air_temperature_below_threshold,days,7
09562_Erlangen,-15.374260902404785,LFD,year,days_with_air_temperature_below_threshold,days,7
09563_Fürth,-13.950462341308594,LFD,year,days_with_air_temperature_below_threshold,days,7
09564_Nürnberg,-11.941171646118164,LFD,year,days_with_air_temperature_below_threshold,days,7
09565_Schwabach,-13.899704933166504,LFD,year,days_with_air_temperature_below_threshold,days,7
09571_Ansbach,-16.2181396484375,LFD,year,days_with_air_temperature_below_threshold,days,7
09572_Erlangen-Höchstadt,-15.81812858581543,LFD,year,days_with_air_temperature_below_threshold,days,7
09573_Fürth,-15.61522102355957,LFD,year,days_with_air_temperature_below_threshold,days,7
09574_Nürnberger Land,-15.377556800842285,LFD,year,days_with_air_temperature_below_threshold,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,-15.786489486694336,LFD,year,days_with_air_temperature_below_threshold,days,7
09576_Roth,-15.799257278442383,LFD,year,days_with_air_temperature_below_threshold,days,7
09577_Weißenburg-Gunzenhausen,-16.520854949951172,LFD,year,days_with_air_temperature_below_threshold,days,7
09661_Aschaffenburg,-12.151224136352539,LFD,year,days_with_air_temperature_below_threshold,days,7
09662_Schweinfurt,-17.001317977905273,LFD,year,days_with_air_temperature_below_threshold,days,7
09663_Würzburg,-16.711097717285156,LFD,year,days_with_air_temperature_below_threshold,days,7
09671_Aschaffenburg,-12.878409385681152,LFD,year,days_with_air_temperature_below_threshold,days,7
09672_Bad Kissingen,-16.100311279296875,LFD,year,days_with_air_temperature_below_threshold,days,7
09673_Rhön-Grabfeld,-16.816896438598633,LFD,year,days_with_air_temperature_below_threshold,days,7
09674_Haßberge,-16.592365264892578,LFD,year,days_with_air_temperature_below_threshold,days,7
09675_Kitzingen,-15.933067321777344,LFD,year,days_with_air_temperature_below_threshold,days,7
