region,LFD_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
06438_Offenbach,-1.0067517757415771,LFD,year,days_with_air_temperature_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,-1.553114891052246,LFD,year,days_with_air_temperature_below_threshold,days,7
06440_Wetteraukreis,-1.5377517938613892,LFD,year,days_with_air_temperature_below_threshold,days,7
06531_Gießen,-1.7573447227478027,LFD,year,days_with_air_temperature_below_threshold,days,7
06532_Lahn-Dill-Kreis,-2.1551198959350586,LFD,year,days_with_air_temperature_below_threshold,days,7
06533_Limburg-Weilburg,-1.7636218070983887,LFD,year,days_with_air_temperature_below_threshold,days,7
06534_Marburg-Biedenkopf,-2.3455514907836914,LFD,year,days_with_air_temperature_below_threshold,days,7
06535_Vogelsbergkreis,-2.2130861282348633,LFD,year,days_with_air_temperature_below_threshold,days,7
06611_Kassel,-2.270230770111084,LFD,year,days_with_air_temperature_below_threshold,days,7
06631_Fulda,-2.640172004699707,LFD,year,days_with_air_temperature_below_threshold,days,7
06632_Hersfeld-Rotenburg,-2.412689208984375,LFD,year,days_with_air_temperature_below_threshold,days,7
06633_Kassel,-2.304443359375,LFD,year,days_with_air_temperature_below_threshold,days,7
06634_Schwalm-Eder-Kreis,-2.420318126678467,LFD,year,days_with_air_temperature_below_threshold,days,7
06635_Waldeck-Frankenberg,-2.874760627746582,LFD,year,days_with_air_temperature_below_threshold,days,7
06636_Werra-Meißner-Kreis,-2.5152626037597656,LFD,year,days_with_air_temperature_below_threshold,days,7
07111_Koblenz,-1.4141201972961426,LFD,year,days_with_air_temperature_below_threshold,days,7
07131_Ahrweiler,-1.9778468608856201,LFD,year,days_with_air_temperature_below_threshold,days,7
07132_Altenkirchen (Westerwald),-1.9580819606781006,LFD,year,days_with_air_temperature_below_threshold,days,7
07133_Bad Kreuznach,-1.560760498046875,LFD,year,days_with_air_temperature_below_threshold,days,7
07134_Birkenfeld,-2.007626533508301,LFD,year,days_with_air_temperature_below_threshold,days,7
07135_Cochem-Zell,-1.8506476879119873,LFD,year,days_with_air_temperature_below_threshold,days,7
07137_Mayen-Koblenz,-1.5446577072143555,LFD,year,days_with_air_temperature_below_threshold,days,7
07138_Neuwied,-1.2916264533996582,LFD,year,days_with_air_temperature_below_threshold,days,7
07140_Rhein-Hunsrück-Kreis,-1.8502769470214844,LFD,year,days_with_air_temperature_below_threshold,days,7
07141_Rhein-Lahn-Kreis,-1.8801213502883911,LFD,year,days_with_air_temperature_below_threshold,days,7
07143_Westerwaldkreis,-1.926013469696045,LFD,year,days_with_air_temperature_below_threshold,days,7
07211_Trier,-1.33637535572052,LFD,year,days_with_air_temperature_below_threshold,days,7
07231_Bernkastel-Wittlich,-1.7455873489379883,LFD,year,days_with_air_temperature_below_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,-2.1397898197174072,LFD,year,days_with_air_temperature_below_threshold,days,7
07233_Vulkaneifel,-2.423018455505371,LFD,year,days_with_air_temperature_below_threshold,days,7
07235_Trier-Saarburg,-1.494365930557251,LFD,year,days_with_air_temperature_below_threshold,days,7
07311_Frankenthal (Pfalz),-0.6178005933761597,LFD,year,days_with_air_temperature_below_threshold,days,7
07312_Kaiserslautern,-1.3627963066101074,LFD,year,days_with_air_temperature_below_threshold,days,7
07313_Landau in der Pfalz,-0.9265560507774353,LFD,year,days_with_air_temperature_below_threshold,days,7
07314_Ludwigshafen am Rhein,-0.6506470441818237,LFD,year,days_with_air_temperature_below_threshold,days,7
07315_Mainz,-0.9500468373298645,LFD,year,days_with_air_temperature_below_threshold,days,7
07316_Neustadt an der Weinstraße,-0.9821124076843262,LFD,year,days_with_air_temperature_below_threshold,days,7
07317_Pirmasens,-1.2850162982940674,LFD,year,days_with_air_temperature_below_threshold,days,7
07318_Speyer,-0.6814002990722656,LFD,year,days_with_air_temperature_below_threshold,days,7
07319_Worms,-0.6903539896011353,LFD,year,days_with_air_temperature_below_threshold,days,7
07320_Zweibrücken,-1.0973966121673584,LFD,year,days_with_air_temperature_below_threshold,days,7
07331_Alzey-Worms,-0.8612018823623657,LFD,year,days_with_air_temperature_below_threshold,days,7
07332_Bad Dürkheim,-1.075879693031311,LFD,year,days_with_air_temperature_below_threshold,days,7
07333_Donnersbergkreis,-1.2223138809204102,LFD,year,days_with_air_temperature_below_threshold,days,7
07334_Germersheim,-0.5739846229553223,LFD,year,days_with_air_temperature_below_threshold,days,7
07335_Kaiserslautern,-1.2484822273254395,LFD,year,days_with_air_temperature_below_threshold,days,7
07336_Kusel,-1.3958889245986938,LFD,year,days_with_air_temperature_below_threshold,days,7
07337_Südliche Weinstraße,-0.9209029674530029,LFD,year,days_with_air_temperature_below_threshold,days,7
07338_Rhein-Pfalz-Kreis,-0.6925771832466125,LFD,year,days_with_air_temperature_below_threshold,days,7
07339_Mainz-Bingen,-1.1077947616577148,LFD,year,days_with_air_temperature_below_threshold,days,7
07340_Südwestpfalz,-1.196399450302124,LFD,year,days_with_air_temperature_below_threshold,days,7
08111_Stuttgart,-1.173370122909546,LFD,year,days_with_air_temperature_below_threshold,days,7
08115_Böblingen,-1.5998039245605469,LFD,year,days_with_air_temperature_below_threshold,days,7
08116_Esslingen,-1.5973190069198608,LFD,year,days_with_air_temperature_below_threshold,days,7
08117_Göppingen,-1.9097425937652588,LFD,year,days_with_air_temperature_below_threshold,days,7
08118_Ludwigsburg,-1.163062334060669,LFD,year,days_with_air_temperature_below_threshold,days,7
08119_Rems-Murr-Kreis,-1.3585407733917236,LFD,year,days_with_air_temperature_below_threshold,days,7
08121_Heilbronn,-0.9645143747329712,LFD,year,days_with_air_temperature_below_threshold,days,7
08125_Heilbronn,-1.0929155349731445,LFD,year,days_with_air_temperature_below_threshold,days,7
08126_Hohenlohekreis,-1.4618761539459229,LFD,year,days_with_air_temperature_below_threshold,days,7
08127_Schwäbisch Hall,-1.8335692882537842,LFD,year,days_with_air_temperature_below_threshold,days,7
08128_Main-Tauber-Kreis,-1.6581132411956787,LFD,year,days_with_air_temperature_below_threshold,days,7
08135_Heidenheim,-1.9962482452392578,LFD,year,days_with_air_temperature_below_threshold,days,7
08136_Ostalbkreis,-1.8300464153289795,LFD,year,days_with_air_temperature_below_threshold,days,7
08211_Baden-Baden,-1.5135493278503418,LFD,year,days_with_air_temperature_below_threshold,days,7
08212_Karlsruhe,-0.7082390785217285,LFD,year,days_with_air_temperature_below_threshold,days,7
08215_Karlsruhe,-0.8769112825393677,LFD,year,days_with_air_temperature_below_threshold,days,7
08216_Rastatt,-1.4389128684997559,LFD,year,days_with_air_temperature_below_threshold,days,7
08221_Heidelberg,-0.9265408515930176,LFD,year,days_with_air_temperature_below_threshold,days,7
08222_Mannheim,-0.6955790519714355,LFD,year,days_with_air_temperature_below_threshold,days,7
08225_Neckar-Odenwald-Kreis,-1.534343957901001,LFD,year,days_with_air_temperature_below_threshold,days,7
08226_Rhein-Neckar-Kreis,-0.9698317050933838,LFD,year,days_with_air_temperature_below_threshold,days,7
08231_Pforzheim,-1.4480762481689453,LFD,year,days_with_air_temperature_below_threshold,days,7
08235_Calw,-2.2079763412475586,LFD,year,days_with_air_temperature_below_threshold,days,7
08236_Enzkreis,-1.2887756824493408,LFD,year,days_with_air_temperature_below_threshold,days,7
08237_Freudenstadt,-2.340026378631592,LFD,year,days_with_air_temperature_below_threshold,days,7
08311_Freiburg im Breisgau,-1.232072353363037,LFD,year,days_with_air_temperature_below_threshold,days,7
08315_Breisgau-Hochschwarzwald,-2.0962142944335938,LFD,year,days_with_air_temperature_below_threshold,days,7
08316_Emmendingen,-1.3967633247375488,LFD,year,days_with_air_temperature_below_threshold,days,7
08317_Ortenaukreis,-1.3081228733062744,LFD,year,days_with_air_temperature_below_threshold,days,7
08325_Rottweil,-2.290652275085449,LFD,year,days_with_air_temperature_below_threshold,days,7
08326_Schwarzwald-Baar-Kreis,-2.76456356048584,LFD,year,days_with_air_temperature_below_threshold,days,7
08327_Tuttlingen,-2.6054978370666504,LFD,year,days_with_air_temperature_below_threshold,days,7
08335_Konstanz,-1.6310311555862427,LFD,year,days_with_air_temperature_below_threshold,days,7
08336_Lörrach,-1.6883771419525146,LFD,year,days_with_air_temperature_below_threshold,days,7
08337_Waldshut,-2.18796968460083,LFD,year,days_with_air_temperature_below_threshold,days,7
08415_Reutlingen,-2.26356840133667,LFD,year,days_with_air_temperature_below_threshold,days,7
08416_Tübingen,-1.6707592010498047,LFD,year,days_with_air_temperature_below_threshold,days,7
08417_Zollernalbkreis,-2.409111499786377,LFD,year,days_with_air_temperature_below_threshold,days,7
08421_Ulm,-2.002626895904541,LFD,year,days_with_air_temperature_below_threshold,days,7
08425_Alb-Donau-Kreis,-2.1592469215393066,LFD,year,days_with_air_temperature_below_threshold,days,7
08426_Biberach,-2.0789475440979004,LFD,year,days_with_air_temperature_below_threshold,days,7
08435_Bodenseekreis,-1.112247347831726,LFD,year,days_with_air_temperature_below_threshold,days,7
08436_Ravensburg,-2.0986006259918213,LFD,year,days_with_air_temperature_below_threshold,days,7
08437_Sigmaringen,-2.4853649139404297,LFD,year,days_with_air_temperature_below_threshold,days,7
09161_Ingolstadt,-1.5555024147033691,LFD,year,days_with_air_temperature_below_threshold,days,7
09162_München,-1.475784420967102,LFD,year,days_with_air_temperature_below_threshold,days,7
09163_Rosenheim,-1.8820743560791016,LFD,year,days_with_air_temperature_below_threshold,days,7
09171_Altötting,-1.63627290725708,LFD,year,days_with_air_temperature_below_threshold,days,7
09172_Berchtesgadener Land,-3.9572019577026367,LFD,year,days_with_air_temperature_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,-3.3713340759277344,LFD,year,days_with_air_temperature_below_threshold,days,7
09174_Dachau,-1.6844630241394043,LFD,year,days_with_air_temperature_below_threshold,days,7
09175_Ebersberg,-2.080599308013916,LFD,year,days_with_air_temperature_below_threshold,days,7
09176_Eichstätt,-1.9813618659973145,LFD,year,days_with_air_temperature_below_threshold,days,7
09177_Erding,-1.8395922183990479,LFD,year,days_with_air_temperature_below_threshold,days,7
09178_Freising,-1.7312257289886475,LFD,year,days_with_air_temperature_below_threshold,days,7
09179_Fürstenfeldbruck,-1.5917106866836548,LFD,year,days_with_air_temperature_below_threshold,days,7
09180_Garmisch-Partenkirchen,-4.594038009643555,LFD,year,days_with_air_temperature_below_threshold,days,7
09181_Landsberg am Lech,-2.118467330932617,LFD,year,days_with_air_temperature_below_threshold,days,7
09182_Miesbach,-3.2388062477111816,LFD,year,days_with_air_temperature_below_threshold,days,7
09183_Mühldorf a. Inn,-1.7960491180419922,LFD,year,days_with_air_temperature_below_threshold,days,7
09184_München,-1.8270630836486816,LFD,year,days_with_air_temperature_below_threshold,days,7
09185_Neuburg-Schrobenhausen,-1.6985254287719727,LFD,year,days_with_air_temperature_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,-1.705183506011963,LFD,year,days_with_air_temperature_below_threshold,days,7
09187_Rosenheim,-2.2644805908203125,LFD,year,days_with_air_temperature_below_threshold,days,7
09188_Starnberg,-2.103640556335449,LFD,year,days_with_air_temperature_below_threshold,days,7
09189_Traunstein,-2.3324337005615234,LFD,year,days_with_air_temperature_below_threshold,days,7
09190_Weilheim-Schongau,-2.438182830810547,LFD,year,days_with_air_temperature_below_threshold,days,7
09261_Landshut,-1.6999038457870483,LFD,year,days_with_air_temperature_below_threshold,days,7
09262_Passau,-1.8186347484588623,LFD,year,days_with_air_temperature_below_threshold,days,7
09263_Straubing,-1.6492409706115723,LFD,year,days_with_air_temperature_below_threshold,days,7
09271_Deggendorf,-2.093191623687744,LFD,year,days_with_air_temperature_below_threshold,days,7
09272_Freyung-Grafenau,-3.450039863586426,LFD,year,days_with_air_temperature_below_threshold,days,7
