region,LFD_year_4C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
05954_Ennepe-Ruhr-Kreis,-1.506971001625061,LFD,year,days_with_air_temperature_below_threshold,days,7
05958_Hochsauerlandkreis,-2.6763834953308105,LFD,year,days_with_air_temperature_below_threshold,days,7
05962_Märkischer Kreis,-1.7114250659942627,LFD,year,days_with_air_temperature_below_threshold,days,7
05966_Olpe,-2.1325018405914307,LFD,year,days_with_air_temperature_below_threshold,days,7
05970_Siegen-Wittgenstein,-2.027325391769409,LFD,year,days_with_air_temperature_below_threshold,days,7
05974_Soest,-1.4719066619873047,LFD,year,days_with_air_temperature_below_threshold,days,7
05978_Unna,-0.9656835198402405,LFD,year,days_with_air_temperature_below_threshold,days,7
06411_Darmstadt,-0.5090653896331787,LFD,year,days_with_air_temperature_below_threshold,days,7
06412_Frankfurt am Main,-0.34236034750938416,LFD,year,days_with_air_temperature_below_threshold,days,7
06413_Offenbach am Main,-0.25324440002441406,LFD,year,days_with_air_temperature_below_threshold,days,7
06414_Wiesbaden,-0.14180418848991394,LFD,year,days_with_air_temperature_below_threshold,days,7
06431_Bergstraße,-0.5620179772377014,LFD,year,days_with_air_temperature_below_threshold,days,7
06432_Darmstadt-Dieburg,-0.6225626468658447,LFD,year,days_with_air_temperature_below_threshold,days,7
06433_Groß-Gerau,-0.20960897207260132,LFD,year,days_with_air_temperature_below_threshold,days,7
06434_Hochtaunuskreis,-1.030606985092163,LFD,year,days_with_air_temperature_below_threshold,days,7
06435_Main-Kinzig-Kreis,-1.2159382104873657,LFD,year,days_with_air_temperature_below_threshold,days,7
06436_Main-Taunus-Kreis,-0.186453178524971,LFD,year,days_with_air_temperature_below_threshold,days,7
06437_Odenwaldkreis,-1.3085391521453857,LFD,year,days_with_air_temperature_below_threshold,days,7
06438_Offenbach,-0.34435659646987915,LFD,year,days_with_air_temperature_below_threshold,days,7
06439_Rheingau-Taunus-Kreis,-0.6421046853065491,LFD,year,days_with_air_temperature_below_threshold,days,7
06440_Wetteraukreis,-0.640339195728302,LFD,year,days_with_air_temperature_below_threshold,days,7
06531_Gießen,-0.8228359818458557,LFD,year,days_with_air_temperature_below_threshold,days,7
06532_Lahn-Dill-Kreis,-1.313100814819336,LFD,year,days_with_air_temperature_below_threshold,days,7
06533_Limburg-Weilburg,-1.2512028217315674,LFD,year,days_with_air_temperature_below_threshold,days,7
06534_Marburg-Biedenkopf,-1.2728105783462524,LFD,year,days_with_air_temperature_below_threshold,days,7
06535_Vogelsbergkreis,-1.8030869960784912,LFD,year,days_with_air_temperature_below_threshold,days,7
06611_Kassel,-1.5065686702728271,LFD,year,days_with_air_temperature_below_threshold,days,7
06631_Fulda,-2.1625924110412598,LFD,year,days_with_air_temperature_below_threshold,days,7
06632_Hersfeld-Rotenburg,-1.6958051919937134,LFD,year,days_with_air_temperature_below_threshold,days,7
06633_Kassel,-1.5767172574996948,LFD,year,days_with_air_temperature_below_threshold,days,7
06634_Schwalm-Eder-Kreis,-1.6137737035751343,LFD,year,days_with_air_temperature_below_threshold,days,7
06635_Waldeck-Frankenberg,-1.6298010349273682,LFD,year,days_with_air_temperature_below_threshold,days,7
06636_Werra-Meißner-Kreis,-1.7567188739776611,LFD,year,days_with_air_temperature_below_threshold,days,7
07111_Koblenz,-0.8462096452713013,LFD,year,days_with_air_temperature_below_threshold,days,7
07131_Ahrweiler,-1.6871010065078735,LFD,year,days_with_air_temperature_below_threshold,days,7
07132_Altenkirchen (Westerwald),-1.48540198802948,LFD,year,days_with_air_temperature_below_threshold,days,7
07133_Bad Kreuznach,-0.8226354718208313,LFD,year,days_with_air_temperature_below_threshold,days,7
07134_Birkenfeld,-1.3526742458343506,LFD,year,days_with_air_temperature_below_threshold,days,7
07135_Cochem-Zell,-1.3719373941421509,LFD,year,days_with_air_temperature_below_threshold,days,7
07137_Mayen-Koblenz,-1.2064696550369263,LFD,year,days_with_air_temperature_below_threshold,days,7
07138_Neuwied,-0.863507866859436,LFD,year,days_with_air_temperature_below_threshold,days,7
07140_Rhein-Hunsrück-Kreis,-1.5464798212051392,LFD,year,days_with_air_temperature_below_threshold,days,7
07141_Rhein-Lahn-Kreis,-1.3365923166275024,LFD,year,days_with_air_temperature_below_threshold,days,7
07143_Westerwaldkreis,-1.243764877319336,LFD,year,days_with_air_temperature_below_threshold,days,7
07211_Trier,-1.1243869066238403,LFD,year,days_with_air_temperature_below_threshold,days,7
07231_Bernkastel-Wittlich,-1.492725133895874,LFD,year,days_with_air_temperature_below_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,-1.288753628730774,LFD,year,days_with_air_temperature_below_threshold,days,7
07233_Vulkaneifel,-1.6128281354904175,LFD,year,days_with_air_temperature_below_threshold,days,7
07235_Trier-Saarburg,-1.0792064666748047,LFD,year,days_with_air_temperature_below_threshold,days,7
07311_Frankenthal (Pfalz),-0.12879925966262817,LFD,year,days_with_air_temperature_below_threshold,days,7
07312_Kaiserslautern,-1.1468831300735474,LFD,year,days_with_air_temperature_below_threshold,days,7
07313_Landau in der Pfalz,-0.30660566687583923,LFD,year,days_with_air_temperature_below_threshold,days,7
07314_Ludwigshafen am Rhein,-0.09622295200824738,LFD,year,days_with_air_temperature_below_threshold,days,7
07315_Mainz,-0.23419837653636932,LFD,year,days_with_air_temperature_below_threshold,days,7
07316_Neustadt an der Weinstraße,-0.17970262467861176,LFD,year,days_with_air_temperature_below_threshold,days,7
07317_Pirmasens,-0.869740903377533,LFD,year,days_with_air_temperature_below_threshold,days,7
07318_Speyer,-0.057328175753355026,LFD,year,days_with_air_temperature_below_threshold,days,7
07319_Worms,-0.16737955808639526,LFD,year,days_with_air_temperature_below_threshold,days,7
07320_Zweibrücken,-0.7756281495094299,LFD,year,days_with_air_temperature_below_threshold,days,7
07331_Alzey-Worms,-0.4755486249923706,LFD,year,days_with_air_temperature_below_threshold,days,7
07332_Bad Dürkheim,-0.6193360686302185,LFD,year,days_with_air_temperature_below_threshold,days,7
07333_Donnersbergkreis,-0.9128994345664978,LFD,year,days_with_air_temperature_below_threshold,days,7
07334_Germersheim,-0.18214112520217896,LFD,year,days_with_air_temperature_below_threshold,days,7
07335_Kaiserslautern,-1.0655690431594849,LFD,year,days_with_air_temperature_below_threshold,days,7
07336_Kusel,-0.7756503224372864,LFD,year,days_with_air_temperature_below_threshold,days,7
07337_Südliche Weinstraße,-0.26942768692970276,LFD,year,days_with_air_temperature_below_threshold,days,7
07338_Rhein-Pfalz-Kreis,-0.18493805825710297,LFD,year,days_with_air_temperature_below_threshold,days,7
07339_Mainz-Bingen,-0.37039050459861755,LFD,year,days_with_air_temperature_below_threshold,days,7
07340_Südwestpfalz,-0.7713102698326111,LFD,year,days_with_air_temperature_below_threshold,days,7
08111_Stuttgart,-0.6425243020057678,LFD,year,days_with_air_temperature_below_threshold,days,7
08115_Böblingen,-0.9891570210456848,LFD,year,days_with_air_temperature_below_threshold,days,7
08116_Esslingen,-1.2887654304504395,LFD,year,days_with_air_temperature_below_threshold,days,7
08117_Göppingen,-1.9003099203109741,LFD,year,days_with_air_temperature_below_threshold,days,7
08118_Ludwigsburg,-0.5730258226394653,LFD,year,days_with_air_temperature_below_threshold,days,7
08119_Rems-Murr-Kreis,-0.6703375577926636,LFD,year,days_with_air_temperature_below_threshold,days,7
08121_Heilbronn,-0.32971814274787903,LFD,year,days_with_air_temperature_below_threshold,days,7
08125_Heilbronn,-0.4604208469390869,LFD,year,days_with_air_temperature_below_threshold,days,7
08126_Hohenlohekreis,-1.0411354303359985,LFD,year,days_with_air_temperature_below_threshold,days,7
08127_Schwäbisch Hall,-1.1950138807296753,LFD,year,days_with_air_temperature_below_threshold,days,7
08128_Main-Tauber-Kreis,-1.1549290418624878,LFD,year,days_with_air_temperature_below_threshold,days,7
08135_Heidenheim,-1.1327002048492432,LFD,year,days_with_air_temperature_below_threshold,days,7
08136_Ostalbkreis,-1.7439528703689575,LFD,year,days_with_air_temperature_below_threshold,days,7
08211_Baden-Baden,-0.8508394360542297,LFD,year,days_with_air_temperature_below_threshold,days,7
08212_Karlsruhe,-0.27560344338417053,LFD,year,days_with_air_temperature_below_threshold,days,7
08215_Karlsruhe,-0.36833909153938293,LFD,year,days_with_air_temperature_below_threshold,days,7
08216_Rastatt,-1.0726240873336792,LFD,year,days_with_air_temperature_below_threshold,days,7
08221_Heidelberg,-0.170955091714859,LFD,year,days_with_air_temperature_below_threshold,days,7
