region,DSf_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
08421_Ulm,2.0131397247314453,DSf,year,dry_spell_frequency,,7
08425_Alb-Donau-Kreis,1.891561508178711,DSf,year,dry_spell_frequency,,7
08426_Biberach,1.9567480087280273,DSf,year,dry_spell_frequency,,7
08435_Bodenseekreis,1.8377466201782227,DSf,year,dry_spell_frequency,,7
08436_Ravensburg,1.6837615966796875,DSf,year,dry_spell_frequency,,7
08437_Sigmaringen,1.8260574340820312,DSf,year,dry_spell_frequency,,7
09161_Ingolstadt,1.5635900497436523,DSf,year,dry_spell_frequency,,7
09162_München,2.0853261947631836,DSf,year,dry_spell_frequency,,7
09163_Rosenheim,2.3324270248413086,DSf,year,dry_spell_frequency,,7
09171_Altötting,1.8881196975708008,DSf,year,dry_spell_frequency,,7
09172_Berchtesgadener Land,1.9937362670898438,DSf,year,dry_spell_frequency,,7
09173_Bad Tölz-Wolfratshausen,2.1300649642944336,DSf,year,dry_spell_frequency,,7
09174_Dachau,1.9344377517700195,DSf,year,dry_spell_frequency,,7
09175_Ebersberg,1.6278791427612305,DSf,year,dry_spell_frequency,,7
09176_Eichstätt,1.449061393737793,DSf,year,dry_spell_frequency,,7
09177_Erding,1.7563695907592773,DSf,year,dry_spell_frequency,,7
09178_Freising,1.7609186172485352,DSf,year,dry_spell_frequency,,7
09179_Fürstenfeldbruck,1.9799232482910156,DSf,year,dry_spell_frequency,,7
09180_Garmisch-Partenkirchen,2.5907411575317383,DSf,year,dry_spell_frequency,,7
09181_Landsberg am Lech,1.9607734680175781,DSf,year,dry_spell_frequency,,7
09182_Miesbach,2.2719736099243164,DSf,year,dry_spell_frequency,,7
09183_Mühldorf a. Inn,1.8624753952026367,DSf,year,dry_spell_frequency,,7
09184_München,1.9618253707885742,DSf,year,dry_spell_frequency,,7
09185_Neuburg-Schrobenhausen,1.5426692962646484,DSf,year,dry_spell_frequency,,7
09186_Pfaffenhofen a.d. Ilm,1.759690284729004,DSf,year,dry_spell_frequency,,7
09187_Rosenheim,1.9172077178955078,DSf,year,dry_spell_frequency,,7
09188_Starnberg,1.7800655364990234,DSf,year,dry_spell_frequency,,7
09189_Traunstein,1.8126449584960938,DSf,year,dry_spell_frequency,,7
09190_Weilheim-Schongau,2.3730478286743164,DSf,year,dry_spell_frequency,,7
09261_Landshut,2.231095314025879,DSf,year,dry_spell_frequency,,7
09262_Passau,1.6289587020874023,DSf,year,dry_spell_frequency,,7
09263_Straubing,1.2204875946044922,DSf,year,dry_spell_frequency,,7
09271_Deggendorf,1.4130859375,DSf,year,dry_spell_frequency,,7
09272_Freyung-Grafenau,1.4683504104614258,DSf,year,dry_spell_frequency,,7
09273_Kelheim,1.686431884765625,DSf,year,dry_spell_frequency,,7
09274_Landshut,1.8093042373657227,DSf,year,dry_spell_frequency,,7
09275_Passau,1.5306997299194336,DSf,year,dry_spell_frequency,,7
09276_Regen,1.4295434951782227,DSf,year,dry_spell_frequency,,7
09277_Rottal-Inn,1.6178216934204102,DSf,year,dry_spell_frequency,,7
09278_Straubing-Bogen,1.3072929382324219,DSf,year,dry_spell_frequency,,7
09279_Dingolfing-Landau,1.4432458877563477,DSf,year,dry_spell_frequency,,7
09361_Amberg,1.9459772109985352,DSf,year,dry_spell_frequency,,7
09362_Regensburg,1.5570545196533203,DSf,year,dry_spell_frequency,,7
09363_Weiden i.d. OPf.,1.4090471267700195,DSf,year,dry_spell_frequency,,7
09371_Amberg-Sulzbach,1.751028060913086,DSf,year,dry_spell_frequency,,7
09372_Cham,1.3085556030273438,DSf,year,dry_spell_frequency,,7
09373_Neumarkt i.d. OPf.,1.7619438171386719,DSf,year,dry_spell_frequency,,7
09374_Neustadt a.d. Waldnaab,1.2983503341674805,DSf,year,dry_spell_frequency,,7
09375_Regensburg,1.4098167419433594,DSf,year,dry_spell_frequency,,7
09376_Schwandorf,1.495896339416504,DSf,year,dry_spell_frequency,,7
09377_Tirschenreuth,1.5872039794921875,DSf,year,dry_spell_frequency,,7
09461_Bamberg,1.310948371887207,DSf,year,dry_spell_frequency,,7
09462_Bayreuth,1.8209819793701172,DSf,year,dry_spell_frequency,,7
09463_Coburg,1.4638605117797852,DSf,year,dry_spell_frequency,,7
09464_Hof,1.5672588348388672,DSf,year,dry_spell_frequency,,7
09471_Bamberg,1.2994203567504883,DSf,year,dry_spell_frequency,,7
09472_Bayreuth,1.3524179458618164,DSf,year,dry_spell_frequency,,7
09473_Coburg,1.3890600204467773,DSf,year,dry_spell_frequency,,7
09474_Forchheim,1.4313831329345703,DSf,year,dry_spell_frequency,,7
09475_Hof,1.4033966064453125,DSf,year,dry_spell_frequency,,7
09476_Kronach,1.3770856857299805,DSf,year,dry_spell_frequency,,7
09477_Kulmbach,1.428206443786621,DSf,year,dry_spell_frequency,,7
09478_Lichtenfels,1.4789009094238281,DSf,year,dry_spell_frequency,,7
09479_Wunsiedel i. Fichtelgebirge,1.2905340194702148,DSf,year,dry_spell_frequency,,7
09561_Ansbach,1.4285993576049805,DSf,year,dry_spell_frequency,,7
09562_Erlangen,1.176626205444336,DSf,year,dry_spell_frequency,,7
09563_Fürth,1.4165239334106445,DSf,year,dry_spell_frequency,,7
09564_Nürnberg,1.4867944717407227,DSf,year,dry_spell_frequency,,7
09565_Schwabach,1.3231582641601562,DSf,year,dry_spell_frequency,,7
09571_Ansbach,1.2571992874145508,DSf,year,dry_spell_frequency,,7
09572_Erlangen-Höchstadt,1.2745094299316406,DSf,year,dry_spell_frequency,,7
09573_Fürth,1.1857109069824219,DSf,year,dry_spell_frequency,,7
09574_Nürnberger Land,1.3966960906982422,DSf,year,dry_spell_frequency,,7
09575_Neustadt a.d. Aisch-Bad Windsheim,1.2370738983154297,DSf,year,dry_spell_frequency,,7
09576_Roth,1.602299690246582,DSf,year,dry_spell_frequency,,7
09577_Weißenburg-Gunzenhausen,1.953277587890625,DSf,year,dry_spell_frequency,,7
09661_Aschaffenburg,1.4361896514892578,DSf,year,dry_spell_frequency,,7
09662_Schweinfurt,1.7818632125854492,DSf,year,dry_spell_frequency,,7
09663_Würzburg,1.8414535522460938,DSf,year,dry_spell_frequency,,7
09671_Aschaffenburg,1.7468061447143555,DSf,year,dry_spell_frequency,,7
09672_Bad Kissingen,1.713897705078125,DSf,year,dry_spell_frequency,,7
09673_Rhön-Grabfeld,1.3910770416259766,DSf,year,dry_spell_frequency,,7
09674_Haßberge,1.4031171798706055,DSf,year,dry_spell_frequency,,7
09675_Kitzingen,1.7673454284667969,DSf,year,dry_spell_frequency,,7
09676_Miltenberg,1.663517951965332,DSf,year,dry_spell_frequency,,7
09677_Main-Spessart,1.899064064025879,DSf,year,dry_spell_frequency,,7
09678_Schweinfurt,1.770310401916504,DSf,year,dry_spell_frequency,,7
09679_Würzburg,1.613825798034668,DSf,year,dry_spell_frequency,,7
09761_Augsburg,1.714766502380371,DSf,year,dry_spell_frequency,,7
09762_Kaufbeuren,2.498171806335449,DSf,year,dry_spell_frequency,,7
09763_Kempten (Allgäu),2.3664073944091797,DSf,year,dry_spell_frequency,,7
09764_Memmingen,2.3950767517089844,DSf,year,dry_spell_frequency,,7
09771_Aichach-Friedberg,1.6161985397338867,DSf,year,dry_spell_frequency,,7
09772_Augsburg,1.8212108612060547,DSf,year,dry_spell_frequency,,7
09773_Dillingen a.d. Donau,1.8195953369140625,DSf,year,dry_spell_frequency,,7
09774_Günzburg,1.8754615783691406,DSf,year,dry_spell_frequency,,7
09775_Neu-Ulm,1.9372234344482422,DSf,year,dry_spell_frequency,,7
09776_Lindau (Bodensee),2.0163192749023438,DSf,year,dry_spell_frequency,,7
09777_Ostallgäu,2.5870590209960938,DSf,year,dry_spell_frequency,,7
09778_Unterallgäu,2.1027355194091797,DSf,year,dry_spell_frequency,,7
09779_Donau-Ries,1.6065073013305664,DSf,year,dry_spell_frequency,,7
09780_Oberallgäu,2.2660179138183594,DSf,year,dry_spell_frequency,,7
10041_Regionalverband Saarbrücken,2.1745615005493164,DSf,year,dry_spell_frequency,,7
10042_Merzig-Wadern,2.1203880310058594,DSf,year,dry_spell_frequency,,7
10043_Neunkirchen,2.1911869049072266,DSf,year,dry_spell_frequency,,7
10044_Saarlouis,2.08660888671875,DSf,year,dry_spell_frequency,,7
10045_Saarpfalz-Kreis,2.49178409576416,DSf,year,dry_spell_frequency,,7
10046_St. Wendel,2.1250810623168945,DSf,year,dry_spell_frequency,,7
11000_Berlin,1.4950428009033203,DSf,year,dry_spell_frequency,,7
12051_Brandenburg an der Havel,1.5521507263183594,DSf,year,dry_spell_frequency,,7
