region,DSf_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
09190_Weilheim-Schongau,0.021972448,DSf,year,dry_spell_frequency,,7
09261_Landshut,0.16153064,DSf,year,dry_spell_frequency,,7
09262_Passau,0.13436033,DSf,year,dry_spell_frequency,,7
09263_Straubing,0.096120335,DSf,year,dry_spell_frequency,,7
09271_Deggendorf,0.10851515,DSf,year,dry_spell_frequency,,7
09272_Freyung-Grafenau,0.13919716,DSf,year,dry_spell_frequency,,7
09273_Kelheim,0.12743936,DSf,year,dry_spell_frequency,,7
09274_Landshut,0.097775444,DSf,year,dry_spell_frequency,,7
09275_Passau,0.13156156,DSf,year,dry_spell_frequency,,7
09276_Regen,0.16343775,DSf,year,dry_spell_frequency,,7
09277_Rottal-Inn,0.1055114,DSf,year,dry_spell_frequency,,7
09278_Straubing-Bogen,0.09650238,DSf,year,dry_spell_frequency,,7
09279_Dingolfing-Landau,0.039731126,DSf,year,dry_spell_frequency,,7
09361_Amberg,0.14804077,DSf,year,dry_spell_frequency,,7
09362_Regensburg,0.057128113,DSf,year,dry_spell_frequency,,7
09363_Weiden i.d. OPf.,0.14644898,DSf,year,dry_spell_frequency,,7
09371_Amberg-Sulzbach,0.14772768,DSf,year,dry_spell_frequency,,7
09372_Cham,0.16117004,DSf,year,dry_spell_frequency,,7
09373_Neumarkt i.d. OPf.,0.12963837,DSf,year,dry_spell_frequency,,7
09374_Neustadt a.d. Waldnaab,0.15861402,DSf,year,dry_spell_frequency,,7
09375_Regensburg,0.08116021,DSf,year,dry_spell_frequency,,7
09376_Schwandorf,0.14281958,DSf,year,dry_spell_frequency,,7
09377_Tirschenreuth,0.16522835,DSf,year,dry_spell_frequency,,7
09461_Bamberg,0.13919452,DSf,year,dry_spell_frequency,,7
09462_Bayreuth,0.115055144,DSf,year,dry_spell_frequency,,7
09463_Coburg,0.26002744,DSf,year,dry_spell_frequency,,7
09464_Hof,-0.02128908,DSf,year,dry_spell_frequency,,7
09471_Bamberg,0.12676868,DSf,year,dry_spell_frequency,,7
09472_Bayreuth,0.14073582,DSf,year,dry_spell_frequency,,7
09473_Coburg,0.24836966,DSf,year,dry_spell_frequency,,7
09474_Forchheim,0.12868808,DSf,year,dry_spell_frequency,,7
09475_Hof,0.124424875,DSf,year,dry_spell_frequency,,7
09476_Kronach,0.24675566,DSf,year,dry_spell_frequency,,7
09477_Kulmbach,0.15766984,DSf,year,dry_spell_frequency,,7
09478_Lichtenfels,0.2061145,DSf,year,dry_spell_frequency,,7
09479_Wunsiedel i. Fichtelgebirge,0.11043768,DSf,year,dry_spell_frequency,,7
09561_Ansbach,0.060654137,DSf,year,dry_spell_frequency,,7
09562_Erlangen,0.122389324,DSf,year,dry_spell_frequency,,7
09563_Fürth,0.07554723,DSf,year,dry_spell_frequency,,7
09564_Nürnberg,0.10801294,DSf,year,dry_spell_frequency,,7
09565_Schwabach,0.10929273,DSf,year,dry_spell_frequency,,7
09571_Ansbach,0.10428135,DSf,year,dry_spell_frequency,,7
09572_Erlangen-Höchstadt,0.1318459,DSf,year,dry_spell_frequency,,7
09573_Fürth,0.0604025,DSf,year,dry_spell_frequency,,7
09574_Nürnberger Land,0.13654913,DSf,year,dry_spell_frequency,,7
09575_Neustadt a.d. Aisch-Bad Windsheim,0.12506948,DSf,year,dry_spell_frequency,,7
09576_Roth,0.11933245,DSf,year,dry_spell_frequency,,7
09577_Weißenburg-Gunzenhausen,0.17190516,DSf,year,dry_spell_frequency,,7
09661_Aschaffenburg,0.3132078,DSf,year,dry_spell_frequency,,7
09662_Schweinfurt,0.120091975,DSf,year,dry_spell_frequency,,7
