region,DSf_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
07140_Rhein-Hunsrück-Kreis,-1.476980209350586,DSf,year,dry_spell_frequency,,7
07141_Rhein-Lahn-Kreis,-1.06524658203125,DSf,year,dry_spell_frequency,,7
07143_Westerwaldkreis,-1.055251121520996,DSf,year,dry_spell_frequency,,7
07211_Trier,-0.9615259170532227,DSf,year,dry_spell_frequency,,7
07231_Bernkastel-Wittlich,-0.6194896697998047,DSf,year,dry_spell_frequency,,7
07232_Eifelkreis Bitburg-Prüm,-0.8072576522827148,DSf,year,dry_spell_frequency,,7
07233_Vulkaneifel,-0.871220588684082,DSf,year,dry_spell_frequency,,7
07235_Trier-Saarburg,-0.7735567092895508,DSf,year,dry_spell_frequency,,7
07311_Frankenthal (Pfalz),-1.3516950607299805,DSf,year,dry_spell_frequency,,7
07312_Kaiserslautern,-0.7186698913574219,DSf,year,dry_spell_frequency,,7
07313_Landau in der Pfalz,-1.5461997985839844,DSf,year,dry_spell_frequency,,7
07314_Ludwigshafen am Rhein,-1.5613164901733398,DSf,year,dry_spell_frequency,,7
07315_Mainz,-0.9091434478759766,DSf,year,dry_spell_frequency,,7
07316_Neustadt an der Weinstraße,-1.2471981048583984,DSf,year,dry_spell_frequency,,7
07317_Pirmasens,-1.094325065612793,DSf,year,dry_spell_frequency,,7
07318_Speyer,-1.5302505493164062,DSf,year,dry_spell_frequency,,7
07319_Worms,-1.9161081314086914,DSf,year,dry_spell_frequency,,7
07320_Zweibrücken,-0.9742155075073242,DSf,year,dry_spell_frequency,,7
07331_Alzey-Worms,-0.9638442993164062,DSf,year,dry_spell_frequency,,7
07332_Bad Dürkheim,-1.392557144165039,DSf,year,dry_spell_frequency,,7
07333_Donnersbergkreis,-1.0987882614135742,DSf,year,dry_spell_frequency,,7
07334_Germersheim,-1.2608156204223633,DSf,year,dry_spell_frequency,,7
07335_Kaiserslautern,-0.784113883972168,DSf,year,dry_spell_frequency,,7
07336_Kusel,-0.8189449310302734,DSf,year,dry_spell_frequency,,7
07337_Südliche Weinstraße,-1.4013328552246094,DSf,year,dry_spell_frequency,,7
07338_Rhein-Pfalz-Kreis,-1.402130126953125,DSf,year,dry_spell_frequency,,7
07339_Mainz-Bingen,-0.9372129440307617,DSf,year,dry_spell_frequency,,7
07340_Südwestpfalz,-1.0306816101074219,DSf,year,dry_spell_frequency,,7
08111_Stuttgart,-1.3750133514404297,DSf,year,dry_spell_frequency,,7
08115_Böblingen,-1.1811580657958984,DSf,year,dry_spell_frequency,,7
08116_Esslingen,-1.247995376586914,DSf,year,dry_spell_frequency,,7
08117_Göppingen,-0.9815492630004883,DSf,year,dry_spell_frequency,,7
08118_Ludwigsburg,-1.5402765274047852,DSf,year,dry_spell_frequency,,7
08119_Rems-Murr-Kreis,-0.7667951583862305,DSf,year,dry_spell_frequency,,7
08121_Heilbronn,-1.1883020401000977,DSf,year,dry_spell_frequency,,7
08125_Heilbronn,-1.016998291015625,DSf,year,dry_spell_frequency,,7
08126_Hohenlohekreis,-0.9176998138427734,DSf,year,dry_spell_frequency,,7
08127_Schwäbisch Hall,-1.1539878845214844,DSf,year,dry_spell_frequency,,7
08128_Main-Tauber-Kreis,-1.1430110931396484,DSf,year,dry_spell_frequency,,7
08135_Heidenheim,-1.1203422546386719,DSf,year,dry_spell_frequency,,7
08136_Ostalbkreis,-1.231236457824707,DSf,year,dry_spell_frequency,,7
08211_Baden-Baden,-1.2466049194335938,DSf,year,dry_spell_frequency,,7
08212_Karlsruhe,-1.4183597564697266,DSf,year,dry_spell_frequency,,7
08215_Karlsruhe,-1.193455696105957,DSf,year,dry_spell_frequency,,7
08216_Rastatt,-1.0462465286254883,DSf,year,dry_spell_frequency,,7
08221_Heidelberg,-0.9455966949462891,DSf,year,dry_spell_frequency,,7
08222_Mannheim,-1.3414897918701172,DSf,year,dry_spell_frequency,,7
08225_Neckar-Odenwald-Kreis,-0.8927402496337891,DSf,year,dry_spell_frequency,,7
08226_Rhein-Neckar-Kreis,-1.0211524963378906,DSf,year,dry_spell_frequency,,7
08231_Pforzheim,-1.4224319458007812,DSf,year,dry_spell_frequency,,7
08235_Calw,-1.2263832092285156,DSf,year,dry_spell_frequency,,7
08236_Enzkreis,-1.3612995147705078,DSf,year,dry_spell_frequency,,7
08237_Freudenstadt,-1.1345930099487305,DSf,year,dry_spell_frequency,,7
08311_Freiburg im Breisgau,-1.2921791076660156,DSf,year,dry_spell_frequency,,7
08315_Breisgau-Hochschwarzwald,-1.020350456237793,DSf,year,dry_spell_frequency,,7
08316_Emmendingen,-1.2550601959228516,DSf,year,dry_spell_frequency,,7
08317_Ortenaukreis,-1.194972038269043,DSf,year,dry_spell_frequency,,7
08325_Rottweil,-1.1858787536621094,DSf,year,dry_spell_frequency,,7
08326_Schwarzwald-Baar-Kreis,-1.2056188583374023,DSf,year,dry_spell_frequency,,7
08327_Tuttlingen,-0.9406719207763672,DSf,year,dry_spell_frequency,,7
08335_Konstanz,-1.2526445388793945,DSf,year,dry_spell_frequency,,7
08336_Lörrach,-0.8690576553344727,DSf,year,dry_spell_frequency,,7
08337_Waldshut,-0.8638086318969727,DSf,year,dry_spell_frequency,,7
08415_Reutlingen,-0.8821601867675781,DSf,year,dry_spell_frequency,,7
08416_Tübingen,-1.0886297225952148,DSf,year,dry_spell_frequency,,7
08417_Zollernalbkreis,-0.9568986892700195,DSf,year,dry_spell_frequency,,7
08421_Ulm,-1.0984201431274414,DSf,year,dry_spell_frequency,,7
08425_Alb-Donau-Kreis,-1.0176897048950195,DSf,year,dry_spell_frequency,,7
08426_Biberach,-1.0752220153808594,DSf,year,dry_spell_frequency,,7
08435_Bodenseekreis,-1.0631752014160156,DSf,year,dry_spell_frequency,,7
08436_Ravensburg,-0.975128173828125,DSf,year,dry_spell_frequency,,7
08437_Sigmaringen,-1.042038917541504,DSf,year,dry_spell_frequency,,7
09161_Ingolstadt,-1.281794548034668,DSf,year,dry_spell_frequency,,7
09162_München,-1.2869749069213867,DSf,year,dry_spell_frequency,,7
09163_Rosenheim,-1.3804044723510742,DSf,year,dry_spell_frequency,,7
09171_Altötting,-1.2516393661499023,DSf,year,dry_spell_frequency,,7
09172_Berchtesgadener Land,-1.1814384460449219,DSf,year,dry_spell_frequency,,7
09173_Bad Tölz-Wolfratshausen,-1.378849983215332,DSf,year,dry_spell_frequency,,7
09174_Dachau,-1.0305500030517578,DSf,year,dry_spell_frequency,,7
09175_Ebersberg,-1.4089622497558594,DSf,year,dry_spell_frequency,,7
