region,DSf_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
08326_Schwarzwald-Baar-Kreis,1.9349908828735352,DSf,year,dry_spell_frequency,,7
08327_Tuttlingen,1.5595703125,DSf,year,dry_spell_frequency,,7
08335_Konstanz,1.9179668426513672,DSf,year,dry_spell_frequency,,7
08336_Lörrach,2.13845157623291,DSf,year,dry_spell_frequency,,7
08337_Waldshut,1.759378433227539,DSf,year,dry_spell_frequency,,7
08415_Reutlingen,2.3867435455322266,DSf,year,dry_spell_frequency,,7
08416_Tübingen,2.1498517990112305,DSf,year,dry_spell_frequency,,7
08417_Zollernalbkreis,2.0985403060913086,DSf,year,dry_spell_frequency,,7
08421_Ulm,2.061343193054199,DSf,year,dry_spell_frequency,,7
08425_Alb-Donau-Kreis,2.0846920013427734,DSf,year,dry_spell_frequency,,7
08426_Biberach,1.8992280960083008,DSf,year,dry_spell_frequency,,7
08435_Bodenseekreis,1.6538658142089844,DSf,year,dry_spell_frequency,,7
08436_Ravensburg,1.5778350830078125,DSf,year,dry_spell_frequency,,7
08437_Sigmaringen,1.8662500381469727,DSf,year,dry_spell_frequency,,7
09161_Ingolstadt,1.161569595336914,DSf,year,dry_spell_frequency,,7
09162_München,2.0117874145507812,DSf,year,dry_spell_frequency,,7
09163_Rosenheim,1.7801618576049805,DSf,year,dry_spell_frequency,,7
09171_Altötting,1.6318626403808594,DSf,year,dry_spell_frequency,,7
09172_Berchtesgadener Land,1.5810737609863281,DSf,year,dry_spell_frequency,,7
09173_Bad Tölz-Wolfratshausen,1.6574840545654297,DSf,year,dry_spell_frequency,,7
09174_Dachau,2.0371265411376953,DSf,year,dry_spell_frequency,,7
09175_Ebersberg,1.7069730758666992,DSf,year,dry_spell_frequency,,7
09176_Eichstätt,1.478959083557129,DSf,year,dry_spell_frequency,,7
09177_Erding,1.516779899597168,DSf,year,dry_spell_frequency,,7
09178_Freising,1.4852371215820312,DSf,year,dry_spell_frequency,,7
09179_Fürstenfeldbruck,1.9727802276611328,DSf,year,dry_spell_frequency,,7
09180_Garmisch-Partenkirchen,1.876948356628418,DSf,year,dry_spell_frequency,,7
09181_Landsberg am Lech,1.895315170288086,DSf,year,dry_spell_frequency,,7
09182_Miesbach,1.7601432800292969,DSf,year,dry_spell_frequency,,7
09183_Mühldorf a. Inn,1.7087335586547852,DSf,year,dry_spell_frequency,,7
09184_München,1.8608522415161133,DSf,year,dry_spell_frequency,,7
09185_Neuburg-Schrobenhausen,1.430511474609375,DSf,year,dry_spell_frequency,,7
09186_Pfaffenhofen a.d. Ilm,1.3248262405395508,DSf,year,dry_spell_frequency,,7
09187_Rosenheim,1.6007280349731445,DSf,year,dry_spell_frequency,,7
09188_Starnberg,1.6386260986328125,DSf,year,dry_spell_frequency,,7
09189_Traunstein,1.5129785537719727,DSf,year,dry_spell_frequency,,7
09190_Weilheim-Schongau,1.7398452758789062,DSf,year,dry_spell_frequency,,7
09261_Landshut,1.502176284790039,DSf,year,dry_spell_frequency,,7
09262_Passau,1.6633243560791016,DSf,year,dry_spell_frequency,,7
09263_Straubing,1.7480440139770508,DSf,year,dry_spell_frequency,,7
