region,DSf_year_3C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
07335_Kaiserslautern,-2.1549487113952637,DSf,year,dry_spell_frequency,,7
07336_Kusel,-2.4717793464660645,DSf,year,dry_spell_frequency,,7
07337_Südliche Weinstraße,-1.692805290222168,DSf,year,dry_spell_frequency,,7
07338_Rhein-Pfalz-Kreis,-2.4654998779296875,DSf,year,dry_spell_frequency,,7
07339_Mainz-Bingen,-2.5861644744873047,DSf,year,dry_spell_frequency,,7
07340_Südwestpfalz,-1.552682876586914,DSf,year,dry_spell_frequency,,7
08111_Stuttgart,-2.3012142181396484,DSf,year,dry_spell_frequency,,7
08115_Böblingen,-2.460226535797119,DSf,year,dry_spell_frequency,,7
08116_Esslingen,-2.0231542587280273,DSf,year,dry_spell_frequency,,7
08117_Göppingen,-1.7143669128417969,DSf,year,dry_spell_frequency,,7
08118_Ludwigsburg,-2.238992214202881,DSf,year,dry_spell_frequency,,7
08119_Rems-Murr-Kreis,-1.687868595123291,DSf,year,dry_spell_frequency,,7
08121_Heilbronn,-1.7219305038452148,DSf,year,dry_spell_frequency,,7
08125_Heilbronn,-1.8234829902648926,DSf,year,dry_spell_frequency,,7
08126_Hohenlohekreis,-1.9364066123962402,DSf,year,dry_spell_frequency,,7
08127_Schwäbisch Hall,-1.9298396110534668,DSf,year,dry_spell_frequency,,7
08128_Main-Tauber-Kreis,-2.2041211128234863,DSf,year,dry_spell_frequency,,7
08135_Heidenheim,-2.0228824615478516,DSf,year,dry_spell_frequency,,7
08136_Ostalbkreis,-1.861532211303711,DSf,year,dry_spell_frequency,,7
08211_Baden-Baden,-1.6757030487060547,DSf,year,dry_spell_frequency,,7
08212_Karlsruhe,-2.0228567123413086,DSf,year,dry_spell_frequency,,7
08215_Karlsruhe,-2.1691722869873047,DSf,year,dry_spell_frequency,,7
08216_Rastatt,-1.7466826438903809,DSf,year,dry_spell_frequency,,7
08221_Heidelberg,-1.7143969535827637,DSf,year,dry_spell_frequency,,7
08222_Mannheim,-2.11661434173584,DSf,year,dry_spell_frequency,,7
08225_Neckar-Odenwald-Kreis,-1.8110709190368652,DSf,year,dry_spell_frequency,,7
08226_Rhein-Neckar-Kreis,-1.9675755500793457,DSf,year,dry_spell_frequency,,7
08231_Pforzheim,-1.9880566596984863,DSf,year,dry_spell_frequency,,7
08235_Calw,-1.7274508476257324,DSf,year,dry_spell_frequency,,7
08236_Enzkreis,-2.0475387573242188,DSf,year,dry_spell_frequency,,7
08237_Freudenstadt,-1.662994384765625,DSf,year,dry_spell_frequency,,7
08311_Freiburg im Breisgau,-1.5405383110046387,DSf,year,dry_spell_frequency,,7
08315_Breisgau-Hochschwarzwald,-1.4885778427124023,DSf,year,dry_spell_frequency,,7
08316_Emmendingen,-1.4694242477416992,DSf,year,dry_spell_frequency,,7
08317_Ortenaukreis,-1.7274346351623535,DSf,year,dry_spell_frequency,,7
08325_Rottweil,-1.7325448989868164,DSf,year,dry_spell_frequency,,7
08326_Schwarzwald-Baar-Kreis,-1.4855380058288574,DSf,year,dry_spell_frequency,,7
08327_Tuttlingen,-1.6569457054138184,DSf,year,dry_spell_frequency,,7
08335_Konstanz,-1.3664193153381348,DSf,year,dry_spell_frequency,,7
08336_Lörrach,-1.2312841415405273,DSf,year,dry_spell_frequency,,7
08337_Waldshut,-1.3538923263549805,DSf,year,dry_spell_frequency,,7
08415_Reutlingen,-1.7268991470336914,DSf,year,dry_spell_frequency,,7
08416_Tübingen,-2.248845100402832,DSf,year,dry_spell_frequency,,7
08417_Zollernalbkreis,-1.8804163932800293,DSf,year,dry_spell_frequency,,7
08421_Ulm,-2.0251574516296387,DSf,year,dry_spell_frequency,,7
08425_Alb-Donau-Kreis,-1.7787179946899414,DSf,year,dry_spell_frequency,,7
08426_Biberach,-1.6164755821228027,DSf,year,dry_spell_frequency,,7
08435_Bodenseekreis,-1.4612932205200195,DSf,year,dry_spell_frequency,,7
08436_Ravensburg,-1.6716914176940918,DSf,year,dry_spell_frequency,,7
08437_Sigmaringen,-1.4232158660888672,DSf,year,dry_spell_frequency,,7
09161_Ingolstadt,-1.9593095779418945,DSf,year,dry_spell_frequency,,7
09162_München,-1.474198818206787,DSf,year,dry_spell_frequency,,7
09163_Rosenheim,-1.934237003326416,DSf,year,dry_spell_frequency,,7
09171_Altötting,-1.6736164093017578,DSf,year,dry_spell_frequency,,7
09172_Berchtesgadener Land,-1.7207612991333008,DSf,year,dry_spell_frequency,,7
09173_Bad Tölz-Wolfratshausen,-1.6558599472045898,DSf,year,dry_spell_frequency,,7
09174_Dachau,-1.7092208862304688,DSf,year,dry_spell_frequency,,7
09175_Ebersberg,-1.5023908615112305,DSf,year,dry_spell_frequency,,7
09176_Eichstätt,-1.9790644645690918,DSf,year,dry_spell_frequency,,7
09177_Erding,-1.5207033157348633,DSf,year,dry_spell_frequency,,7
09178_Freising,-1.8875961303710938,DSf,year,dry_spell_frequency,,7
09179_Fürstenfeldbruck,-1.855161190032959,DSf,year,dry_spell_frequency,,7
09180_Garmisch-Partenkirchen,-1.5838568210601807,DSf,year,dry_spell_frequency,,7
09181_Landsberg am Lech,-1.8203125,DSf,year,dry_spell_frequency,,7
09182_Miesbach,-1.4939804077148438,DSf,year,dry_spell_frequency,,7
09183_Mühldorf a. Inn,-1.7479562759399414,DSf,year,dry_spell_frequency,,7
09184_München,-1.3959460258483887,DSf,year,dry_spell_frequency,,7
09185_Neuburg-Schrobenhausen,-2.0184249877929688,DSf,year,dry_spell_frequency,,7
09186_Pfaffenhofen a.d. Ilm,-1.914407730102539,DSf,year,dry_spell_frequency,,7
09187_Rosenheim,-1.694016456604004,DSf,year,dry_spell_frequency,,7
09188_Starnberg,-1.4512200355529785,DSf,year,dry_spell_frequency,,7
09189_Traunstein,-1.5100507736206055,DSf,year,dry_spell_frequency,,7
09190_Weilheim-Schongau,-1.526853084564209,DSf,year,dry_spell_frequency,,7
09261_Landshut,-1.978971004486084,DSf,year,dry_spell_frequency,,7
09262_Passau,-2.240626335144043,DSf,year,dry_spell_frequency,,7
09263_Straubing,-2.3121633529663086,DSf,year,dry_spell_frequency,,7
09271_Deggendorf,-2.2389373779296875,DSf,year,dry_spell_frequency,,7
09272_Freyung-Grafenau,-2.2542333602905273,DSf,year,dry_spell_frequency,,7
09273_Kelheim,-2.276822566986084,DSf,year,dry_spell_frequency,,7
09274_Landshut,-2.0719170570373535,DSf,year,dry_spell_frequency,,7
09275_Passau,-2.2201433181762695,DSf,year,dry_spell_frequency,,7
09276_Regen,-2.168311595916748,DSf,year,dry_spell_frequency,,7
09277_Rottal-Inn,-1.9161362648010254,DSf,year,dry_spell_frequency,,7
09278_Straubing-Bogen,-2.346920967102051,DSf,year,dry_spell_frequency,,7
09279_Dingolfing-Landau,-2.514403820037842,DSf,year,dry_spell_frequency,,7
09361_Amberg,-1.9374065399169922,DSf,year,dry_spell_frequency,,7
09362_Regensburg,-2.2934017181396484,DSf,year,dry_spell_frequency,,7
09363_Weiden i.d. OPf.,-1.917212963104248,DSf,year,dry_spell_frequency,,7
09371_Amberg-Sulzbach,-1.992438793182373,DSf,year,dry_spell_frequency,,7
09372_Cham,-1.9167375564575195,DSf,year,dry_spell_frequency,,7
09373_Neumarkt i.d. OPf.,-2.1472086906433105,DSf,year,dry_spell_frequency,,7
09374_Neustadt a.d. Waldnaab,-2.007884979248047,DSf,year,dry_spell_frequency,,7
09375_Regensburg,-2.1657557487487793,DSf,year,dry_spell_frequency,,7
09376_Schwandorf,-2.231914520263672,DSf,year,dry_spell_frequency,,7
09377_Tirschenreuth,-2.1207351684570312,DSf,year,dry_spell_frequency,,7
09461_Bamberg,-2.053436756134033,DSf,year,dry_spell_frequency,,7
09462_Bayreuth,-1.9347305297851562,DSf,year,dry_spell_frequency,,7
09463_Coburg,-2.288402557373047,DSf,year,dry_spell_frequency,,7
09464_Hof,-2.2810893058776855,DSf,year,dry_spell_frequency,,7
09471_Bamberg,-2.0812807083129883,DSf,year,dry_spell_frequency,,7
09472_Bayreuth,-1.9844293594360352,DSf,year,dry_spell_frequency,,7
09473_Coburg,-2.100147247314453,DSf,year,dry_spell_frequency,,7
09474_Forchheim,-2.133634567260742,DSf,year,dry_spell_frequency,,7
09475_Hof,-2.0256052017211914,DSf,year,dry_spell_frequency,,7
09476_Kronach,-1.8267531394958496,DSf,year,dry_spell_frequency,,7
09477_Kulmbach,-1.6690735816955566,DSf,year,dry_spell_frequency,,7
09478_Lichtenfels,-2.0276741981506348,DSf,year,dry_spell_frequency,,7
09479_Wunsiedel i. Fichtelgebirge,-2.2602548599243164,DSf,year,dry_spell_frequency,,7
09561_Ansbach,-2.268754482269287,DSf,year,dry_spell_frequency,,7
09562_Erlangen,-2.2409439086914062,DSf,year,dry_spell_frequency,,7
09563_Fürth,-2.5511574745178223,DSf,year,dry_spell_frequency,,7
09564_Nürnberg,-2.7338619232177734,DSf,year,dry_spell_frequency,,7
09565_Schwabach,-2.709291458129883,DSf,year,dry_spell_frequency,,7
09571_Ansbach,-2.261993885040283,DSf,year,dry_spell_frequency,,7
09572_Erlangen-Höchstadt,-2.441196918487549,DSf,year,dry_spell_frequency,,7
09573_Fürth,-2.658552646636963,DSf,year,dry_spell_frequency,,7
09574_Nürnberger Land,-2.046766757965088,DSf,year,dry_spell_frequency,,7
09575_Neustadt a.d. Aisch-Bad Windsheim,-2.2185354232788086,DSf,year,dry_spell_frequency,,7
09576_Roth,-2.2530922889709473,DSf,year,dry_spell_frequency,,7
09577_Weißenburg-Gunzenhausen,-2.0746097564697266,DSf,year,dry_spell_frequency,,7
09661_Aschaffenburg,-2.583867073059082,DSf,year,dry_spell_frequency,,7
09662_Schweinfurt,-2.2935996055603027,DSf,year,dry_spell_frequency,,7
09663_Würzburg,-2.438826560974121,DSf,year,dry_spell_frequency,,7
09671_Aschaffenburg,-2.369044780731201,DSf,year,dry_spell_frequency,,7
09672_Bad Kissingen,-2.0416088104248047,DSf,year,dry_spell_frequency,,7
09673_Rhön-Grabfeld,-2.153372287750244,DSf,year,dry_spell_frequency,,7
09674_Haßberge,-2.38144588470459,DSf,year,dry_spell_frequency,,7
09675_Kitzingen,-2.202937126159668,DSf,year,dry_spell_frequency,,7
09676_Miltenberg,-2.2723617553710938,DSf,year,dry_spell_frequency,,7
09677_Main-Spessart,-2.399989128112793,DSf,year,dry_spell_frequency,,7
09678_Schweinfurt,-2.223121166229248,DSf,year,dry_spell_frequency,,7
09679_Würzburg,-2.3225584030151367,DSf,year,dry_spell_frequency,,7
09761_Augsburg,-1.7220540046691895,DSf,year,dry_spell_frequency,,7
09762_Kaufbeuren,-1.7758922576904297,DSf,year,dry_spell_frequency,,7
09763_Kempten (Allgäu),-1.9085161685943604,DSf,year,dry_spell_frequency,,7
09764_Memmingen,-1.950512409210205,DSf,year,dry_spell_frequency,,7
09771_Aichach-Friedberg,-1.9495582580566406,DSf,year,dry_spell_frequency,,7
09772_Augsburg,-1.6812071800231934,DSf,year,dry_spell_frequency,,7
09773_Dillingen a.d. Donau,-2.0527114868164062,DSf,year,dry_spell_frequency,,7
09774_Günzburg,-1.770829200744629,DSf,year,dry_spell_frequency,,7
09775_Neu-Ulm,-1.8222618103027344,DSf,year,dry_spell_frequency,,7
09776_Lindau (Bodensee),-1.8289287090301514,DSf,year,dry_spell_frequency,,7
09777_Ostallgäu,-1.703080415725708,DSf,year,dry_spell_frequency,,7
09778_Unterallgäu,-1.7731695175170898,DSf,year,dry_spell_frequency,,7
09779_Donau-Ries,-1.988844871520996,DSf,year,dry_spell_frequency,,7
09780_Oberallgäu,-1.8847804069519043,DSf,year,dry_spell_frequency,,7
10041_Regionalverband Saarbrücken,-1.9787907600402832,DSf,year,dry_spell_frequency,,7
10042_Merzig-Wadern,-2.0374951362609863,DSf,year,dry_spell_frequency,,7
10043_Neunkirchen,-2.194373607635498,DSf,year,dry_spell_frequency,,7
10044_Saarlouis,-1.9736108779907227,DSf,year,dry_spell_frequency,,7
10045_Saarpfalz-Kreis,-1.7999277114868164,DSf,year,dry_spell_frequency,,7
10046_St. Wendel,-2.245634078979492,DSf,year,dry_spell_frequency,,7
11000_Berlin,-2.061288833618164,DSf,year,dry_spell_frequency,,7
12051_Brandenburg an der Havel,-2.544534683227539,DSf,year,dry_spell_frequency,,7
12052_Cottbus,-2.8783531188964844,DSf,year,dry_spell_frequency,,7
12053_Frankfurt (Oder),-2.087228775024414,DSf,year,dry_spell_frequency,,7
12054_Potsdam,-2.4640703201293945,DSf,year,dry_spell_frequency,,7
12060_Barnim,-1.9437685012817383,DSf,year,dry_spell_frequency,,7
12061_Dahme-Spreewald,-2.425710678100586,DSf,year,dry_spell_frequency,,7
12062_Elbe-Elster,-2.4068737030029297,DSf,year,dry_spell_frequency,,7
12063_Havelland,-2.1139116287231445,DSf,year,dry_spell_frequency,,7
12064_Märkisch-Oderland,-2.016202926635742,DSf,year,dry_spell_frequency,,7
12065_Oberhavel,-2.233771324157715,DSf,year,dry_spell_frequency,,7
12066_Oberspreewald-Lausitz,-2.6733169555664062,DSf,year,dry_spell_frequency,,7
12067_Oder-Spree,-2.2659215927124023,DSf,year,dry_spell_frequency,,7
12068_Ostprignitz-Ruppin,-2.1881914138793945,DSf,year,dry_spell_frequency,,7
12069_Potsdam-Mittelmark,-2.4224157333374023,DSf,year,dry_spell_frequency,,7
12070_Prignitz,-2.3869361877441406,DSf,year,dry_spell_frequency,,7
12071_Spree-Neiße,-2.652730941772461,DSf,year,dry_spell_frequency,,7
12072_Teltow-Fläming,-2.228281021118164,DSf,year,dry_spell_frequency,,7
12073_Uckermark,-2.3897228240966797,DSf,year,dry_spell_frequency,,7
13003_Rostock,-1.756272315979004,DSf,year,dry_spell_frequency,,7
13004_Schwerin,-2.079899787902832,DSf,year,dry_spell_frequency,,7
13072_Rostock,-1.9376153945922852,DSf,year,dry_spell_frequency,,7
