region,DSf_year_3C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
10046_St. Wendel,0.7339487075805664,DSf,year,dry_spell_frequency,,7
11000_Berlin,-0.13811016082763672,DSf,year,dry_spell_frequency,,7
12051_Brandenburg an der Havel,-0.2604207992553711,DSf,year,dry_spell_frequency,,7
12052_Cottbus,-0.24905776977539062,DSf,year,dry_spell_frequency,,7
12053_Frankfurt (Oder),-0.17383956909179688,DSf,year,dry_spell_frequency,,7
12054_Potsdam,-0.12478446960449219,DSf,year,dry_spell_frequency,,7
12060_Barnim,-0.031754493713378906,DSf,year,dry_spell_frequency,,7
12061_Dahme-Spreewald,-0.23956298828125,DSf,year,dry_spell_frequency,,7
12062_Elbe-Elster,-0.14131450653076172,DSf,year,dry_spell_frequency,,7
12063_Havelland,-0.1629314422607422,DSf,year,dry_spell_frequency,,7
12064_Märkisch-Oderland,-0.178558349609375,DSf,year,dry_spell_frequency,,7
12065_Oberhavel,-0.1666584014892578,DSf,year,dry_spell_frequency,,7
12066_Oberspreewald-Lausitz,-0.16739463806152344,DSf,year,dry_spell_frequency,,7
12067_Oder-Spree,-0.07551860809326172,DSf,year,dry_spell_frequency,,7
12068_Ostprignitz-Ruppin,0.020567893981933594,DSf,year,dry_spell_frequency,,7
12069_Potsdam-Mittelmark,-0.17330074310302734,DSf,year,dry_spell_frequency,,7
12070_Prignitz,0.032502174377441406,DSf,year,dry_spell_frequency,,7
12071_Spree-Neiße,-0.22694110870361328,DSf,year,dry_spell_frequency,,7
12072_Teltow-Fläming,-0.23715591430664062,DSf,year,dry_spell_frequency,,7
12073_Uckermark,-0.07676410675048828,DSf,year,dry_spell_frequency,,7
13003_Rostock,-0.004460334777832031,DSf,year,dry_spell_frequency,,7
13004_Schwerin,0.03695106506347656,DSf,year,dry_spell_frequency,,7
13072_Rostock,-0.14434337615966797,DSf,year,dry_spell_frequency,,7
13076_Ludwigslust-Parchim,-0.035880088806152344,DSf,year,dry_spell_frequency,,7
13071_Mecklenburgische Seenplatte,-0.0961771011352539,DSf,year,dry_spell_frequency,,7
13073_Vorpommern-Rügen,-0.14660072326660156,DSf,year,dry_spell_frequency,,7
13074_Nordwestmecklenburg,0.06177806854248047,DSf,year,dry_spell_frequency,,7
