region,DSf_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
07231_Bernkastel-Wittlich,0.12312215,DSf,year,dry_spell_frequency,,7
07232_Eifelkreis Bitburg-Prüm,0.19931734,DSf,year,dry_spell_frequency,,7
07233_Vulkaneifel,0.17334788,DSf,year,dry_spell_frequency,,7
07235_Trier-Saarburg,0.20075394,DSf,year,dry_spell_frequency,,7
07311_Frankenthal (Pfalz),-0.1131812,DSf,year,dry_spell_frequency,,7
07312_Kaiserslautern,0.1103849,DSf,year,dry_spell_frequency,,7
07313_Landau in der Pfalz,0.019589843,DSf,year,dry_spell_frequency,,7
07314_Ludwigshafen am Rhein,-0.10264926,DSf,year,dry_spell_frequency,,7
07315_Mainz,-0.0061202804,DSf,year,dry_spell_frequency,,7
07316_Neustadt an der Weinstraße,-0.032237086,DSf,year,dry_spell_frequency,,7
07317_Pirmasens,0.084571265,DSf,year,dry_spell_frequency,,7
07318_Speyer,-0.03438728,DSf,year,dry_spell_frequency,,7
07319_Worms,-0.053974655,DSf,year,dry_spell_frequency,,7
07320_Zweibrücken,0.14934187,DSf,year,dry_spell_frequency,,7
07331_Alzey-Worms,-0.086643636,DSf,year,dry_spell_frequency,,7
07332_Bad Dürkheim,-0.046425518,DSf,year,dry_spell_frequency,,7
07333_Donnersbergkreis,-0.003986074,DSf,year,dry_spell_frequency,,7
07334_Germersheim,0.005779743,DSf,year,dry_spell_frequency,,7
07335_Kaiserslautern,0.1066639,DSf,year,dry_spell_frequency,,7
07336_Kusel,0.08994321,DSf,year,dry_spell_frequency,,7
07337_Südliche Weinstraße,-0.001240563,DSf,year,dry_spell_frequency,,7
07338_Rhein-Pfalz-Kreis,-0.07927385,DSf,year,dry_spell_frequency,,7
07339_Mainz-Bingen,-0.046626575,DSf,year,dry_spell_frequency,,7
07340_Südwestpfalz,0.08151925,DSf,year,dry_spell_frequency,,7
08111_Stuttgart,-0.23507513,DSf,year,dry_spell_frequency,,7
08115_Böblingen,-0.20976163,DSf,year,dry_spell_frequency,,7
08116_Esslingen,-0.14942761,DSf,year,dry_spell_frequency,,7
08117_Göppingen,-0.10878045,DSf,year,dry_spell_frequency,,7
08118_Ludwigsburg,-0.12629642,DSf,year,dry_spell_frequency,,7
08119_Rems-Murr-Kreis,-0.047215436,DSf,year,dry_spell_frequency,,7
08121_Heilbronn,-0.024688452,DSf,year,dry_spell_frequency,,7
08125_Heilbronn,-0.030061211,DSf,year,dry_spell_frequency,,7
08126_Hohenlohekreis,-0.054280072,DSf,year,dry_spell_frequency,,7
08127_Schwäbisch Hall,-0.054271005,DSf,year,dry_spell_frequency,,7
08128_Main-Tauber-Kreis,-0.12408931,DSf,year,dry_spell_frequency,,7
08135_Heidenheim,-0.16519187,DSf,year,dry_spell_frequency,,7
08136_Ostalbkreis,-0.07964515,DSf,year,dry_spell_frequency,,7
08211_Baden-Baden,0.020161998,DSf,year,dry_spell_frequency,,7
08212_Karlsruhe,-0.02715857,DSf,year,dry_spell_frequency,,7
08215_Karlsruhe,-0.02869786,DSf,year,dry_spell_frequency,,7
08216_Rastatt,0.03142281,DSf,year,dry_spell_frequency,,7
08221_Heidelberg,0.042741366,DSf,year,dry_spell_frequency,,7
08222_Mannheim,-0.07341713,DSf,year,dry_spell_frequency,,7
08225_Neckar-Odenwald-Kreis,-0.03770103,DSf,year,dry_spell_frequency,,7
08226_Rhein-Neckar-Kreis,-0.0037975144,DSf,year,dry_spell_frequency,,7
08231_Pforzheim,-0.14163929,DSf,year,dry_spell_frequency,,7
08235_Calw,-0.07430805,DSf,year,dry_spell_frequency,,7
08236_Enzkreis,-0.10424116,DSf,year,dry_spell_frequency,,7
08237_Freudenstadt,0.059833694,DSf,year,dry_spell_frequency,,7
08311_Freiburg im Breisgau,0.028333195,DSf,year,dry_spell_frequency,,7
08315_Breisgau-Hochschwarzwald,0.082595974,DSf,year,dry_spell_frequency,,7
08316_Emmendingen,0.076362826,DSf,year,dry_spell_frequency,,7
08317_Ortenaukreis,0.06338618,DSf,year,dry_spell_frequency,,7
08325_Rottweil,-0.013189098,DSf,year,dry_spell_frequency,,7
08326_Schwarzwald-Baar-Kreis,-0.06405396,DSf,year,dry_spell_frequency,,7
08327_Tuttlingen,-0.10454026,DSf,year,dry_spell_frequency,,7
08335_Konstanz,-0.1889444,DSf,year,dry_spell_frequency,,7
08336_Lörrach,0.12790199,DSf,year,dry_spell_frequency,,7
08337_Waldshut,-0.018680807,DSf,year,dry_spell_frequency,,7
08415_Reutlingen,-0.09632398,DSf,year,dry_spell_frequency,,7
08416_Tübingen,-0.19195203,DSf,year,dry_spell_frequency,,7
08417_Zollernalbkreis,-0.11794861,DSf,year,dry_spell_frequency,,7
08421_Ulm,-0.28849486,DSf,year,dry_spell_frequency,,7
08425_Alb-Donau-Kreis,-0.19912614,DSf,year,dry_spell_frequency,,7
08426_Biberach,-0.17358775,DSf,year,dry_spell_frequency,,7
08435_Bodenseekreis,-0.18218343,DSf,year,dry_spell_frequency,,7
08436_Ravensburg,-0.13252658,DSf,year,dry_spell_frequency,,7
08437_Sigmaringen,-0.1288694,DSf,year,dry_spell_frequency,,7
09161_Ingolstadt,-0.21316499,DSf,year,dry_spell_frequency,,7
09162_München,-0.22921523,DSf,year,dry_spell_frequency,,7
09163_Rosenheim,-0.35548422,DSf,year,dry_spell_frequency,,7
09171_Altötting,-0.2506905,DSf,year,dry_spell_frequency,,7
09172_Berchtesgadener Land,-0.25330272,DSf,year,dry_spell_frequency,,7
09173_Bad Tölz-Wolfratshausen,-0.26361057,DSf,year,dry_spell_frequency,,7
09174_Dachau,-0.16056806,DSf,year,dry_spell_frequency,,7
09175_Ebersberg,-0.28530288,DSf,year,dry_spell_frequency,,7
09176_Eichstätt,-0.22229122,DSf,year,dry_spell_frequency,,7
09177_Erding,-0.23442635,DSf,year,dry_spell_frequency,,7
09178_Freising,-0.18944348,DSf,year,dry_spell_frequency,,7
09179_Fürstenfeldbruck,-0.16634549,DSf,year,dry_spell_frequency,,7
09180_Garmisch-Partenkirchen,-0.28224182,DSf,year,dry_spell_frequency,,7
09181_Landsberg am Lech,-0.19067205,DSf,year,dry_spell_frequency,,7
