region,DSf_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
08222_Mannheim,0.23998069763183594,DSf,year,dry_spell_frequency,,7
08225_Neckar-Odenwald-Kreis,0.28037548065185547,DSf,year,dry_spell_frequency,,7
08226_Rhein-Neckar-Kreis,0.3243131637573242,DSf,year,dry_spell_frequency,,7
08231_Pforzheim,0.2467203140258789,DSf,year,dry_spell_frequency,,7
08235_Calw,0.2703094482421875,DSf,year,dry_spell_frequency,,7
08236_Enzkreis,0.3143339157104492,DSf,year,dry_spell_frequency,,7
08237_Freudenstadt,0.3559293746948242,DSf,year,dry_spell_frequency,,7
08311_Freiburg im Breisgau,0.4015192985534668,DSf,year,dry_spell_frequency,,7
08315_Breisgau-Hochschwarzwald,0.3353137969970703,DSf,year,dry_spell_frequency,,7
08316_Emmendingen,0.3939323425292969,DSf,year,dry_spell_frequency,,7
08317_Ortenaukreis,0.2880086898803711,DSf,year,dry_spell_frequency,,7
08325_Rottweil,0.3566427230834961,DSf,year,dry_spell_frequency,,7
08326_Schwarzwald-Baar-Kreis,0.10053539276123047,DSf,year,dry_spell_frequency,,7
08327_Tuttlingen,0.19052696228027344,DSf,year,dry_spell_frequency,,7
08335_Konstanz,0.22799015045166016,DSf,year,dry_spell_frequency,,7
08336_Lörrach,0.38737010955810547,DSf,year,dry_spell_frequency,,7
08337_Waldshut,0.2974233627319336,DSf,year,dry_spell_frequency,,7
08415_Reutlingen,0.22358322143554688,DSf,year,dry_spell_frequency,,7
08416_Tübingen,0.22922897338867188,DSf,year,dry_spell_frequency,,7
08417_Zollernalbkreis,0.1547689437866211,DSf,year,dry_spell_frequency,,7
08421_Ulm,0.09624862670898438,DSf,year,dry_spell_frequency,,7
08425_Alb-Donau-Kreis,0.07913398742675781,DSf,year,dry_spell_frequency,,7
08426_Biberach,0.2440185546875,DSf,year,dry_spell_frequency,,7
08435_Bodenseekreis,0.13600444793701172,DSf,year,dry_spell_frequency,,7
08436_Ravensburg,0.22582530975341797,DSf,year,dry_spell_frequency,,7
08437_Sigmaringen,0.2569761276245117,DSf,year,dry_spell_frequency,,7
09161_Ingolstadt,0.21204090118408203,DSf,year,dry_spell_frequency,,7
09162_München,0.10518550872802734,DSf,year,dry_spell_frequency,,7
09163_Rosenheim,0.021457672119140625,DSf,year,dry_spell_frequency,,7
09171_Altötting,0.01781463623046875,DSf,year,dry_spell_frequency,,7
09172_Berchtesgadener Land,-0.047077178955078125,DSf,year,dry_spell_frequency,,7
09173_Bad Tölz-Wolfratshausen,0.024881362915039062,DSf,year,dry_spell_frequency,,7
09174_Dachau,0.1518688201904297,DSf,year,dry_spell_frequency,,7
09175_Ebersberg,0.010685920715332031,DSf,year,dry_spell_frequency,,7
09176_Eichstätt,0.1865243911743164,DSf,year,dry_spell_frequency,,7
09177_Erding,0.08763313293457031,DSf,year,dry_spell_frequency,,7
09178_Freising,0.18008899688720703,DSf,year,dry_spell_frequency,,7
09179_Fürstenfeldbruck,0.12344074249267578,DSf,year,dry_spell_frequency,,7
09180_Garmisch-Partenkirchen,0.030653953552246094,DSf,year,dry_spell_frequency,,7
09181_Landsberg am Lech,0.124237060546875,DSf,year,dry_spell_frequency,,7
09182_Miesbach,0.0048313140869140625,DSf,year,dry_spell_frequency,,7
09183_Mühldorf a. Inn,0.030729293823242188,DSf,year,dry_spell_frequency,,7
09184_München,0.09027576446533203,DSf,year,dry_spell_frequency,,7
09185_Neuburg-Schrobenhausen,0.22838115692138672,DSf,year,dry_spell_frequency,,7
09186_Pfaffenhofen a.d. Ilm,0.3108634948730469,DSf,year,dry_spell_frequency,,7
09187_Rosenheim,0.003945350646972656,DSf,year,dry_spell_frequency,,7
09188_Starnberg,-0.001338958740234375,DSf,year,dry_spell_frequency,,7
09189_Traunstein,0.0011692047119140625,DSf,year,dry_spell_frequency,,7
09190_Weilheim-Schongau,0.03036785125732422,DSf,year,dry_spell_frequency,,7
09261_Landshut,0.15177631378173828,DSf,year,dry_spell_frequency,,7
09262_Passau,0.10760879516601562,DSf,year,dry_spell_frequency,,7
09263_Straubing,0.0728464126586914,DSf,year,dry_spell_frequency,,7
09271_Deggendorf,0.008649826049804688,DSf,year,dry_spell_frequency,,7
09272_Freyung-Grafenau,0.09051990509033203,DSf,year,dry_spell_frequency,,7
09273_Kelheim,0.1624593734741211,DSf,year,dry_spell_frequency,,7
09274_Landshut,0.08497810363769531,DSf,year,dry_spell_frequency,,7
09275_Passau,0.04795265197753906,DSf,year,dry_spell_frequency,,7
09276_Regen,0.07611465454101562,DSf,year,dry_spell_frequency,,7
09277_Rottal-Inn,-0.004332542419433594,DSf,year,dry_spell_frequency,,7
09278_Straubing-Bogen,0.058815956115722656,DSf,year,dry_spell_frequency,,7
09279_Dingolfing-Landau,0.007183074951171875,DSf,year,dry_spell_frequency,,7
09361_Amberg,0.19180774688720703,DSf,year,dry_spell_frequency,,7
09362_Regensburg,0.06030082702636719,DSf,year,dry_spell_frequency,,7
09363_Weiden i.d. OPf.,-0.01146697998046875,DSf,year,dry_spell_frequency,,7
09371_Amberg-Sulzbach,0.1939830780029297,DSf,year,dry_spell_frequency,,7
09372_Cham,0.15605735778808594,DSf,year,dry_spell_frequency,,7
09373_Neumarkt i.d. OPf.,0.2017049789428711,DSf,year,dry_spell_frequency,,7
09374_Neustadt a.d. Waldnaab,0.03974437713623047,DSf,year,dry_spell_frequency,,7
09375_Regensburg,0.06698894500732422,DSf,year,dry_spell_frequency,,7
09376_Schwandorf,0.09778976440429688,DSf,year,dry_spell_frequency,,7
09377_Tirschenreuth,0.1570301055908203,DSf,year,dry_spell_frequency,,7
09461_Bamberg,0.10343170166015625,DSf,year,dry_spell_frequency,,7
