region,HSx3_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
05758_Herford,0.6431670188903809,HSx3,year,hot_spell_duration,days,7
05762_Höxter,0.6255759000778198,HSx3,year,hot_spell_duration,days,7
05766_Lippe,0.5522582530975342,HSx3,year,hot_spell_duration,days,7
05770_Minden-Lübbecke,0.7224761247634888,HSx3,year,hot_spell_duration,days,7
05774_Paderborn,0.5756456851959229,HSx3,year,hot_spell_duration,days,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,0.9245471954345703,HSx3,year,hot_spell_duration,days,7
05911_Bochum,1.0061399936676025,HSx3,year,hot_spell_duration,days,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,0.8504561185836792,HSx3,year,hot_spell_duration,days,7
05913_Dortmund,0.8727717399597168,HSx3,year,hot_spell_duration,days,7
05914_05954_05913_05978_05962_Region_um_Hagen,0.6230452060699463,HSx3,year,hot_spell_duration,days,7
05914_Hagen,0.4511996805667877,HSx3,year,hot_spell_duration,days,7
05915_05978_05974_05570_05558_Region_um_Hamm,0.6312729120254517,HSx3,year,hot_spell_duration,days,7
05915_Hamm,0.7804245948791504,HSx3,year,hot_spell_duration,days,7
05916_05513_05562_05911_Region_um_Herne,0.9611402750015259,HSx3,year,hot_spell_duration,days,7
05916_Herne,1.0647141933441162,HSx3,year,hot_spell_duration,days,7
05954_Ennepe-Ruhr-Kreis,0.5781731605529785,HSx3,year,hot_spell_duration,days,7
05958_Hochsauerlandkreis,0.32391729950904846,HSx3,year,hot_spell_duration,days,7
05962_Märkischer Kreis,0.3625935912132263,HSx3,year,hot_spell_duration,days,7
05966_Olpe,0.41220831871032715,HSx3,year,hot_spell_duration,days,7
05970_Siegen-Wittgenstein,0.4041161835193634,HSx3,year,hot_spell_duration,days,7
05974_Soest,0.6165496110916138,HSx3,year,hot_spell_duration,days,7
05978_Unna,0.7666518688201904,HSx3,year,hot_spell_duration,days,7
06411_06432_06438_Region_um_Darmstadt,1.4279152154922485,HSx3,year,hot_spell_duration,days,7
06411_Darmstadt,1.456426978111267,HSx3,year,hot_spell_duration,days,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,1.204882025718689,HSx3,year,hot_spell_duration,days,7
06412_Frankfurt am Main,1.343379020690918,HSx3,year,hot_spell_duration,days,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,1.214873194694519,HSx3,year,hot_spell_duration,days,7
06413_Offenbach am Main,1.399999976158142,HSx3,year,hot_spell_duration,days,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,1.1944220066070557,HSx3,year,hot_spell_duration,days,7
06414_Wiesbaden,1.252209186553955,HSx3,year,hot_spell_duration,days,7
06431_Bergstraße,1.3173623085021973,HSx3,year,hot_spell_duration,days,7
06432_Darmstadt-Dieburg,1.2232239246368408,HSx3,year,hot_spell_duration,days,7
06433_Groß-Gerau,1.4492335319519043,HSx3,year,hot_spell_duration,days,7
06434_Hochtaunuskreis,0.9198747873306274,HSx3,year,hot_spell_duration,days,7
06435_Main-Kinzig-Kreis,1.0336434841156006,HSx3,year,hot_spell_duration,days,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,1.1313120126724243,HSx3,year,hot_spell_duration,days,7
06436_Main-Taunus-Kreis,1.2220158576965332,HSx3,year,hot_spell_duration,days,7
06437_Odenwaldkreis,0.832217276096344,HSx3,year,hot_spell_duration,days,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,1.2865636348724365,HSx3,year,hot_spell_duration,days,7
06438_Offenbach,1.4797735214233398,HSx3,year,hot_spell_duration,days,7
06439_Rheingau-Taunus-Kreis,0.888435423374176,HSx3,year,hot_spell_duration,days,7
06440_Wetteraukreis,1.1379809379577637,HSx3,year,hot_spell_duration,days,7
06531_Gießen,0.9187719821929932,HSx3,year,hot_spell_duration,days,7
06532_Lahn-Dill-Kreis,0.6952147483825684,HSx3,year,hot_spell_duration,days,7
06533_Limburg-Weilburg,0.7859199643135071,HSx3,year,hot_spell_duration,days,7
06534_Marburg-Biedenkopf,0.7889702320098877,HSx3,year,hot_spell_duration,days,7
06535_Vogelsbergkreis,0.6069828867912292,HSx3,year,hot_spell_duration,days,7
06611_06633_03159_Region_um_Kassel,0.6352100968360901,HSx3,year,hot_spell_duration,days,7
06611_Kassel,0.6475739479064941,HSx3,year,hot_spell_duration,days,7
06631_Fulda,0.5350988507270813,HSx3,year,hot_spell_duration,days,7
06632_Hersfeld-Rotenburg,0.6374331712722778,HSx3,year,hot_spell_duration,days,7
06633_Kassel,0.6405274868011475,HSx3,year,hot_spell_duration,days,7
06634_Schwalm-Eder-Kreis,0.6267836093902588,HSx3,year,hot_spell_duration,days,7
06635_Waldeck-Frankenberg,0.5756512880325317,HSx3,year,hot_spell_duration,days,7
06636_Werra-Meißner-Kreis,0.6378344297409058,HSx3,year,hot_spell_duration,days,7
07111_07137_07141_07143_Region_um_Koblenz,0.7041580677032471,HSx3,year,hot_spell_duration,days,7
07111_Koblenz,0.9417027235031128,HSx3,year,hot_spell_duration,days,7
07131_Ahrweiler,0.48126107454299927,HSx3,year,hot_spell_duration,days,7
07132_Altenkirchen (Westerwald),0.5360938310623169,HSx3,year,hot_spell_duration,days,7
07133_Bad Kreuznach,0.9581415057182312,HSx3,year,hot_spell_duration,days,7
07134_Birkenfeld,0.6143825054168701,HSx3,year,hot_spell_duration,days,7
07135_Cochem-Zell,0.6485371589660645,HSx3,year,hot_spell_duration,days,7
07137_Mayen-Koblenz,0.77750563621521,HSx3,year,hot_spell_duration,days,7
07138_Neuwied,0.7553693056106567,HSx3,year,hot_spell_duration,days,7
07140_Rhein-Hunsrück-Kreis,0.577663779258728,HSx3,year,hot_spell_duration,days,7
07141_Rhein-Lahn-Kreis,0.762515127658844,HSx3,year,hot_spell_duration,days,7
07143_Westerwaldkreis,0.5450989007949829,HSx3,year,hot_spell_duration,days,7
07211_07235_Region_um_Trier,0.7089681625366211,HSx3,year,hot_spell_duration,days,7
07211_Trier,0.8307803869247437,HSx3,year,hot_spell_duration,days,7
07231_Bernkastel-Wittlich,0.6852977275848389,HSx3,year,hot_spell_duration,days,7
07232_Eifelkreis Bitburg-Prüm,0.5095193386077881,HSx3,year,hot_spell_duration,days,7
07233_Vulkaneifel,0.3666090667247772,HSx3,year,hot_spell_duration,days,7
07235_Trier-Saarburg,0.7005890607833862,HSx3,year,hot_spell_duration,days,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),1.5517406463623047,HSx3,year,hot_spell_duration,days,7
07311_Frankenthal (Pfalz),1.58254075050354,HSx3,year,hot_spell_duration,days,7
07312_07335_07332_Region_um_Kaiserslautern,1.187253475189209,HSx3,year,hot_spell_duration,days,7
07312_Kaiserslautern,1.1037834882736206,HSx3,year,hot_spell_duration,days,7
07313_07337_Region_um_Landau_in_der_Pfalz,1.329866647720337,HSx3,year,hot_spell_duration,days,7
07313_Landau in der Pfalz,1.3218307495117188,HSx3,year,hot_spell_duration,days,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,1.5363492965698242,HSx3,year,hot_spell_duration,days,7
07314_Ludwigshafen am Rhein,1.5625171661376953,HSx3,year,hot_spell_duration,days,7
07315_07339_06414_06433_Region_um_Mainz,1.3380169868469238,HSx3,year,hot_spell_duration,days,7
07315_Mainz,1.4928439855575562,HSx3,year,hot_spell_duration,days,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,1.2691221237182617,HSx3,year,hot_spell_duration,days,7
07316_Neustadt an der Weinstraße,1.3217599391937256,HSx3,year,hot_spell_duration,days,7
07317_07340_Region_um_Pirmasens,1.1666593551635742,HSx3,year,hot_spell_duration,days,7
07317_Pirmasens,1.2443238496780396,HSx3,year,hot_spell_duration,days,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,1.39085054397583,HSx3,year,hot_spell_duration,days,7
07318_Speyer,1.548459529876709,HSx3,year,hot_spell_duration,days,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,1.2984201908111572,HSx3,year,hot_spell_duration,days,7
07319_Worms,1.4368574619293213,HSx3,year,hot_spell_duration,days,7
07320_07340_10045_07317_Region_um_Zweibrücken,1.1663157939910889,HSx3,year,hot_spell_duration,days,7
07320_Zweibrücken,1.196063756942749,HSx3,year,hot_spell_duration,days,7
