region,HSx3_year_4C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
07331_Alzey-Worms,6.5644164,HSx3,year,hot_spell_duration,days,7
07332_Bad Dürkheim,6.4382954,HSx3,year,hot_spell_duration,days,7
07333_Donnersbergkreis,5.831953,HSx3,year,hot_spell_duration,days,7
07334_Germersheim,7.8629436,HSx3,year,hot_spell_duration,days,7
07335_Kaiserslautern,5.728292,HSx3,year,hot_spell_duration,days,7
07336_Kusel,5.644709,HSx3,year,hot_spell_duration,days,7
07337_Südliche Weinstraße,6.9108744,HSx3,year,hot_spell_duration,days,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,7.222401,HSx3,year,hot_spell_duration,days,7
07338_Rhein-Pfalz-Kreis,7.8932614,HSx3,year,hot_spell_duration,days,7
07339_Mainz-Bingen,6.265562,HSx3,year,hot_spell_duration,days,7
07340_Südwestpfalz,6.1400003,HSx3,year,hot_spell_duration,days,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,6.529972,HSx3,year,hot_spell_duration,days,7
08111_Stuttgart,6.870183,HSx3,year,hot_spell_duration,days,7
08115_Böblingen,6.2244267,HSx3,year,hot_spell_duration,days,7
08116_Esslingen,6.2942867,HSx3,year,hot_spell_duration,days,7
08117_Göppingen,5.4739723,HSx3,year,hot_spell_duration,days,7
08118_Ludwigsburg,7.0213695,HSx3,year,hot_spell_duration,days,7
08119_Rems-Murr-Kreis,6.4462857,HSx3,year,hot_spell_duration,days,7
08121_08125_Region_um_Heilbronn,6.975769,HSx3,year,hot_spell_duration,days,7
08121_Heilbronn,7.133326,HSx3,year,hot_spell_duration,days,7
08125_Heilbronn,6.960383,HSx3,year,hot_spell_duration,days,7
08126_Hohenlohekreis,6.2307653,HSx3,year,hot_spell_duration,days,7
08127_Schwäbisch Hall,5.8029346,HSx3,year,hot_spell_duration,days,7
08128_Main-Tauber-Kreis,5.872892,HSx3,year,hot_spell_duration,days,7
08135_Heidenheim,5.5516133,HSx3,year,hot_spell_duration,days,7
08136_Ostalbkreis,5.594585,HSx3,year,hot_spell_duration,days,7
08211_08216_Region_um_Baden-Baden,6.157565,HSx3,year,hot_spell_duration,days,7
08211_Baden-Baden,6.0561,HSx3,year,hot_spell_duration,days,7
08212_08215_07334_Region_um_Karlsruhe,7.537592,HSx3,year,hot_spell_duration,days,7
08212_Karlsruhe,7.678336,HSx3,year,hot_spell_duration,days,7
08215_Karlsruhe,7.3768888,HSx3,year,hot_spell_duration,days,7
08216_Rastatt,6.1765313,HSx3,year,hot_spell_duration,days,7
08221_08226_08222_Region_um_Heidelberg,7.1464224,HSx3,year,hot_spell_duration,days,7
08221_Heidelberg,7.088164,HSx3,year,hot_spell_duration,days,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,7.108861,HSx3,year,hot_spell_duration,days,7
08222_Mannheim,7.9196377,HSx3,year,hot_spell_duration,days,7
08225_Neckar-Odenwald-Kreis,6.0235705,HSx3,year,hot_spell_duration,days,7
08226_Rhein-Neckar-Kreis,7.044142,HSx3,year,hot_spell_duration,days,7
08231_08236_08235_Region_um_Pforzheim,5.5660577,HSx3,year,hot_spell_duration,days,7
08231_Pforzheim,5.95131,HSx3,year,hot_spell_duration,days,7
08235_Calw,4.9800553,HSx3,year,hot_spell_duration,days,7
08236_Enzkreis,6.310161,HSx3,year,hot_spell_duration,days,7
08237_Freudenstadt,4.9036875,HSx3,year,hot_spell_duration,days,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,5.9551673,HSx3,year,hot_spell_duration,days,7
08311_Freiburg im Breisgau,6.8185153,HSx3,year,hot_spell_duration,days,7
08315_Breisgau-Hochschwarzwald,5.48856,HSx3,year,hot_spell_duration,days,7
08316_Emmendingen,6.7060957,HSx3,year,hot_spell_duration,days,7
08317_Ortenaukreis,6.7870355,HSx3,year,hot_spell_duration,days,7
08325_Rottweil,5.2860494,HSx3,year,hot_spell_duration,days,7
08326_Schwarzwald-Baar-Kreis,4.644911,HSx3,year,hot_spell_duration,days,7
08327_Tuttlingen,5.1821585,HSx3,year,hot_spell_duration,days,7
08335_Konstanz,6.7992544,HSx3,year,hot_spell_duration,days,7
08336_Lörrach,6.5045104,HSx3,year,hot_spell_duration,days,7
08337_Waldshut,6.1854835,HSx3,year,hot_spell_duration,days,7
08415_Reutlingen,4.843196,HSx3,year,hot_spell_duration,days,7
08416_Tübingen,6.21496,HSx3,year,hot_spell_duration,days,7
08417_Zollernalbkreis,4.8462224,HSx3,year,hot_spell_duration,days,7
08421_08425_09775_Region_um_Ulm,5.5767875,HSx3,year,hot_spell_duration,days,7
08421_Ulm,5.8750315,HSx3,year,hot_spell_duration,days,7
08425_Alb-Donau-Kreis,5.400014,HSx3,year,hot_spell_duration,days,7
08426_Biberach,5.671395,HSx3,year,hot_spell_duration,days,7
08435_Bodenseekreis,6.081207,HSx3,year,hot_spell_duration,days,7
08436_Ravensburg,5.5471807,HSx3,year,hot_spell_duration,days,7
08437_Sigmaringen,5.389361,HSx3,year,hot_spell_duration,days,7
09161_09176_09185_09186_Region_um_Ingolstadt,6.315149,HSx3,year,hot_spell_duration,days,7
09161_Ingolstadt,6.6919055,HSx3,year,hot_spell_duration,days,7
09162_09184_09179_09174_Region_um_München,5.9675856,HSx3,year,hot_spell_duration,days,7
09162_München,6.2151766,HSx3,year,hot_spell_duration,days,7
09163_09187_Region_um_Rosenheim,5.293743,HSx3,year,hot_spell_duration,days,7
09163_Rosenheim,5.6682763,HSx3,year,hot_spell_duration,days,7
09171_Altötting,6.566948,HSx3,year,hot_spell_duration,days,7
09172_Berchtesgadener Land,3.2766418,HSx3,year,hot_spell_duration,days,7
09173_Bad Tölz-Wolfratshausen,3.7472644,HSx3,year,hot_spell_duration,days,7
09174_Dachau,6.154751,HSx3,year,hot_spell_duration,days,7
09175_Ebersberg,6.0256214,HSx3,year,hot_spell_duration,days,7
09176_Eichstätt,6.1967196,HSx3,year,hot_spell_duration,days,7
09177_Erding,6.217183,HSx3,year,hot_spell_duration,days,7
09178_Freising,6.328708,HSx3,year,hot_spell_duration,days,7
09179_Fürstenfeldbruck,5.784069,HSx3,year,hot_spell_duration,days,7
09180_Garmisch-Partenkirchen,2.4572284,HSx3,year,hot_spell_duration,days,7
09181_Landsberg am Lech,5.312071,HSx3,year,hot_spell_duration,days,7
09182_Miesbach,3.4545045,HSx3,year,hot_spell_duration,days,7
09183_Mühldorf a. Inn,6.360492,HSx3,year,hot_spell_duration,days,7
09184_München,5.801891,HSx3,year,hot_spell_duration,days,7
09185_Neuburg-Schrobenhausen,6.395322,HSx3,year,hot_spell_duration,days,7
09186_Pfaffenhofen a.d. Ilm,6.3581758,HSx3,year,hot_spell_duration,days,7
09187_Rosenheim,5.28336,HSx3,year,hot_spell_duration,days,7
09188_Starnberg,5.388735,HSx3,year,hot_spell_duration,days,7
09189_Traunstein,4.933026,HSx3,year,hot_spell_duration,days,7
09190_Weilheim-Schongau,4.61347,HSx3,year,hot_spell_duration,days,7
09261_09274_Region_um_Landshut,6.4039154,HSx3,year,hot_spell_duration,days,7
09261_Landshut,6.4284225,HSx3,year,hot_spell_duration,days,7
09262_09275_Region_um_Passau,6.6104016,HSx3,year,hot_spell_duration,days,7
09262_Passau,6.8687444,HSx3,year,hot_spell_duration,days,7
09263_09278_Region_um_Straubing,6.585659,HSx3,year,hot_spell_duration,days,7
09263_Straubing,7.004006,HSx3,year,hot_spell_duration,days,7
09271_Deggendorf,6.725226,HSx3,year,hot_spell_duration,days,7
09272_Freyung-Grafenau,4.55943,HSx3,year,hot_spell_duration,days,7
09273_Kelheim,6.4145017,HSx3,year,hot_spell_duration,days,7
09274_Landshut,6.4026036,HSx3,year,hot_spell_duration,days,7
09275_Passau,6.5984254,HSx3,year,hot_spell_duration,days,7
09276_Regen,4.479177,HSx3,year,hot_spell_duration,days,7
09277_Rottal-Inn,6.5942554,HSx3,year,hot_spell_duration,days,7
09278_Straubing-Bogen,6.560935,HSx3,year,hot_spell_duration,days,7
09279_Dingolfing-Landau,6.7433796,HSx3,year,hot_spell_duration,days,7
09361_09371_Region_um_Amberg,5.5471873,HSx3,year,hot_spell_duration,days,7
09361_Amberg,5.718449,HSx3,year,hot_spell_duration,days,7
09362_09375_Region_um_Regensburg,6.5562763,HSx3,year,hot_spell_duration,days,7
09362_Regensburg,6.891657,HSx3,year,hot_spell_duration,days,7
09363_09374_Region_um_Weiden_in_der_Oberpfalz,5.070768,HSx3,year,hot_spell_duration,days,7
09363_Weiden i.d. OPf.,5.3617554,HSx3,year,hot_spell_duration,days,7
09371_Amberg-Sulzbach,5.540041,HSx3,year,hot_spell_duration,days,7
