region,HSx3_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
05962_Märkischer Kreis,3.023721694946289,HSx3,year,hot_spell_duration,days,7
05966_Olpe,3.310335874557495,HSx3,year,hot_spell_duration,days,7
05970_Siegen-Wittgenstein,3.6103622913360596,HSx3,year,hot_spell_duration,days,7
05974_Soest,3.084068775177002,HSx3,year,hot_spell_duration,days,7
05978_Unna,4.302520751953125,HSx3,year,hot_spell_duration,days,7
06411_06432_06438_Region_um_Darmstadt,5.793211936950684,HSx3,year,hot_spell_duration,days,7
06411_Darmstadt,6.220941066741943,HSx3,year,hot_spell_duration,days,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,6.0531325340271,HSx3,year,hot_spell_duration,days,7
06412_Frankfurt am Main,7.133814334869385,HSx3,year,hot_spell_duration,days,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,5.796324729919434,HSx3,year,hot_spell_duration,days,7
06413_Offenbach am Main,7.254570007324219,HSx3,year,hot_spell_duration,days,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,6.053356170654297,HSx3,year,hot_spell_duration,days,7
06414_Wiesbaden,6.524758338928223,HSx3,year,hot_spell_duration,days,7
06431_Bergstraße,5.700571537017822,HSx3,year,hot_spell_duration,days,7
06432_Darmstadt-Dieburg,5.515255928039551,HSx3,year,hot_spell_duration,days,7
06433_Groß-Gerau,6.609247207641602,HSx3,year,hot_spell_duration,days,7
06434_Hochtaunuskreis,6.140439987182617,HSx3,year,hot_spell_duration,days,7
06435_Main-Kinzig-Kreis,5.320635795593262,HSx3,year,hot_spell_duration,days,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,6.207962512969971,HSx3,year,hot_spell_duration,days,7
06436_Main-Taunus-Kreis,6.808965682983398,HSx3,year,hot_spell_duration,days,7
06437_Odenwaldkreis,4.3250041007995605,HSx3,year,hot_spell_duration,days,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,5.721538543701172,HSx3,year,hot_spell_duration,days,7
06438_Offenbach,6.563645362854004,HSx3,year,hot_spell_duration,days,7
06439_Rheingau-Taunus-Kreis,5.508984088897705,HSx3,year,hot_spell_duration,days,7
06440_Wetteraukreis,6.117880821228027,HSx3,year,hot_spell_duration,days,7
06531_Gießen,5.640907287597656,HSx3,year,hot_spell_duration,days,7
06532_Lahn-Dill-Kreis,4.972808361053467,HSx3,year,hot_spell_duration,days,7
06533_Limburg-Weilburg,4.825497627258301,HSx3,year,hot_spell_duration,days,7
06534_Marburg-Biedenkopf,4.958136081695557,HSx3,year,hot_spell_duration,days,7
06535_Vogelsbergkreis,4.267311096191406,HSx3,year,hot_spell_duration,days,7
06611_06633_03159_Region_um_Kassel,3.631263494491577,HSx3,year,hot_spell_duration,days,7
06611_Kassel,3.7322568893432617,HSx3,year,hot_spell_duration,days,7
06631_Fulda,3.785540819168091,HSx3,year,hot_spell_duration,days,7
