region,HSx3_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,7.258768081665039,HSx3,year,hot_spell_duration,days,7
05512_Bottrop,7.171656608581543,HSx3,year,hot_spell_duration,days,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,7.223913192749023,HSx3,year,hot_spell_duration,days,7
05513_Gelsenkirchen,7.244833946228027,HSx3,year,hot_spell_duration,days,7
05515_05566_05558_05570_Region_um_Münster,6.715956211090088,HSx3,year,hot_spell_duration,days,7
05515_Münster,6.99129581451416,HSx3,year,hot_spell_duration,days,7
05554_Borken,6.4633893966674805,HSx3,year,hot_spell_duration,days,7
05558_Coesfeld,6.87765645980835,HSx3,year,hot_spell_duration,days,7
05562_Recklinghausen,7.251089096069336,HSx3,year,hot_spell_duration,days,7
05566_Steinfurt,6.276158809661865,HSx3,year,hot_spell_duration,days,7
05570_Warendorf,7.113036155700684,HSx3,year,hot_spell_duration,days,7
05711_05754_05758_05766_Region_um_Bielefeld,6.763347625732422,HSx3,year,hot_spell_duration,days,7
05711_Bielefeld,6.8474860191345215,HSx3,year,hot_spell_duration,days,7
05754_Gütersloh,6.89005708694458,HSx3,year,hot_spell_duration,days,7
05758_Herford,6.976337909698486,HSx3,year,hot_spell_duration,days,7
05762_Höxter,6.538674354553223,HSx3,year,hot_spell_duration,days,7
05766_Lippe,6.568788528442383,HSx3,year,hot_spell_duration,days,7
05770_Minden-Lübbecke,6.683248043060303,HSx3,year,hot_spell_duration,days,7
05774_Paderborn,6.632646560668945,HSx3,year,hot_spell_duration,days,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,7.054612636566162,HSx3,year,hot_spell_duration,days,7
05911_Bochum,7.0453362464904785,HSx3,year,hot_spell_duration,days,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,6.990440845489502,HSx3,year,hot_spell_duration,days,7
05913_Dortmund,7.38520622253418,HSx3,year,hot_spell_duration,days,7
05914_05954_05913_05978_05962_Region_um_Hagen,6.263728618621826,HSx3,year,hot_spell_duration,days,7
05914_Hagen,6.1406941413879395,HSx3,year,hot_spell_duration,days,7
05915_05978_05974_05570_05558_Region_um_Hamm,6.887152671813965,HSx3,year,hot_spell_duration,days,7
05915_Hamm,7.131001949310303,HSx3,year,hot_spell_duration,days,7
05916_05513_05562_05911_Region_um_Herne,7.22724723815918,HSx3,year,hot_spell_duration,days,7
05916_Herne,7.323559761047363,HSx3,year,hot_spell_duration,days,7
05954_Ennepe-Ruhr-Kreis,6.283949851989746,HSx3,year,hot_spell_duration,days,7
05958_Hochsauerlandkreis,5.2012248039245605,HSx3,year,hot_spell_duration,days,7
05962_Märkischer Kreis,5.638548374176025,HSx3,year,hot_spell_duration,days,7
05966_Olpe,5.682762622833252,HSx3,year,hot_spell_duration,days,7
05970_Siegen-Wittgenstein,5.986436367034912,HSx3,year,hot_spell_duration,days,7
05974_Soest,6.594995498657227,HSx3,year,hot_spell_duration,days,7
05978_Unna,7.254045486450195,HSx3,year,hot_spell_duration,days,7
06411_06432_06438_Region_um_Darmstadt,15.401836395263672,HSx3,year,hot_spell_duration,days,7
06411_Darmstadt,15.96448802947998,HSx3,year,hot_spell_duration,days,7
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,12.793323516845703,HSx3,year,hot_spell_duration,days,7
06412_Frankfurt am Main,14.946600914001465,HSx3,year,hot_spell_duration,days,7
06413_06438_06435_06412_Region_um_Offenbach_am_Main,12.500500679016113,HSx3,year,hot_spell_duration,days,7
06413_Offenbach am Main,15.386709213256836,HSx3,year,hot_spell_duration,days,7
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,13.280200004577637,HSx3,year,hot_spell_duration,days,7
06414_Wiesbaden,13.192052841186523,HSx3,year,hot_spell_duration,days,7
06431_Bergstraße,15.682381629943848,HSx3,year,hot_spell_duration,days,7
06432_Darmstadt-Dieburg,15.268989562988281,HSx3,year,hot_spell_duration,days,7
06433_Groß-Gerau,17.014816284179688,HSx3,year,hot_spell_duration,days,7
06434_Hochtaunuskreis,10.714995384216309,HSx3,year,hot_spell_duration,days,7
06435_Main-Kinzig-Kreis,11.240428924560547,HSx3,year,hot_spell_duration,days,7
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,12.51948070526123,HSx3,year,hot_spell_duration,days,7
06436_Main-Taunus-Kreis,13.51697063446045,HSx3,year,hot_spell_duration,days,7
06437_Odenwaldkreis,11.518919944763184,HSx3,year,hot_spell_duration,days,7
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,13.57538890838623,HSx3,year,hot_spell_duration,days,7
06438_Offenbach,15.454521179199219,HSx3,year,hot_spell_duration,days,7
06439_Rheingau-Taunus-Kreis,9.940164566040039,HSx3,year,hot_spell_duration,days,7
06440_Wetteraukreis,12.375070571899414,HSx3,year,hot_spell_duration,days,7
06531_Gießen,10.601188659667969,HSx3,year,hot_spell_duration,days,7
06532_Lahn-Dill-Kreis,8.28635311126709,HSx3,year,hot_spell_duration,days,7
06533_Limburg-Weilburg,9.736464500427246,HSx3,year,hot_spell_duration,days,7
06534_Marburg-Biedenkopf,8.306940078735352,HSx3,year,hot_spell_duration,days,7
06535_Vogelsbergkreis,8.494770050048828,HSx3,year,hot_spell_duration,days,7
06611_06633_03159_Region_um_Kassel,6.7415971755981445,HSx3,year,hot_spell_duration,days,7
06611_Kassel,7.050265312194824,HSx3,year,hot_spell_duration,days,7
06631_Fulda,8.350101470947266,HSx3,year,hot_spell_duration,days,7
06632_Hersfeld-Rotenburg,8.553894996643066,HSx3,year,hot_spell_duration,days,7
06633_Kassel,6.936192512512207,HSx3,year,hot_spell_duration,days,7
06634_Schwalm-Eder-Kreis,7.992305755615234,HSx3,year,hot_spell_duration,days,7
06635_Waldeck-Frankenberg,6.511204719543457,HSx3,year,hot_spell_duration,days,7
06636_Werra-Meißner-Kreis,7.825433731079102,HSx3,year,hot_spell_duration,days,7
07111_07137_07141_07143_Region_um_Koblenz,8.181272506713867,HSx3,year,hot_spell_duration,days,7
07111_Koblenz,9.71048641204834,HSx3,year,hot_spell_duration,days,7
07131_Ahrweiler,6.876645088195801,HSx3,year,hot_spell_duration,days,7
07132_Altenkirchen (Westerwald),7.181941509246826,HSx3,year,hot_spell_duration,days,7
07133_Bad Kreuznach,11.802721977233887,HSx3,year,hot_spell_duration,days,7
