region,HSx3_year_2C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
05513_Gelsenkirchen,1.3788745403289795,HSx3,year,hot_spell_duration,days,7
05515_05566_05558_05570_Region_um_Münster,0.9142771363258362,HSx3,year,hot_spell_duration,days,7
05515_Münster,1.0231415033340454,HSx3,year,hot_spell_duration,days,7
05554_Borken,0.8694959282875061,HSx3,year,hot_spell_duration,days,7
05558_Coesfeld,1.008963942527771,HSx3,year,hot_spell_duration,days,7
05562_Recklinghausen,0.9937136173248291,HSx3,year,hot_spell_duration,days,7
05566_Steinfurt,0.8617134094238281,HSx3,year,hot_spell_duration,days,7
05570_Warendorf,0.9394554495811462,HSx3,year,hot_spell_duration,days,7
05711_05754_05758_05766_Region_um_Bielefeld,1.0481011867523193,HSx3,year,hot_spell_duration,days,7
05711_Bielefeld,0.9547295570373535,HSx3,year,hot_spell_duration,days,7
05754_Gütersloh,1.001081943511963,HSx3,year,hot_spell_duration,days,7
05758_Herford,0.9384260177612305,HSx3,year,hot_spell_duration,days,7
05762_Höxter,0.8370915651321411,HSx3,year,hot_spell_duration,days,7
05766_Lippe,0.8211046457290649,HSx3,year,hot_spell_duration,days,7
05770_Minden-Lübbecke,1.0146903991699219,HSx3,year,hot_spell_duration,days,7
05774_Paderborn,0.8686476945877075,HSx3,year,hot_spell_duration,days,7
05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,1.0588406324386597,HSx3,year,hot_spell_duration,days,7
05911_Bochum,1.1550699472427368,HSx3,year,hot_spell_duration,days,7
05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,1.0502967834472656,HSx3,year,hot_spell_duration,days,7
05913_Dortmund,1.2132607698440552,HSx3,year,hot_spell_duration,days,7
05914_05954_05913_05978_05962_Region_um_Hagen,0.9085667729377747,HSx3,year,hot_spell_duration,days,7
05914_Hagen,0.7544941902160645,HSx3,year,hot_spell_duration,days,7
