region,ci_name,ci_frequency,standard_name,units,mid_month,HSx3_year_2C_rcp85_ensemble-robustness
05970_Siegen-Wittgenstein,HSx3,year,hot_spell_duration,days,7,2
05974_Soest,HSx3,year,hot_spell_duration,days,7,1
05978_Unna,HSx3,year,hot_spell_duration,days,7,1
06411_06432_06438_Region_um_Darmstadt,HSx3,year,hot_spell_duration,days,7,2
06411_Darmstadt,HSx3,year,hot_spell_duration,days,7,2
06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,HSx3,year,hot_spell_duration,days,7,2
06412_Frankfurt am Main,HSx3,year,hot_spell_duration,days,7,2
06413_06438_06435_06412_Region_um_Offenbach_am_Main,HSx3,year,hot_spell_duration,days,7,2
06413_Offenbach am Main,HSx3,year,hot_spell_duration,days,7,2
06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,HSx3,year,hot_spell_duration,days,7,2
06414_Wiesbaden,HSx3,year,hot_spell_duration,days,7,2
06431_Bergstraße,HSx3,year,hot_spell_duration,days,7,2
06432_Darmstadt-Dieburg,HSx3,year,hot_spell_duration,days,7,2
06433_Groß-Gerau,HSx3,year,hot_spell_duration,days,7,2
06434_Hochtaunuskreis,HSx3,year,hot_spell_duration,days,7,2
06435_Main-Kinzig-Kreis,HSx3,year,hot_spell_duration,days,7,2
06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,HSx3,year,hot_spell_duration,days,7,2
06436_Main-Taunus-Kreis,HSx3,year,hot_spell_duration,days,7,2
06437_Odenwaldkreis,HSx3,year,hot_spell_duration,days,7,2
06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,HSx3,year,hot_spell_duration,days,7,2
06438_Offenbach,HSx3,year,hot_spell_duration,days,7,2
06439_Rheingau-Taunus-Kreis,HSx3,year,hot_spell_duration,days,7,2
06440_Wetteraukreis,HSx3,year,hot_spell_duration,days,7,2
06531_Gießen,HSx3,year,hot_spell_duration,days,7,2
06532_Lahn-Dill-Kreis,HSx3,year,hot_spell_duration,days,7,2
06533_Limburg-Weilburg,HSx3,year,hot_spell_duration,days,7,2
06534_Marburg-Biedenkopf,HSx3,year,hot_spell_duration,days,7,2
06535_Vogelsbergkreis,HSx3,year,hot_spell_duration,days,7,2
06611_06633_03159_Region_um_Kassel,HSx3,year,hot_spell_duration,days,7,1
06611_Kassel,HSx3,year,hot_spell_duration,days,7,1
06631_Fulda,HSx3,year,hot_spell_duration,days,7,2
06632_Hersfeld-Rotenburg,HSx3,year,hot_spell_duration,days,7,1
06633_Kassel,HSx3,year,hot_spell_duration,days,7,1
06634_Schwalm-Eder-Kreis,HSx3,year,hot_spell_duration,days,7,2
06635_Waldeck-Frankenberg,HSx3,year,hot_spell_duration,days,7,2
06636_Werra-Meißner-Kreis,HSx3,year,hot_spell_duration,days,7,2
07111_07137_07141_07143_Region_um_Koblenz,HSx3,year,hot_spell_duration,days,7,2
07111_Koblenz,HSx3,year,hot_spell_duration,days,7,2
07131_Ahrweiler,HSx3,year,hot_spell_duration,days,7,2
07132_Altenkirchen (Westerwald),HSx3,year,hot_spell_duration,days,7,2
07133_Bad Kreuznach,HSx3,year,hot_spell_duration,days,7,2
07134_Birkenfeld,HSx3,year,hot_spell_duration,days,7,2
