region,HSx3_year_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
05124_Wuppertal,-0.17615854740142822,HSx3,year,hot_spell_duration,days,7
05154_Kleve,-0.4420096278190613,HSx3,year,hot_spell_duration,days,7
05158_Mettmann,-0.2921484708786011,HSx3,year,hot_spell_duration,days,7
05162_Rhein-Kreis Neuss,-0.5219719409942627,HSx3,year,hot_spell_duration,days,7
05166_Viersen,-0.4367954730987549,HSx3,year,hot_spell_duration,days,7
05170_Wesel,-0.2667893171310425,HSx3,year,hot_spell_duration,days,7
05314_05382_Region_um_Bonn,-0.1877751350402832,HSx3,year,hot_spell_duration,days,7
05314_Bonn,-0.27066677808761597,HSx3,year,hot_spell_duration,days,7
05315_Köln,-0.28069448471069336,HSx3,year,hot_spell_duration,days,7
05316_05315_05378_05158_Region_um_Leverkusen,-0.3693516254425049,HSx3,year,hot_spell_duration,days,7
05316_Leverkusen,-0.5416731834411621,HSx3,year,hot_spell_duration,days,7
05334_Städteregion Aachen,-0.07669897377490997,HSx3,year,hot_spell_duration,days,7
05358_Düren,-0.12867024540901184,HSx3,year,hot_spell_duration,days,7
05362_Rhein-Erft-Kreis,-0.2552263140678406,HSx3,year,hot_spell_duration,days,7
05366_Euskirchen,-0.0428713858127594,HSx3,year,hot_spell_duration,days,7
05370_Heinsberg,-0.32117903232574463,HSx3,year,hot_spell_duration,days,7
05374_Oberbergischer Kreis,-0.19748225808143616,HSx3,year,hot_spell_duration,days,7
05378_Rheinisch-Bergischer Kreis,-0.4914531707763672,HSx3,year,hot_spell_duration,days,7
05382_Rhein-Sieg-Kreis,-0.17739009857177734,HSx3,year,hot_spell_duration,days,7
05512_05119_05513_05113_05170_05562_Region_um_Bottrop,-0.18071460723876953,HSx3,year,hot_spell_duration,days,7
05512_Bottrop,-0.49709105491638184,HSx3,year,hot_spell_duration,days,7
05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,-0.22751113772392273,HSx3,year,hot_spell_duration,days,7
05513_Gelsenkirchen,-0.6242141723632812,HSx3,year,hot_spell_duration,days,7
05515_05566_05558_05570_Region_um_Münster,-0.20482087135314941,HSx3,year,hot_spell_duration,days,7
05515_Münster,-0.16070568561553955,HSx3,year,hot_spell_duration,days,7
05554_Borken,-0.17132294178009033,HSx3,year,hot_spell_duration,days,7
05558_Coesfeld,-0.1385003626346588,HSx3,year,hot_spell_duration,days,7
05562_Recklinghausen,-0.2431076169013977,HSx3,year,hot_spell_duration,days,7
05566_Steinfurt,-0.32409533858299255,HSx3,year,hot_spell_duration,days,7
05570_Warendorf,-0.15214821696281433,HSx3,year,hot_spell_duration,days,7
05711_05754_05758_05766_Region_um_Bielefeld,-0.2097717523574829,HSx3,year,hot_spell_duration,days,7
05711_Bielefeld,-0.18734723329544067,HSx3,year,hot_spell_duration,days,7
05754_Gütersloh,-0.16857102513313293,HSx3,year,hot_spell_duration,days,7
05758_Herford,-0.2507721185684204,HSx3,year,hot_spell_duration,days,7
05762_Höxter,-0.15086516737937927,HSx3,year,hot_spell_duration,days,7
05766_Lippe,-0.2312873899936676,HSx3,year,hot_spell_duration,days,7
